activity_id,week,location_id,co_share_group
A001,11,PLAT:BET:H01:WB,g001
A001,11,PLAT:BET:H02:WB,g001
A001,11,PLAT:BET:S14:WB,g001
A001,11,PLAT:BET:S15:WB,g001
A001,11,SEC:BET:H01_H02:WB,g001
A001,11,SEC:BET:H02_S15:WB,g001
A001,11,SEC:BET:S14_H01:WB,g001
A002,11,PLAT:BET:H01:WB,g001
A002,11,PLAT:BET:H02:WB,g001
A002,11,PLAT:BET:S14:WB,g001
A002,11,SEC:BET:H01_H02:WB,g001
A002,11,SEC:BET:S14_H01:WB,g001
A003,11,PLAT:BET:H01:WB,g001
A003,11,PLAT:BET:H02:WB,g001
A003,11,SEC:BET:H01_H02:WB,g001
A004,11,PLAT:BET:H01:WB,g001
A004,11,PLAT:BET:H02:WB,g001
A004,11,PLAT:BET:S14:WB,g001
A004,11,PLAT:BET:S15:WB,g001
A004,11,SEC:BET:H01_H02:WB,g001
A004,11,SEC:BET:H02_S15:WB,g001
A004,11,SEC:BET:S14_H01:WB,g001
A005,9,PLAT:BET:H01:EB,g002
A005,9,PLAT:BET:H02:EB,g002
A005,9,PLAT:BET:S14:EB,g002
A005,9,PLAT:BET:S15:EB,g002
A005,9,SEC:BET:H01_H02:EB,g002
A005,9,SEC:BET:H02_S15:EB,g002
A005,9,SEC:BET:S14_H01:EB,g002
A005,10,PLAT:BET:H01:EB,g002
A005,10,PLAT:BET:H02:EB,g002
A005,10,PLAT:BET:S14:EB,g002
A005,10,PLAT:BET:S15:EB,g002
A005,10,SEC:BET:H01_H02:EB,g002
A005,10,SEC:BET:H02_S15:EB,g002
A005,10,SEC:BET:S14_H01:EB,g002
A005,12,PLAT:BET:H01:EB,g002
A005,12,PLAT:BET:H02:EB,g002
A005,12,PLAT:BET:S14:EB,g002
A005,12,PLAT:BET:S15:EB,g002
A005,12,SEC:BET:H01_H02:EB,g002
A005,12,SEC:BET:H02_S15:EB,g002
A005,12,SEC:BET:S14_H01:EB,g002
A006,12,PLAT:ALP:H01:WB,g003
A006,12,PLAT:ALP:H02:WB,g003
A006,12,PLAT:ALP:S04:WB,g003
A006,12,PLAT:ALP:S05:WB,g003
A006,12,SEC:ALP:H01_H02:WB,g003
A006,12,SEC:ALP:H02_S05:WB,g003
A006,12,SEC:ALP:S04_H01:WB,g003
A007,13,PLAT:ALP:H01:EB,g004
A007,13,PLAT:ALP:H02:EB,g004
A007,13,PLAT:ALP:S04:EB,g004
A007,13,PLAT:ALP:S05:EB,g004
A007,13,SEC:ALP:H01_H02:EB,g004
A007,13,SEC:ALP:H02_S05:EB,g004
A007,13,SEC:ALP:S04_H01:EB,g004
A007,14,PLAT:ALP:H01:EB,g004
A007,14,PLAT:ALP:H02:EB,g004
A007,14,PLAT:ALP:S04:EB,g004
A007,14,PLAT:ALP:S05:EB,g004
A007,14,SEC:ALP:H01_H02:EB,g004
A007,14,SEC:ALP:H02_S05:EB,g004
A007,14,SEC:ALP:S04_H01:EB,g004
A007,15,PLAT:ALP:H01:EB,g004
A007,15,PLAT:ALP:H02:EB,g004
A007,15,PLAT:ALP:S04:EB,g004
A007,15,PLAT:ALP:S05:EB,g004
A007,15,SEC:ALP:H01_H02:EB,g004
A007,15,SEC:ALP:H02_S05:EB,g004
A007,15,SEC:ALP:S04_H01:EB,g004
A007,16,PLAT:ALP:H01:EB,g004
A007,16,PLAT:ALP:H02:EB,g004
A007,16,PLAT:ALP:S04:EB,g004
A007,16,PLAT:ALP:S05:EB,g004
A007,16,SEC:ALP:H01_H02:EB,g004
A007,16,SEC:ALP:H02_S05:EB,g004
A007,16,SEC:ALP:S04_H01:EB,g004
A008,6,PLAT:BET:H01:WB,g005
A008,6,PLAT:BET:H02:WB,g005
A008,6,SEC:BET:H01_H02:WB,g005
