activity_id,access_seq,week,eclo,access_night
A001,1,10,0,1
A001,2,11,0,1
A001,3,12,0,1
A001,4,15,0,1
A002,1,10,0,1
A002,2,11,0,1
A002,3,12,0,1
A002,4,15,0,1
A003,1,3,0,1
A003,2,5,0,1
A003,3,6,0,1
A003,4,7,0,1
A004,1,3,0,1
A004,2,5,0,1
A004,3,6,0,1
A004,4,7,0,1
A005,1,3,0,1
A005,2,5,0,1
A005,3,6,0,1
A005,4,7,0,1
A006,1,3,0,1
A006,2,5,0,1
A006,3,6,0,1
A006,4,7,0,1
A007,1,16,0,1
A007,2,18,0,1
A007,3,19,0,1
A007,4,21,0,1
A008,1,16,0,1
A008,2,18,0,1
A008,3,19,0,1
A008,4,21,0,1
A009,1,21,0,1
A010,1,21,0,1
A011,1,31,0,1
A011,2,32,0,1
A011,3,33,0,1
A011,4,35,0,1
A012,1,31,0,1
A012,2,32,0,1
A012,3,33,0,1
A012,4,35,0,1
A013,1,27,0,1
A013,2,28,0,1
A013,3,29,0,1
A013,4,30,0,1
A013,5,31,0,1
A014,1,27,0,1
A014,2,28,0,1
A014,3,29,0,1
A014,4,30,0,1
A014,5,31,0,1
A015,1,27,0,1
A015,2,28,0,1
A015,3,29,0,1
A015,4,30,0,1
A015,5,31,0,2
A016,1,27,0,2
A016,2,28,0,2
A016,3,29,0,2
A016,4,30,0,2
A016,5,31,0,3
A017,1,21,0,1
A017,2,24,0,1
A018,1,16,0,1
A018,2,17,0,1
A018,3,18,0,1
A018,4,19,0,1
A018,5,20,0,1
A018,6,21,0,2
A019,1,8,0,1
A019,2,9,0,1
A019,3,10,0,1
A019,4,11,0,1
A019,5,13,0,1
A020,1,8,0,1
A020,2,9,0,1
A020,3,10,0,1
A020,4,11,0,1
A020,5,13,0,1
A021,1,8,0,1
A021,2,9,0,1
A021,3,10,0,1
A021,4,11,0,1
A021,5,13,0,1
A022,1,15,0,1
A022,2,17,0,1
A022,3,18,0,1
A022,4,19,0,1
A022,5,22,0,1
A023,1,15,0,1
A023,2,17,0,1
A023,3,18,0,1
A023,4,19,0,1
A023,5,22,0,1
A024,1,15,0,1
A024,2,17,0,1
A024,3,18,0,1
A024,4,19,0,1
A024,5,22,0,1
A025,1,6,0,1
A025,2,7,0,1
A025,3,9,0,1
A026,1,6,0,2
A026,2,7,0,2
A026,3,9,0,2
A027,1,34,0,1
A027,2,36,0,1
A027,3,37,0,1
A027,4,38,0,1
A028,1,1,0,1
A028,2,2,0,1
A028,3,3,0,2
A028,4,5,0,2
A029,1,1,0,1
A029,2,2,0,1
A029,3,3,0,2
A029,4,5,0,2
A030,1,14,0,1
A031,1,14,0,1
A032,1,14,0,1
A033,1,14,0,1
A034,1,5,0,1
A034,2,7,0,1
A034,3,8,0,1
A034,4,9,0,1
A034,5,12,0,1
A034,6,13,0,1
A035,1,5,0,1
A035,2,7,0,1
A035,3,8,0,1
A035,4,9,0,1
A035,5,12,0,1
A035,6,13,0,1
A036,1,36,0,1
A036,2,37,0,1
A036,3,38,0,1
A036,4,39,0,1
A036,5,40,0,1
A037,1,36,0,1
A037,2,37,0,1
A037,3,38,0,1
A037,4,39,0,1
A037,5,40,0,1
A038,1,36,0,1
A038,2,37,0,1
A038,3,38,0,1
A038,4,39,0,1
A038,5,40,0,1
A039,1,36,0,1
A039,2,37,0,1
A039,3,38,0,1
A039,4,39,0,1
A039,5,40,0,1
A040,1,17,0,1
A040,2,18,0,1
A040,3,20,0,1
A040,4,21,0,1
A040,5,22,0,1
A041,1,17,0,1
A041,2,18,0,1
A041,3,20,0,1
A041,4,21,0,1
A041,5,22,0,1
A042,1,20,0,1
A043,1,20,0,1
A044,1,20,0,1
A045,1,29,0,2
A045,2,30,0,2
A045,3,33,0,1
A046,1,29,0,1
A046,2,30,0,1
A046,3,33,0,1
A047,1,29,0,1
A047,2,30,0,1
A047,3,33,0,1
A048,1,9,0,3
A049,1,9,0,1
A050,1,4,0,1
A050,2,5,0,1
A051,1,4,0,1
A051,2,5,0,1
A052,1,4,0,1
A052,2,5,0,3
A053,1,23,0,1
A053,2,25,0,1
A053,3,27,0,1
A054,1,23,0,1
A054,2,25,0,1
A054,3,27,0,1
A055,1,27,0,1
A055,2,28,0,1
A055,3,30,0,1
A055,4,31,0,1
A055,5,32,0,1
A055,6,33,0,1
A056,1,17,0,2
A056,2,18,0,2
A056,3,19,0,1
A056,4,20,0,2
A056,5,21,0,2
A057,1,17,0,1
A057,2,18,0,1
A057,3,19,0,1
A057,4,20,0,1
A057,5,21,0,1
A058,1,17,0,2
A058,2,18,0,2
A058,3,19,0,2
A058,4,20,0,2
A058,5,21,0,2
A059,1,17,0,1
A059,2,18,0,1
A059,3,19,0,1
A059,4,20,0,2
A059,5,21,0,1
A060,1,13,0,1
A060,2,14,0,1
A060,3,15,0,1
A061,1,26,0,1
A061,2,27,0,1
A061,3,28,0,1
A061,4,29,0,1
A061,5,30,0,1
A062,1,26,0,1
A062,2,27,0,1
A062,3,28,0,1
A062,4,29,0,1
A062,5,30,0,1
A063,1,36,0,1
A063,2,37,0,1
A064,1,36,0,1
A064,2,37,0,1
A065,1,36,0,1
A065,2,37,0,1
A066,1,32,0,1
A066,2,33,0,1
A067,1,32,0,1
A067,2,33,0,1
A068,1,32,0,1
A068,2,33,0,1
A069,1,18,0,1
A070,1,18,0,1
A071,1,18,0,1
A072,1,21,0,1
A072,2,22,0,1
A072,3,23,0,1
A072,4,24,0,1
A072,5,25,0,1
A073,1,21,0,1
A073,2,22,0,1
A073,3,23,0,1
A073,4,24,0,1
A073,5,25,0,1
A074,1,14,0,2
A074,2,15,0,1
A074,3,16,0,1
A074,4,17,0,1
A074,5,19,0,1
A075,1,18,0,2
A075,2,19,0,1
A075,3,22,0,2
A075,4,23,0,2
A075,5,25,0,2
A076,1,18,0,1
A076,2,19,0,1
A076,3,22,0,1
A076,4,23,0,1
A076,5,25,0,1
A077,1,7,0,2
A078,1,7,0,1
A079,1,7,0,3
A080,1,13,0,2
A080,2,16,0,1
A080,3,17,0,1
A080,4,18,0,1
A080,5,19,0,1
A081,1,26,0,1
A081,2,28,0,1
A081,3,29,0,1
A082,1,26,0,1
A082,2,28,0,3
A082,3,29,0,3
A083,1,26,0,1
A083,2,28,0,2
A083,3,29,0,2
A084,1,26,0,2
A084,2,28,0,2
A084,3,29,0,2
A085,1,27,0,1
A086,1,34,0,1
A086,2,37,0,1
A087,1,34,0,1
A087,2,37,0,1
A088,1,19,0,2
A088,2,21,0,2
A088,3,22,0,3
A089,1,19,0,2
A089,2,21,0,2
A089,3,22,0,1
A090,1,10,0,1
A090,2,11,0,1
A090,3,12,0,2
A090,4,13,0,2
A091,1,10,0,1
A091,2,11,0,1
A091,3,12,0,1
A091,4,13,0,2
A092,1,10,0,1
A092,2,11,0,1
A092,3,12,0,1
A092,4,13,0,1
A093,1,25,0,1
A093,2,26,0,2
A093,3,27,0,2
A093,4,28,0,3
A093,5,29,0,3
A093,6,30,0,1
A094,1,25,0,1
A094,2,26,0,1
A094,3,27,0,1
A094,4,28,0,1
A094,5,29,0,1
A094,6,30,0,1
A095,1,25,0,1
A095,2,26,0,1
A095,3,27,0,1
A095,4,28,0,1
A095,5,29,0,1
A095,6,30,0,1
A096,1,25,0,1
A096,2,26,0,1
A096,3,27,0,1
A096,4,28,0,1
A096,5,29,0,2
A096,6,30,0,2
A097,1,32,0,2
A097,2,34,0,1
A098,1,32,0,1
A098,2,34,0,1
A099,1,32,0,1
A099,2,34,0,1
A100,1,16,0,1
A100,2,17,0,1
A100,3,18,0,1
A100,4,19,0,1
A100,5,20,0,1
A100,6,21,0,1
A101,1,16,0,1
A101,2,17,0,2
A101,3,18,0,2
A101,4,19,0,2
A101,5,20,0,1
A101,6,21,0,1
A102,1,16,0,2
A102,2,17,0,1
A102,3,18,0,2
A102,4,19,0,2
A102,5,20,0,1
A102,6,21,0,2
A103,1,16,0,1
A103,2,17,0,1
A103,3,18,0,1
A103,4,19,0,1
A103,5,20,0,1
A103,6,21,0,1
A104,1,6,0,1
A104,2,7,0,1
A104,3,8,0,1
A104,4,9,0,1
A104,5,10,0,1
A104,6,12,0,1
A105,1,6,0,1
A105,2,7,0,1
A105,3,8,0,2
A105,4,9,0,2
A105,5,10,0,2
A105,6,12,0,2
A106,1,37,0,2
A107,1,18,0,2
A107,2,20,0,3
A107,3,21,0,2
A108,1,23,0,1
A108,2,24,0,1
A108,3,25,0,1
