activity_id,week,location_id,co_share_group
A001,10,PLAT:BET:S11:WB,g001
A001,10,PLAT:BET:S12:WB,g001
A001,10,PLAT:BET:S13:WB,g001
A001,10,PLAT:BET:S14:WB,g001
A001,10,SEC:BET:S11_S12:WB,g001
A001,10,SEC:BET:S12_S13:WB,g001
A001,10,SEC:BET:S13_S14:WB,g001
A002,10,PLAT:BET:H01:WB,g001
A002,10,PLAT:BET:H02:WB,g001
A002,10,PLAT:BET:S13:WB,g001
A002,10,PLAT:BET:S14:WB,g001
A002,10,SEC:BET:H01_H02:WB,g001
A002,10,SEC:BET:S13_S14:WB,g001
A002,10,SEC:BET:S14_H01:WB,g001
A001,11,PLAT:BET:S11:WB,g001
A001,11,PLAT:BET:S12:WB,g001
A001,11,PLAT:BET:S13:WB,g001
A001,11,PLAT:BET:S14:WB,g001
A001,11,SEC:BET:S11_S12:WB,g001
A001,11,SEC:BET:S12_S13:WB,g001
A001,11,SEC:BET:S13_S14:WB,g001
A002,11,PLAT:BET:H01:WB,g001
A002,11,PLAT:BET:H02:WB,g001
A002,11,PLAT:BET:S13:WB,g001
A002,11,PLAT:BET:S14:WB,g001
A002,11,SEC:BET:H01_H02:WB,g001
A002,11,SEC:BET:S13_S14:WB,g001
A002,11,SEC:BET:S14_H01:WB,g001
A001,12,PLAT:BET:S11:WB,g001
A001,12,PLAT:BET:S12:WB,g001
A001,12,PLAT:BET:S13:WB,g001
A001,12,PLAT:BET:S14:WB,g001
A001,12,SEC:BET:S11_S12:WB,g001
A001,12,SEC:BET:S12_S13:WB,g001
A001,12,SEC:BET:S13_S14:WB,g001
A002,12,PLAT:BET:H01:WB,g001
A002,12,PLAT:BET:H02:WB,g001
A002,12,PLAT:BET:S13:WB,g001
A002,12,PLAT:BET:S14:WB,g001
A002,12,SEC:BET:H01_H02:WB,g001
A002,12,SEC:BET:S13_S14:WB,g001
A002,12,SEC:BET:S14_H01:WB,g001
A001,15,PLAT:BET:S11:WB,g001
A001,15,PLAT:BET:S12:WB,g001
A001,15,PLAT:BET:S13:WB,g001
A001,15,PLAT:BET:S14:WB,g001
A001,15,SEC:BET:S11_S12:WB,g001
A001,15,SEC:BET:S12_S13:WB,g001
A001,15,SEC:BET:S13_S14:WB,g001
A002,15,PLAT:BET:H01:WB,g001
A002,15,PLAT:BET:H02:WB,g001
A002,15,PLAT:BET:S13:WB,g001
