activity_id,access_seq,week,eclo,access_night
A001,1,9,0,1
A001,2,10,0,1
A001,3,11,0,1
A001,4,12,0,1
A002,1,9,0,1
A002,2,10,0,1
A002,3,11,0,1
A002,4,12,0,1
A003,1,28,0,1
A003,2,29,0,1
A003,3,30,0,1
A003,4,31,0,1
A004,1,28,0,1
A004,2,29,0,1
A004,3,30,0,1
A004,4,31,0,1
A005,1,28,0,1
A005,2,29,0,1
A005,3,30,0,1
A005,4,31,0,1
A006,1,28,0,1
A006,2,29,0,1
A006,3,30,0,1
A006,4,31,0,1
A007,1,25,0,1
A007,2,26,0,1
A007,3,27,0,1
A007,4,28,0,1
A007,5,29,0,1
A008,1,25,0,1
A008,2,26,0,1
A008,3,27,0,1
A008,4,28,0,1
A008,5,29,0,1
A009,1,25,0,1
A009,2,26,0,1
A009,3,27,0,1
A009,4,28,0,2
A009,5,29,0,2
A010,1,25,0,1
A010,2,26,0,1
A010,3,27,0,1
A010,4,28,0,1
A010,5,29,0,1
A011,1,25,0,1
A011,2,26,0,1
A011,3,27,0,1
A011,4,28,0,1
A011,5,29,0,1
A012,1,25,0,1
A012,2,26,0,1
A012,3,27,0,1
A012,4,28,0,1
A012,5,29,0,1
A013,1,1,0,1
A013,2,2,0,1
A013,3,3,0,1
A013,4,4,0,1
A014,1,1,0,1
A014,2,2,0,1
A014,3,3,0,1
A014,4,4,0,1
A015,1,1,0,1
A015,2,2,0,1
A015,3,3,0,1
A015,4,4,0,1
A016,1,15,0,1
A016,2,16,0,1
A016,3,17,0,1
A016,4,18,0,1
A017,1,15,0,1
A017,2,16,0,1
A017,3,17,0,1
A017,4,18,0,1
A018,1,25,0,2
A018,2,26,0,2
A018,3,27,0,2
A018,4,28,0,2
A018,5,29,0,2
A018,6,30,0,1
A019,1,25,0,2
A019,2,26,0,2
A019,3,27,0,2
A019,4,28,0,2
A019,5,29,0,2
A019,6,30,0,1
A020,1,25,0,1
A020,2,26,0,1
A020,3,27,0,1
A020,4,28,0,1
A020,5,29,0,1
A020,6,30,0,1
A021,1,12,0,1
A022,1,12,0,2
A023,1,12,0,2
A024,1,21,0,1
A024,2,22,0,1
A024,3,23,0,1
A025,1,24,0,1
A025,2,25,0,2
A026,1,24,0,1
A026,2,25,0,1
A027,1,24,0,1
A027,2,25,0,1
A028,1,24,0,1
A028,2,25,0,1
A029,1,10,0,1
A029,2,11,0,1
A029,3,12,0,1
A029,4,13,0,1
A030,1,10,0,1
A030,2,11,0,1
A030,3,12,0,1
A030,4,13,0,1
A031,1,10,0,1
A031,2,11,0,1
A031,3,12,0,1
A031,4,13,0,1
A032,1,2,0,1
A032,2,3,0,1
A032,3,4,0,1
A033,1,2,0,1
A033,2,3,0,1
A033,3,4,0,1
A034,1,22,0,1
A034,2,23,0,1
A034,3,24,0,1
A034,4,25,0,1
A034,5,26,0,1
A035,1,12,0,1
A035,2,13,0,1
A035,3,14,0,1
A035,4,15,0,1
A036,1,12,0,1
A036,2,13,0,1
A036,3,14,0,1
A036,4,15,0,1
A037,1,19,0,1
A038,1,19,0,1
A039,1,19,0,1
A040,1,19,0,1
A041,1,13,0,1
A042,1,24,0,1
A043,1,24,0,1
A044,1,24,0,1
A045,1,1,0,1
A045,2,2,0,1
A045,3,3,0,1
A045,4,4,0,1
A045,5,5,0,1
A046,1,1,0,1
A046,2,2,0,1
A046,3,3,0,1
A046,4,4,0,1
A046,5,5,0,1
A047,1,1,0,1
A047,2,2,0,1
A047,3,3,0,1
A047,4,4,0,1
A047,5,5,0,1
A048,1,1,0,1
A048,2,2,0,1
A048,3,3,0,1
A048,4,4,0,1
A048,5,5,0,1
A049,1,18,0,1
A049,2,19,0,1
A049,3,20,0,1
A049,4,21,0,1
A049,5,22,0,1
A050,1,5,0,1
A050,2,6,0,1
A050,3,7,0,1
A050,4,8,0,1
A051,1,11,0,1
A051,2,12,0,1
A051,3,13,0,1
A051,4,14,0,1
A051,5,15,0,1
A051,6,16,0,1
A052,1,11,0,2
A052,2,12,0,3
A052,3,13,0,1
A052,4,14,0,1
A052,5,15,0,2
A052,6,16,0,2
A053,1,8,0,1
A053,2,9,0,1
A053,3,10,0,1
A053,4,11,0,1
A053,5,12,0,1
A054,1,8,0,1
A054,2,9,0,1
A054,3,10,0,1
A054,4,11,0,1
A054,5,12,0,1
A055,1,8,0,1
A055,2,9,0,1
A055,3,10,0,1
A055,4,11,0,1
A055,5,12,0,1
A056,1,25,0,1
A056,2,26,0,1
A056,3,27,0,1
A056,4,28,0,1
A056,5,29,0,1
A057,1,25,0,2
A057,2,26,0,2
A057,3,27,0,2
A057,4,28,0,2
A057,5,29,0,2
A058,1,25,0,2
A058,2,26,0,1
A058,3,27,0,1
A058,4,28,0,1
A058,5,29,0,1
A059,1,17,0,1
A060,1,17,0,1
A061,1,17,0,1
A062,1,17,0,2
A063,1,21,0,1
A063,2,22,0,1
A064,1,18,0,1
A064,2,19,0,2
A064,3,20,0,1
A065,1,18,0,1
A065,2,19,0,1
A065,3,20,0,1
A066,1,18,0,1
A066,2,19,0,1
A066,3,20,0,1
A067,1,13,0,2
A067,2,14,0,2
A067,3,15,0,2
A067,4,16,0,2
A067,5,17,0,2
A068,1,13,0,2
A068,2,14,0,2
A068,3,15,0,2
A068,4,16,0,1
A068,5,17,0,1
A069,1,12,0,4
A069,2,13,0,2
A069,3,14,0,2
A069,4,15,0,3
A070,1,19,0,1
A070,2,20,0,1
A071,1,19,0,1
A071,2,20,0,1
A072,1,19,0,1
A072,2,20,0,1
A073,1,29,0,1
A073,2,30,0,1
A073,3,31,0,1
A073,4,32,0,1
A073,5,33,0,1
A074,1,29,0,1
A074,2,30,0,1
A074,3,31,0,1
A074,4,32,0,1
A074,5,33,0,1
A075,1,17,0,2
A075,2,18,0,2
A075,3,19,0,2
A075,4,20,0,2
A075,5,21,0,1
A075,6,22,0,1
A076,1,17,0,2
A076,2,18,0,1
A076,3,19,0,1
A076,4,20,0,1
A076,5,21,0,1
A076,6,22,0,1
A077,1,13,0,1
A077,2,14,0,1
A077,3,15,0,1
A077,4,16,0,1
A077,5,17,0,1
A078,1,13,0,1
A078,2,14,0,1
A078,3,15,0,1
A078,4,16,0,1
A078,5,17,0,1
A079,1,13,0,3
A079,2,14,0,3
A079,3,15,0,4
A079,4,16,0,3
A079,5,17,0,3
A080,1,14,0,3
A080,2,15,0,3
A081,1,32,0,2
A081,2,33,0,2
A081,3,34,0,1
A081,4,35,0,1
A081,5,36,0,1
A082,1,32,0,1
A082,2,33,0,1
A082,3,34,0,1
A082,4,35,0,1
A082,5,36,0,1
A083,1,32,0,1
A083,2,33,0,1
A083,3,34,0,1
A083,4,35,0,1
A083,5,36,0,1
A084,1,32,0,1
A084,2,33,0,1
A084,3,34,0,1
A084,4,35,0,1
A084,5,36,0,1
A085,1,21,0,1
A086,1,21,0,1
A087,1,21,0,1
A088,1,21,0,1
A089,1,10,0,2
A089,2,11,0,3
A089,3,14,0,4
A089,4,16,0,4
A089,5,17,0,4
A089,6,18,0,2
A090,1,10,0,1
A090,2,11,0,1
A090,3,14,0,1
A090,4,16,0,1
A090,5,17,0,3
A090,6,18,0,3
A091,1,11,0,2
A091,2,16,0,3
A091,3,17,0,3
A091,4,18,0,1
A091,5,19,0,2
A091,6,20,0,1
A092,1,11,0,1
A092,2,16,0,1
A092,3,17,0,1
A092,4,18,0,1
A092,5,19,0,1
A092,6,20,0,1
A093,1,11,0,1
A093,2,16,0,1
A093,3,17,0,1
A093,4,18,0,1
A093,5,19,0,1
A093,6,20,0,1
A094,1,11,0,1
A094,2,16,0,1
A094,3,17,0,1
A094,4,18,0,1
A094,5,19,0,2
A094,6,20,0,2
A095,1,27,0,3
A095,2,28,0,3
A095,3,29,0,3
A095,4,30,0,2
A096,1,27,0,1
A096,2,28,0,1
A096,3,29,0,1
A096,4,30,0,1
A097,1,27,0,1
A097,2,28,0,2
A097,3,29,0,2
A097,4,30,0,2
A098,1,37,0,1
A098,2,38,0,1
A098,3,39,0,1
A099,1,9,0,2
A099,2,10,0,2
A099,3,11,0,2
A099,4,16,0,1
