activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,6,2027-01-04,,3
A002,C002,Construction,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,6,2027-01-11,,3
A003,C003,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,1,2027-02-22,,1
A004,C004,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,4,2027-02-15,,1
A005,C001,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,5,2027-04-05,,2
A006,C002,Construction,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,5,2027-04-05,,2
A007,C005,Renewal,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,1,2027-01-25,,1
A008,C006,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,6,2027-02-15,,2
A009,C007,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,6,2027-03-08,,1
A010,C004,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,6,2027-02-01,A007,3
A011,C008,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,5,2027-02-15,,3
A012,C009,Construction,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,2,2027-04-12,,3
A013,C006,Construction,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,1,2027-02-22,,3
A014,C008,Construction,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,1,2027-02-01,,1
A015,C002,Construction,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,6,2027-03-15,,2
A016,C010,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,2,2027-02-08,,2
A017,C006,Construction,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,1,2027-03-01,,2
A018,C011,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:H02_S05:EB,3,2027-02-01,,3
