activity_id,week,location_id,co_share_group
A001,3,PLAT:BET:H02:WB,g001
A001,3,PLAT:BET:S15:WB,g001
A001,3,SEC:BET:H02_S15:WB,g001
A002,3,PLAT:BET:H02:WB,g001
A002,3,PLAT:BET:S15:WB,g001
A002,3,SEC:BET:H02_S15:WB,g001
A001,4,PLAT:BET:H02:WB,g001
A001,4,PLAT:BET:S15:WB,g001
A001,4,SEC:BET:H02_S15:WB,g001
A002,4,PLAT:BET:H02:WB,g001
A002,4,PLAT:BET:S15:WB,g001
A002,4,SEC:BET:H02_S15:WB,g001
A001,5,PLAT:BET:H02:WB,g001
A001,5,PLAT:BET:S15:WB,g001
A001,5,SEC:BET:H02_S15:WB,g001
A002,5,PLAT:BET:H02:WB,g001
A002,5,PLAT:BET:S15:WB,g001
A002,5,SEC:BET:H02_S15:WB,g001
A001,6,PLAT:BET:H02:WB,g001
A001,6,PLAT:BET:S15:WB,g001
A001,6,SEC:BET:H02_S15:WB,g001
A002,6,PLAT:BET:H02:WB,g001
A002,6,PLAT:BET:S15:WB,g001
A002,6,SEC:BET:H02_S15:WB,g001
A001,7,PLAT:BET:H02:WB,g001
A001,7,PLAT:BET:S15:WB,g001
A001,7,SEC:BET:H02_S15:WB,g001
A002,7,PLAT:BET:H02:WB,g001
A002,7,PLAT:BET:S15:WB,g001
A002,7,SEC:BET:H02_S15:WB,g001
A001,9,PLAT:BET:H02:WB,g001
A001,9,PLAT:BET:S15:WB,g001
A001,9,SEC:BET:H02_S15:WB,g001
A002,9,PLAT:BET:H02:WB,g001
A002,9,PLAT:BET:S15:WB,g001
A002,9,SEC:BET:H02_S15:WB,g001
A003,9,PLAT:BET:H01:WB,g002
A003,9,PLAT:BET:H02:WB,g002
A003,9,SEC:BET:H01_H02:WB,g002
A004,8,PLAT:ALP:H01:WB,g003
A004,8,PLAT:ALP:H02:WB,g003
A004,8,SEC:ALP:H01_H02:WB,g003
A004,9,PLAT:ALP:H01:WB,g003
A004,9,PLAT:ALP:H02:WB,g003
A004,9,SEC:ALP:H01_H02:WB,g003
A004,10,PLAT:ALP:H01:WB,g003
A004,10,PLAT:ALP:H02:WB,g003
A004,10,SEC:ALP:H01_H02:WB,g003
A004,11,PLAT:ALP:H01:WB,g003
A004,11,PLAT:ALP:H02:WB,g003
A004,11,SEC:ALP:H01_H02:WB,g003
A005,16,PLAT:BET:S17:WB,g004
A005,16,PLAT:BET:S18:WB,g004
A005,16,SEC:BET:S17_S18:WB,g004
A006,16,PLAT:BET:S17:WB,g004
A006,16,PLAT:BET:S18:WB,g004
A006,16,SEC:BET:S17_S18:WB,g004
A005,17,PLAT:BET:S17:WB,g004
A005,17,PLAT:BET:S18:WB,g004
A005,17,SEC:BET:S17_S18:WB,g004
A006,17,PLAT:BET:S17:WB,g004
A006,17,PLAT:BET:S18:WB,g004
A006,17,SEC:BET:S17_S18:WB,g004
A005,18,PLAT:BET:S17:WB,g004
A005,18,PLAT:BET:S18:WB,g004
A005,18,SEC:BET:S17_S18:WB,g004
A006,18,PLAT:BET:S17:WB,g004
A006,18,PLAT:BET:S18:WB,g004
A006,18,SEC:BET:S17_S18:WB,g004
A005,19,PLAT:BET:S17:WB,g004
A005,19,PLAT:BET:S18:WB,g004
A005,19,SEC:BET:S17_S18:WB,g004
A006,19,PLAT:BET:S17:WB,g004
A006,19,PLAT:BET:S18:WB,g004
A006,19,SEC:BET:S17_S18:WB,g004
A005,20,PLAT:BET:S17:WB,g004
A005,20,PLAT:BET:S18:WB,g004
A005,20,SEC:BET:S17_S18:WB,g004
A006,20,PLAT:BET:S17:WB,g004
A006,20,PLAT:BET:S18:WB,g004
A006,20,SEC:BET:S17_S18:WB,g004
A007,6,PLAT:BET:H01:WB,g005
A007,6,PLAT:BET:S14:WB,g005
A007,6,SEC:BET:S14_H01:WB,g005
A008,10,PLAT:ALP:H01:WB,g006
A008,10,PLAT:ALP:S04:WB,g006
A008,10,SEC:ALP:S04_H01:WB,g006
A009,10,PLAT:ALP:H01:WB,g006
A009,10,PLAT:ALP:S04:WB,g006
A009,10,SEC:ALP:S04_H01:WB,g006
A008,11,PLAT:ALP:H01:WB,g006
A008,11,PLAT:ALP:S04:WB,g006
A008,11,SEC:ALP:S04_H01:WB,g006
A009,11,PLAT:ALP:H01:WB,g006
A009,11,PLAT:ALP:S04:WB,g006
A009,11,SEC:ALP:S04_H01:WB,g006
A008,12,PLAT:ALP:H01:WB,g006
A008,12,PLAT:ALP:S04:WB,g006
A008,12,SEC:ALP:S04_H01:WB,g006
A009,12,PLAT:ALP:H01:WB,g006
A009,12,PLAT:ALP:S04:WB,g006
A009,12,SEC:ALP:S04_H01:WB,g006
A008,14,PLAT:ALP:H01:WB,g006
A008,14,PLAT:ALP:S04:WB,g006
A008,14,SEC:ALP:S04_H01:WB,g006
A009,14,PLAT:ALP:H01:WB,g006
A009,14,PLAT:ALP:S04:WB,g006
A009,14,SEC:ALP:S04_H01:WB,g006
A008,15,PLAT:ALP:H01:WB,g006
A008,15,PLAT:ALP:S04:WB,g006
A008,15,SEC:ALP:S04_H01:WB,g006
A009,15,PLAT:ALP:H01:WB,g006
A009,15,PLAT:ALP:S04:WB,g006
A009,15,SEC:ALP:S04_H01:WB,g006
A008,16,PLAT:ALP:H01:WB,g006
A008,16,PLAT:ALP:S04:WB,g006
A008,16,SEC:ALP:S04_H01:WB,g006
A009,16,PLAT:ALP:H01:WB,g006
A009,16,PLAT:ALP:S04:WB,g006
A009,16,SEC:ALP:S04_H01:WB,g006
A010,7,PLAT:ALP:H01:WB,g007
A010,7,PLAT:ALP:S04:WB,g007
A010,7,SEC:ALP:S04_H01:WB,g007
A010,8,PLAT:ALP:H01:WB,g007
A010,8,PLAT:ALP:S04:WB,g007
A010,8,SEC:ALP:S04_H01:WB,g007
A010,9,PLAT:ALP:H01:WB,g007
A010,9,PLAT:ALP:S04:WB,g007
A010,9,SEC:ALP:S04_H01:WB,g007
A010,10,PLAT:ALP:H01:WB,g007
A010,10,PLAT:ALP:S04:WB,g007
A010,10,SEC:ALP:S04_H01:WB,g007
A010,12,PLAT:ALP:H01:WB,g007
A010,12,PLAT:ALP:S04:WB,g007
A010,12,SEC:ALP:S04_H01:WB,g007
A010,13,PLAT:ALP:H01:WB,g007
A010,13,PLAT:ALP:S04:WB,g007
A010,13,SEC:ALP:S04_H01:WB,g007
A011,8,PLAT:ALP:H01:EB,g008
A011,8,PLAT:ALP:H02:EB,g008
A011,8,SEC:ALP:H01_H02:EB,g008
A011,9,PLAT:ALP:H01:EB,g008
A011,9,PLAT:ALP:H02:EB,g008
A011,9,SEC:ALP:H01_H02:EB,g008
A011,10,PLAT:ALP:H01:EB,g008
A011,10,PLAT:ALP:H02:EB,g008
A011,10,SEC:ALP:H01_H02:EB,g008
