activity_id,access_seq,week,eclo,access_night
A001,1,24,0,1
A001,2,27,0,1
A001,3,28,0,1
A001,4,29,0,1
A002,1,18,0,1
A002,2,19,0,1
A002,3,20,0,1
A002,4,22,0,1
A002,5,23,0,1
A003,1,18,0,1
A003,2,19,0,1
A003,3,20,0,1
A003,4,22,0,1
A003,5,23,0,1
A004,1,18,0,1
A004,2,19,0,1
A004,3,20,0,1
A004,4,22,0,1
A004,5,23,0,1
A005,1,2,0,1
A005,2,3,0,1
A005,3,4,0,1
A005,4,6,0,1
A006,1,2,0,1
A006,2,3,0,1
A006,3,4,0,1
A006,4,6,0,1
A007,1,2,0,1
A007,2,3,0,1
A007,3,4,0,1
A007,4,6,0,1
A008,1,11,0,1
A008,2,12,0,1
A008,3,13,0,1
A008,4,16,0,1
A009,1,11,0,1
A009,2,12,0,1
A009,3,13,0,1
A009,4,16,0,1
A010,1,11,0,1
A010,2,12,0,1
A010,3,13,0,1
A010,4,16,0,1
A011,1,3,0,1
A011,2,4,0,1
A012,1,9,0,1
A012,2,10,0,1
A012,3,11,0,1
A012,4,12,0,1
A012,5,13,0,1
A013,1,18,0,1
A013,2,19,0,1
A013,3,20,0,1
A014,1,18,0,2
A014,2,19,0,2
A014,3,20,0,2
A015,1,7,0,1
A015,2,8,0,1
A015,3,9,0,1
A015,4,12,0,1
A015,5,13,0,1
A016,1,8,0,1
A016,2,9,0,1
A016,3,11,0,1
A016,4,12,0,1
A017,1,13,0,1
A017,2,16,0,1
A017,3,17,0,1
A018,1,13,0,1
A018,2,16,0,1
A018,3,17,0,1
A019,1,13,0,2
A019,2,16,0,2
A019,3,17,0,1
A020,1,19,0,1
A021,1,19,0,1
A022,1,6,0,1
A022,2,7,0,1
A022,3,9,0,1
A023,1,23,0,1
A023,2,24,0,1
A023,3,25,0,1
A023,4,26,0,1
A023,5,27,0,1
A023,6,28,0,1
A024,1,23,0,2
A024,2,24,0,1
A024,3,25,0,1
A024,4,26,0,1
A024,5,27,0,1
A024,6,28,0,1
A025,1,23,0,1
A025,2,24,0,1
A025,3,25,0,1
A025,4,26,0,1
A025,5,27,0,1
A025,6,28,0,1
A026,1,1,0,1
A026,2,3,0,1
A026,3,4,0,1
A026,4,7,0,1
A027,1,1,0,1
A027,2,3,0,2
A027,3,4,0,2
A027,4,7,0,1
A028,1,1,0,1
A028,2,3,0,1
A028,3,4,0,1
A028,4,7,0,1
A029,1,7,0,1
A029,2,9,0,2
A030,1,8,0,1
A030,2,11,0,1
A031,1,8,0,1
A031,2,11,0,1
A032,1,8,0,2
A032,2,11,0,2
A033,1,9,0,2
A034,1,20,0,1
A035,1,20,0,3
A036,1,14,0,1
A036,2,15,0,1
A036,3,17,0,2
A036,4,18,0,1
