activity_id,access_seq,week,eclo,access_night
A001,1,12,0,1
A001,2,13,0,1
A001,3,14,0,1
A001,4,15,0,1
A002,1,12,0,1
A002,2,13,0,1
A002,3,14,0,1
A002,4,15,0,1
A003,1,12,0,1
A003,2,13,0,1
A003,3,14,0,1
A003,4,15,0,1
A004,1,23,0,1
A004,2,24,0,1
A004,3,25,0,1
A004,4,26,0,1
A004,5,27,0,1
A004,6,28,0,1
A005,1,23,0,1
A005,2,24,0,1
A005,3,25,0,1
A005,4,26,0,1
A005,5,27,0,1
A005,6,28,0,1
A006,1,23,0,1
A006,2,24,0,1
A006,3,25,0,1
A006,4,26,0,1
A006,5,27,0,1
A006,6,28,0,1
A007,1,6,0,1
A007,2,7,0,1
A007,3,10,0,1
A008,1,6,0,1
A008,2,7,0,1
A008,3,10,0,1
A009,1,6,0,1
A009,2,7,0,1
A009,3,10,0,1
A010,1,6,0,1
A010,2,7,0,1
A010,3,10,0,1
A011,1,9,0,1
A011,2,10,0,1
A011,3,11,0,1
A012,1,9,0,1
A012,2,10,0,2
A012,3,11,0,1
A013,1,27,0,1
A013,2,28,0,1
A014,1,27,0,1
A014,2,28,0,1
A015,1,27,0,1
A015,2,28,0,1
A016,1,27,0,1
A016,2,28,0,1
A017,1,16,0,1
A018,1,16,0,1
A019,1,16,0,1
A020,1,16,0,2
A021,1,16,0,1
A021,2,17,0,1
A021,3,18,0,1
A021,4,19,0,1
A022,1,16,0,1
A022,2,17,0,1
A022,3,18,0,1
A022,4,19,0,1
A023,1,2,0,1
A023,2,4,0,1
A023,3,5,0,1
A024,1,20,0,1
A024,2,21,0,1
A024,3,22,0,1
A025,1,20,0,1
A025,2,23,0,1
A026,1,20,0,1
A026,2,23,0,1
A027,1,20,0,1
A027,2,23,0,1
A028,1,20,0,1
A028,2,23,0,1
A029,1,23,0,1
A029,2,24,0,1
A029,3,25,0,1
A029,4,26,0,1
A030,1,10,0,2
A031,1,10,0,1
A032,1,10,0,2
A033,1,10,0,1
A034,1,29,0,1
A035,1,29,0,1
A036,1,29,0,1
A037,1,2,0,1
A037,2,3,0,1
A037,3,4,0,1
A037,4,5,0,1
A037,5,6,0,1
A037,6,8,0,1
A038,1,9,0,1
A038,2,10,0,1
A038,3,11,0,1
A038,4,12,0,1
A038,5,14,0,1
A039,1,9,0,1
A039,2,10,0,2
A039,3,11,0,1
A039,4,12,0,1
A039,5,14,0,1
A040,1,10,0,1
A040,2,11,0,1
A040,3,15,0,1
A041,1,26,0,1
A042,1,26,0,1
A043,1,26,0,1
A044,1,26,0,2
A045,1,14,0,1
A045,2,15,0,1
A045,3,17,0,1
A045,4,18,0,1
A045,5,20,0,1
A046,1,14,0,2
A046,2,15,0,1
A046,3,17,0,1
A046,4,18,0,1
A046,5,20,0,2
A047,1,23,0,2
A047,2,25,0,1
A047,3,26,0,1
A047,4,27,0,1
A047,5,28,0,1
A047,6,29,0,1
A048,1,23,0,1
A048,2,25,0,1
A048,3,26,0,1
A048,4,27,0,1
A048,5,28,0,1
A048,6,29,0,2
A049,1,23,0,1
A049,2,25,0,1
A049,3,26,0,1
A049,4,27,0,1
A049,5,28,0,1
A049,6,29,0,1
A050,1,23,0,2
A050,2,25,0,2
A050,3,26,0,2
A050,4,27,0,2
A050,5,28,0,2
A050,6,29,0,2
A051,1,25,0,1
A051,2,26,0,1
A052,1,4,0,1
A052,2,5,0,1
A052,3,7,0,2
A052,4,8,0,1
A052,5,9,0,1
A053,1,4,0,1
A053,2,5,0,1
A053,3,7,0,1
A053,4,8,0,1
A053,5,9,0,1
A054,1,4,0,1
A054,2,5,0,1
A054,3,7,0,1
A054,4,8,0,1
A054,5,9,0,1
