activity_id,week,location_id,co_share_group
A001,12,PLAT:BET:H01:WB,g001
A001,12,PLAT:BET:H02:WB,g001
A001,12,PLAT:BET:S13:WB,g001
A001,12,PLAT:BET:S14:WB,g001
A001,12,SEC:BET:H01_H02:WB,g001
A001,12,SEC:BET:S13_S14:WB,g001
A001,12,SEC:BET:S14_H01:WB,g001
A002,12,PLAT:BET:H01:WB,g001
A002,12,PLAT:BET:H02:WB,g001
A002,12,PLAT:BET:S13:WB,g001
A002,12,PLAT:BET:S14:WB,g001
A002,12,SEC:BET:H01_H02:WB,g001
A002,12,SEC:BET:S13_S14:WB,g001
A002,12,SEC:BET:S14_H01:WB,g001
A003,12,PLAT:BET:H01:WB,g001
A003,12,PLAT:BET:H02:WB,g001
A003,12,PLAT:BET:S14:WB,g001
A003,12,SEC:BET:H01_H02:WB,g001
A003,12,SEC:BET:S14_H01:WB,g001
A001,13,PLAT:BET:H01:WB,g001
A001,13,PLAT:BET:H02:WB,g001
A001,13,PLAT:BET:S13:WB,g001
A001,13,PLAT:BET:S14:WB,g001
A001,13,SEC:BET:H01_H02:WB,g001
A001,13,SEC:BET:S13_S14:WB,g001
A001,13,SEC:BET:S14_H01:WB,g001
A002,13,PLAT:BET:H01:WB,g001
A002,13,PLAT:BET:H02:WB,g001
A002,13,PLAT:BET:S13:WB,g001
A002,13,PLAT:BET:S14:WB,g001
A002,13,SEC:BET:H01_H02:WB,g001
A002,13,SEC:BET:S13_S14:WB,g001
A002,13,SEC:BET:S14_H01:WB,g001
A003,13,PLAT:BET:H01:WB,g001
A003,13,PLAT:BET:H02:WB,g001
A003,13,PLAT:BET:S14:WB,g001
A003,13,SEC:BET:H01_H02:WB,g001
A003,13,SEC:BET:S14_H01:WB,g001
A001,14,PLAT:BET:H01:WB,g001
A001,14,PLAT:BET:H02:WB,g001
A001,14,PLAT:BET:S13:WB,g001
A001,14,PLAT:BET:S14:WB,g001
A001,14,SEC:BET:H01_H02:WB,g001
A001,14,SEC:BET:S13_S14:WB,g001
A001,14,SEC:BET:S14_H01:WB,g001
A002,14,PLAT:BET:H01:WB,g001
A002,14,PLAT:BET:H02:WB,g001
A002,14,PLAT:BET:S13:WB,g001
A002,14,PLAT:BET:S14:WB,g001
A002,14,SEC:BET:H01_H02:WB,g001
A002,14,SEC:BET:S13_S14:WB,g001
A002,14,SEC:BET:S14_H01:WB,g001
A003,14,PLAT:BET:H01:WB,g001
A003,14,PLAT:BET:H02:WB,g001
A003,14,PLAT:BET:S14:WB,g001
A003,14,SEC:BET:H01_H02:WB,g001
A003,14,SEC:BET:S14_H01:WB,g001
A001,15,PLAT:BET:H01:WB,g001
A001,15,PLAT:BET:H02:WB,g001
A001,15,PLAT:BET:S13:WB,g001
A001,15,PLAT:BET:S14:WB,g001
A001,15,SEC:BET:H01_H02:WB,g001
A001,15,SEC:BET:S13_S14:WB,g001
A001,15,SEC:BET:S14_H01:WB,g001
A002,15,PLAT:BET:H01:WB,g001
A002,15,PLAT:BET:H02:WB,g001
A002,15,PLAT:BET:S13:WB,g001
A002,15,PLAT:BET:S14:WB,g001
A002,15,SEC:BET:H01_H02:WB,g001
A002,15,SEC:BET:S13_S14:WB,g001
A002,15,SEC:BET:S14_H01:WB,g001
A003,15,PLAT:BET:H01:WB,g001
A003,15,PLAT:BET:H02:WB,g001
A003,15,PLAT:BET:S14:WB,g001
A003,15,SEC:BET:H01_H02:WB,g001
A003,15,SEC:BET:S14_H01:WB,g001
A004,23,PLAT:ALP:S01:WB,g002
A004,23,PLAT:ALP:S02:WB,g002
A004,23,PLAT:ALP:S03:WB,g002
A004,23,SEC:ALP:S01_S02:WB,g002
A004,23,SEC:ALP:S02_S03:WB,g002
A005,23,PLAT:ALP:S01:WB,g002
A005,23,PLAT:ALP:S02:WB,g002
A005,23,PLAT:ALP:S03:WB,g002
A005,23,SEC:ALP:S01_S02:WB,g002
A005,23,SEC:ALP:S02_S03:WB,g002
A006,23,PLAT:ALP:S01:WB,g002
A006,23,PLAT:ALP:S02:WB,g002
A006,23,SEC:ALP:S01_S02:WB,g002
A004,24,PLAT:ALP:S01:WB,g002
A004,24,PLAT:ALP:S02:WB,g002
A004,24,PLAT:ALP:S03:WB,g002
A004,24,SEC:ALP:S01_S02:WB,g002
A004,24,SEC:ALP:S02_S03:WB,g002
A005,24,PLAT:ALP:S01:WB,g002
A005,24,PLAT:ALP:S02:WB,g002
A005,24,PLAT:ALP:S03:WB,g002
A005,24,SEC:ALP:S01_S02:WB,g002
A005,24,SEC:ALP:S02_S03:WB,g002
A006,24,PLAT:ALP:S01:WB,g002
A006,24,PLAT:ALP:S02:WB,g002
A006,24,SEC:ALP:S01_S02:WB,g002
A004,25,PLAT:ALP:S01:WB,g002
A004,25,PLAT:ALP:S02:WB,g002
A004,25,PLAT:ALP:S03:WB,g002
A004,25,SEC:ALP:S01_S02:WB,g002
A004,25,SEC:ALP:S02_S03:WB,g002
A005,25,PLAT:ALP:S01:WB,g002
A005,25,PLAT:ALP:S02:WB,g002
A005,25,PLAT:ALP:S03:WB,g002
A005,25,SEC:ALP:S01_S02:WB,g002
A005,25,SEC:ALP:S02_S03:WB,g002
A006,25,PLAT:ALP:S01:WB,g002
A006,25,PLAT:ALP:S02:WB,g002
A006,25,SEC:ALP:S01_S02:WB,g002
A004,26,PLAT:ALP:S01:WB,g002
A004,26,PLAT:ALP:S02:WB,g002
A004,26,PLAT:ALP:S03:WB,g002
A004,26,SEC:ALP:S01_S02:WB,g002
A004,26,SEC:ALP:S02_S03:WB,g002
A005,26,PLAT:ALP:S01:WB,g002
A005,26,PLAT:ALP:S02:WB,g002
A005,26,PLAT:ALP:S03:WB,g002
A005,26,SEC:ALP:S01_S02:WB,g002
A005,26,SEC:ALP:S02_S03:WB,g002
A006,26,PLAT:ALP:S01:WB,g002
A006,26,PLAT:ALP:S02:WB,g002
A006,26,SEC:ALP:S01_S02:WB,g002
A004,27,PLAT:ALP:S01:WB,g002
A004,27,PLAT:ALP:S02:WB,g002
A004,27,PLAT:ALP:S03:WB,g002
A004,27,SEC:ALP:S01_S02:WB,g002
A004,27,SEC:ALP:S02_S03:WB,g002
A005,27,PLAT:ALP:S01:WB,g002
A005,27,PLAT:ALP:S02:WB,g002
A005,27,PLAT:ALP:S03:WB,g002
A005,27,SEC:ALP:S01_S02:WB,g002
A005,27,SEC:ALP:S02_S03:WB,g002
A006,27,PLAT:ALP:S01:WB,g002
A006,27,PLAT:ALP:S02:WB,g002
A006,27,SEC:ALP:S01_S02:WB,g002
A004,28,PLAT:ALP:S01:WB,g002
A004,28,PLAT:ALP:S02:WB,g002
A004,28,PLAT:ALP:S03:WB,g002
A004,28,SEC:ALP:S01_S02:WB,g002
A004,28,SEC:ALP:S02_S03:WB,g002
A005,28,PLAT:ALP:S01:WB,g002
A005,28,PLAT:ALP:S02:WB,g002
A005,28,PLAT:ALP:S03:WB,g002
A005,28,SEC:ALP:S01_S02:WB,g002
A005,28,SEC:ALP:S02_S03:WB,g002
A006,28,PLAT:ALP:S01:WB,g002
A006,28,PLAT:ALP:S02:WB,g002
A006,28,SEC:ALP:S01_S02:WB,g002
A007,6,PLAT:ALP:S06:EB,g003
A007,6,PLAT:ALP:S07:EB,g003
A007,6,PLAT:ALP:S08:EB,g003
A007,6,SEC:ALP:S06_S07:EB,g003
