activity_id,week,location_id,co_share_group
A001,6,PLAT:ALP:H01:EB,g001
A001,6,PLAT:ALP:H02:EB,g001
A001,6,PLAT:ALP:S05:EB,g001
A001,6,SEC:ALP:H01_H02:EB,g001
A001,6,SEC:ALP:H02_S05:EB,g001
A001,8,PLAT:ALP:H01:EB,g001
A001,8,PLAT:ALP:H02:EB,g001
A001,8,PLAT:ALP:S05:EB,g001
A001,8,SEC:ALP:H01_H02:EB,g001
A001,8,SEC:ALP:H02_S05:EB,g001
A001,9,PLAT:ALP:H01:EB,g001
A001,9,PLAT:ALP:H02:EB,g001
A001,9,PLAT:ALP:S05:EB,g001
A001,9,SEC:ALP:H01_H02:EB,g001
A001,9,SEC:ALP:H02_S05:EB,g001
A001,11,PLAT:ALP:H01:EB,g001
A001,11,PLAT:ALP:H02:EB,g001
A001,11,PLAT:ALP:S05:EB,g001
A001,11,SEC:ALP:H01_H02:EB,g001
A001,11,SEC:ALP:H02_S05:EB,g001
A001,12,PLAT:ALP:H01:EB,g001
A001,12,PLAT:ALP:H02:EB,g001
A001,12,PLAT:ALP:S05:EB,g001
A001,12,SEC:ALP:H01_H02:EB,g001
A001,12,SEC:ALP:H02_S05:EB,g001
A001,14,PLAT:ALP:H01:EB,g001
A001,14,PLAT:ALP:H02:EB,g001
A001,14,PLAT:ALP:S05:EB,g001
A001,14,SEC:ALP:H01_H02:EB,g001
A001,14,SEC:ALP:H02_S05:EB,g001
A002,23,PLAT:BET:H01:WB,g002
A002,23,PLAT:BET:H02:WB,g002
A002,23,PLAT:BET:S14:WB,g002
A002,23,SEC:BET:H01_H02:WB,g002
A002,23,SEC:BET:S14_H01:WB,g002
A003,23,PLAT:BET:H01:WB,g002
A003,23,PLAT:BET:H02:WB,g002
A003,23,PLAT:BET:S14:WB,g002
A003,23,SEC:BET:H01_H02:WB,g002
A003,23,SEC:BET:S14_H01:WB,g002
A002,24,PLAT:BET:H01:WB,g002
A002,24,PLAT:BET:H02:WB,g002
A002,24,PLAT:BET:S14:WB,g002
A002,24,SEC:BET:H01_H02:WB,g002
A002,24,SEC:BET:S14_H01:WB,g002
A003,24,PLAT:BET:H01:WB,g002
A003,24,PLAT:BET:H02:WB,g002
A003,24,PLAT:BET:S14:WB,g002
A003,24,SEC:BET:H01_H02:WB,g002
A003,24,SEC:BET:S14_H01:WB,g002
A002,26,PLAT:BET:H01:WB,g002
A002,26,PLAT:BET:H02:WB,g002
A002,26,PLAT:BET:S14:WB,g002
A002,26,SEC:BET:H01_H02:WB,g002
A002,26,SEC:BET:S14_H01:WB,g002
A003,26,PLAT:BET:H01:WB,g002
A003,26,PLAT:BET:H02:WB,g002
A003,26,PLAT:BET:S14:WB,g002
A003,26,SEC:BET:H01_H02:WB,g002
A003,26,SEC:BET:S14_H01:WB,g002
A002,27,PLAT:BET:H01:WB,g002
A002,27,PLAT:BET:H02:WB,g002
A002,27,PLAT:BET:S14:WB,g002
A002,27,SEC:BET:H01_H02:WB,g002
A002,27,SEC:BET:S14_H01:WB,g002
A003,27,PLAT:BET:H01:WB,g002
A003,27,PLAT:BET:H02:WB,g002
A003,27,PLAT:BET:S14:WB,g002
A003,27,SEC:BET:H01_H02:WB,g002
A003,27,SEC:BET:S14_H01:WB,g002
A002,28,PLAT:BET:H01:WB,g002
A002,28,PLAT:BET:H02:WB,g002
A002,28,PLAT:BET:S14:WB,g002
A002,28,SEC:BET:H01_H02:WB,g002
A002,28,SEC:BET:S14_H01:WB,g002
A003,28,PLAT:BET:H01:WB,g002
A003,28,PLAT:BET:H02:WB,g002
A003,28,PLAT:BET:S14:WB,g002
A003,28,SEC:BET:H01_H02:WB,g002
A003,28,SEC:BET:S14_H01:WB,g002
A004,16,PLAT:BET:H01:EB,g003
A004,16,PLAT:BET:H02:EB,g003
A004,16,PLAT:BET:S15:EB,g003
A004,16,SEC:BET:H01_H02:EB,g003
A004,16,SEC:BET:H02_S15:EB,g003
A004,17,PLAT:BET:H01:EB,g003
A004,17,PLAT:BET:H02:EB,g003
A004,17,PLAT:BET:S15:EB,g003
A004,17,SEC:BET:H01_H02:EB,g003
A004,17,SEC:BET:H02_S15:EB,g003
A004,19,PLAT:BET:H01:EB,g003
A004,19,PLAT:BET:H02:EB,g003
A004,19,PLAT:BET:S15:EB,g003
A004,19,SEC:BET:H01_H02:EB,g003
A004,19,SEC:BET:H02_S15:EB,g003
A004,21,PLAT:BET:H01:EB,g003
A004,21,PLAT:BET:H02:EB,g003
A004,21,PLAT:BET:S15:EB,g003
A004,21,SEC:BET:H01_H02:EB,g003
A004,21,SEC:BET:H02_S15:EB,g003
A004,22,PLAT:BET:H01:EB,g003
A004,22,PLAT:BET:H02:EB,g003
A004,22,PLAT:BET:S15:EB,g003
A004,22,SEC:BET:H01_H02:EB,g003
A004,22,SEC:BET:H02_S15:EB,g003
A005,9,PLAT:ALP:H01:WB,g004
A005,9,PLAT:ALP:H02:WB,g004
A005,9,PLAT:ALP:S05:WB,g004
A005,9,SEC:ALP:H01_H02:WB,g004
A005,9,SEC:ALP:H02_S05:WB,g004
A006,9,PLAT:ALP:H01:WB,g004
A006,9,PLAT:ALP:H02:WB,g004
A006,9,SEC:ALP:H01_H02:WB,g004
A005,10,PLAT:ALP:H01:WB,g004
A005,10,PLAT:ALP:H02:WB,g004
A005,10,PLAT:ALP:S05:WB,g004
A005,10,SEC:ALP:H01_H02:WB,g004
A005,10,SEC:ALP:H02_S05:WB,g004
A006,10,PLAT:ALP:H01:WB,g004
A006,10,PLAT:ALP:H02:WB,g004
A006,10,SEC:ALP:H01_H02:WB,g004
A005,13,PLAT:ALP:H01:WB,g004
A005,13,PLAT:ALP:H02:WB,g004
A005,13,PLAT:ALP:S05:WB,g004
A005,13,SEC:ALP:H01_H02:WB,g004
