activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,4,2027-07-05,,2
A002,C002,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,4,2027-06-14,,3
A003,C003,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-06-07,,1
A004,C004,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-06-14,,1
A005,C005,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,6,2027-10-18,,2
A006,C006,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,5,2027-10-25,,1
A007,C007,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,3,2027-11-15,,1
A008,C005,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,3,2027-11-22,,2
A009,C002,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-11-08,,2
A010,C001,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-05-31,,2
A011,C008,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-05-24,,1
A012,C009,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,5,2027-08-23,A002,1
A013,C009,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,5,2027-09-06,,3
A014,C008,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,5,2027-08-16,,1
A015,C010,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,4,2027-06-21,,1
A016,C002,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,6,2027-08-30,A015,3
A017,C009,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,6,2027-08-23,,1
A018,C011,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,6,2027-06-14,,1
A019,C007,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,6,2027-07-19,,3
A020,C012,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,6,2027-08-09,,3
A021,C013,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,5,2027-08-02,,3
A022,C012,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,5,2027-07-19,,3
A023,C002,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,1,2027-09-13,,1
A024,C005,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,5,2027-05-24,,3
A025,C007,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,6,2027-06-07,,2
A026,C007,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-11-22,,2
A027,C008,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-07-05,,1
A028,C012,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,2,2027-07-05,,3
A029,C002,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-07-12,,1
A030,C007,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-08-30,A022,1
A031,C012,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-09-06,,3
A032,C010,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-08-23,,3
A033,C014,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,2,2027-08-30,,1
A034,C015,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-08-30,,3
A035,C016,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,5,2027-11-15,,3
A036,C009,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,5,2027-10-25,,1
A037,C006,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,6,2027-07-26,,1
A038,C010,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,5,2027-07-12,A018,3
A039,C014,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,5,2027-08-02,A018,1
A040,C015,Construction,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,5,2027-07-26,A018,2
A041,C010,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,4,2027-11-08,,3
A042,C013,Construction,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,4,2027-11-08,A017,3
A043,C012,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,4,2027-10-25,,2
A044,C002,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,4,2027-08-16,,2
A045,C014,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,4,2027-08-16,,1
A046,C012,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,4,2027-11-08,A017,1
A047,C001,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,5,2027-05-24,,3
A048,C012,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,5,2027-05-31,,2
A049,C002,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,5,2027-05-24,,3
A050,C001,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-09-20,,1
A051,C013,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-09-20,,3
A052,C009,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-10-11,A031,2
A053,C007,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,4,2027-06-14,,3
A054,C016,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,4,2027-06-21,,3
