activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,3,2027-12-13,,2
A002,C002,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S17_S18:EB,5,2028-01-24,A001,1
A003,C003,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,4,2027-09-13,,2
A004,C004,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,4,2027-09-27,,3
A005,C005,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,1,2027-08-23,,3
A006,C004,Construction,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,1,2027-08-16,,2
A007,C006,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,1,2027-08-09,,2
A008,C007,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,2,2028-01-03,A004,3
A009,C005,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-10-18,A004,3
A010,C008,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,4,2027-11-01,A004,1
A011,C003,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-10-25,,3
A012,C008,Renewal,SEC:BET:S13_S14:EB,SEC:BET:H01_H02:EB,2,2028-02-14,,2
A013,C009,Construction,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,2,2028-01-24,A008,3
A014,C010,Construction,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,4,2028-01-03,A008,3
A015,C011,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,4,2028-01-24,A008,2
A016,C007,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S07_S08:WB,2,2027-07-05,,1
A017,C008,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,3,2027-09-27,,2
A018,C003,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,3,2027-09-13,A007,2
A019,C012,Construction,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,3,2027-10-04,A007,2
A020,C010,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,5,2027-11-08,A004,1
A021,C011,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S06_S07:WB,5,2027-11-08,A004,3
A022,C001,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S05_S06:WB,5,2027-11-01,A004,1
A023,C013,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S16_S17:WB,1,2027-06-28,,2
A024,C014,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,1,2027-06-21,,3
A025,C012,Construction,SEC:BET:S15_S16:WB,SEC:BET:S17_S18:WB,1,2027-06-21,,3
A026,C007,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,5,2027-09-27,A007,1
A027,C008,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,5,2027-10-11,A007,2
A028,C007,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,5,2027-11-08,,1
A029,C010,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,5,2027-11-01,A004,3
A030,C005,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S04_H01:WB,3,2027-10-25,A019,3
A031,C003,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,3,2027-10-11,A019,1
A032,C001,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:H02_S05:EB,1,2027-06-21,,2
A033,C012,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:S05_S06:EB,1,2027-06-21,,3
A034,C015,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,2,2027-10-11,A007,2
A035,C008,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:H01_H02:WB,2,2027-10-04,A007,2
A036,C010,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,2,2027-10-11,A007,3
A037,C001,Renewal,SEC:BET:S13_S14:WB,SEC:BET:H01_H02:WB,5,2027-08-09,,2
A038,C011,Renewal,SEC:BET:S13_S14:WB,SEC:BET:H01_H02:WB,5,2027-07-19,A016,1
A039,C013,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,5,2027-07-26,A016,3
A040,C002,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,5,2028-01-03,,1
A041,C007,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,2,2027-11-22,A031,3
A042,C013,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,2,2027-11-22,A031,2
A043,C002,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S16_S17:WB,6,2027-06-21,A033,3
A044,C001,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,6,2027-12-13,A042,2
A045,C012,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,6,2028-01-03,A042,2
A046,C002,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,1,2028-02-14,A040,1
A047,C007,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:S04_H01:EB,5,2027-12-13,A011,3
A048,C009,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,5,2027-12-13,A011,1
A049,C002,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,5,2027-06-28,,3
A050,C013,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,1,2028-02-14,A046,2
A051,C009,Construction,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,1,2028-01-31,A046,2
A052,C006,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,1,2028-01-31,A046,3
A053,C012,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,1,2028-01-31,A048,3
A054,C014,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S02_S03:WB,1,2028-01-17,,1
A055,C005,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,3,2027-10-11,A019,1
A056,C005,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,5,2027-10-18,A039,2
A057,C011,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,5,2027-10-11,A039,1
A058,C010,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,3,2027-06-28,A033,3
A059,C013,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,3,2027-06-21,A033,3
A060,C007,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S03_S04:WB,1,2028-02-07,,1
