activity_id,access_seq,week,eclo,access_night
A001,1,26,0,1
A001,2,28,0,1
A001,3,29,0,1
A002,1,32,0,1
A002,2,33,0,1
A002,3,34,0,1
A002,4,35,0,1
A002,5,36,0,1
A003,1,15,0,1
A003,2,16,0,1
A003,3,18,0,1
A003,4,20,0,1
A004,1,15,0,1
A004,2,16,0,1
A004,3,18,0,1
A004,4,20,0,1
A005,1,10,0,1
A006,1,10,0,1
A007,1,10,0,1
A008,1,29,0,1
A008,2,30,0,1
A009,1,21,0,1
A009,2,23,0,1
A009,3,24,0,1
A009,4,25,0,1
A010,1,21,0,1
A010,2,23,0,1
A010,3,24,0,1
A010,4,25,0,1
A011,1,21,0,1
A011,2,23,0,1
A011,3,24,0,1
A011,4,25,0,1
A012,1,35,0,1
A012,2,36,0,1
A013,1,35,0,1
A013,2,36,0,1
A014,1,32,0,1
A014,2,33,0,1
A014,3,35,0,1
A014,4,36,0,1
A015,1,32,0,1
A015,2,33,0,1
A015,3,35,0,1
A015,4,36,0,1
A016,1,3,0,1
A016,2,4,0,1
A017,1,16,0,1
A017,2,17,0,1
A017,3,19,0,1
A018,1,16,0,2
A018,2,17,0,1
A018,3,19,0,1
A019,1,16,0,1
A019,2,17,0,1
A019,3,19,0,1
A020,1,23,0,1
A020,2,24,0,1
A020,3,25,0,1
A020,4,26,0,1
A020,5,27,0,1
A021,1,23,0,1
A021,2,24,0,1
A021,3,25,0,1
A021,4,26,0,1
A021,5,27,0,1
A022,1,23,0,1
A022,2,24,0,1
A022,3,25,0,1
A022,4,26,0,2
A022,5,27,0,1
A023,1,3,0,1
A024,1,3,0,1
A025,1,3,0,1
A026,1,17,0,1
A026,2,18,0,1
A026,3,19,0,1
A026,4,21,0,1
A026,5,22,0,1
A027,1,17,0,2
A027,2,18,0,1
A027,3,19,0,2
A027,4,21,0,2
A027,5,22,0,1
A028,1,21,0,2
A028,2,23,0,1
A028,3,24,0,1
A028,4,25,0,1
A028,5,26,0,1
A029,1,21,0,1
A029,2,23,0,2
A029,3,24,0,2
A029,4,25,0,2
A029,5,26,0,2
A030,1,20,0,1
A030,2,22,0,1
A030,3,23,0,1
A031,1,20,0,2
A031,2,22,0,1
A031,3,23,0,2
A032,1,2,0,1
A033,1,2,0,1
A034,1,18,0,1
A034,2,20,0,1
A035,1,18,0,2
A035,2,20,0,1
A036,1,18,0,1
A036,2,20,0,1
A037,1,8,0,1
A037,2,10,0,1
A037,3,11,0,1
A037,4,12,0,1
A037,5,13,0,1
A038,1,8,0,1
A038,2,10,0,1
A038,3,11,0,1
A038,4,12,0,1
A038,5,13,0,1
A039,1,8,0,1
A039,2,10,0,1
A039,3,11,0,1
A039,4,12,0,1
A039,5,13,0,1
A040,1,30,0,1
A040,2,31,0,1
A040,3,32,0,2
A040,4,33,0,2
A040,5,34,0,2
A041,1,24,0,2
A041,2,27,0,1
A042,1,24,0,1
A042,2,27,0,1
A043,1,3,0,1
A043,2,4,0,1
A043,3,5,0,1
A043,4,6,0,1
A043,5,7,0,1
A043,6,8,0,1
A044,1,29,0,2
A044,2,31,0,1
A044,3,32,0,1
A044,4,33,0,1
A044,5,35,0,1
A044,6,36,0,1
A045,1,29,0,1
A045,2,31,0,1
A045,3,32,0,1
A045,4,33,0,1
A045,5,35,0,1
A045,6,36,0,1
A046,1,35,0,2
A047,1,26,0,2
A047,2,29,0,2
A047,3,30,0,2
A047,4,32,0,1
A047,5,33,0,1
A048,1,26,0,1
A048,2,29,0,1
A048,3,30,0,1
A048,4,32,0,1
A048,5,33,0,1
A049,1,3,0,2
A049,2,5,0,2
A049,3,6,0,2
A049,4,7,0,2
A049,5,8,0,2
A050,1,36,0,1
A051,1,36,0,2
A052,1,36,0,1
A053,1,34,0,1
A054,1,34,0,1
A055,1,20,0,1
A055,2,21,0,1
A055,3,22,0,1
A056,1,19,0,1
A056,2,20,0,2
A056,3,21,0,2
A056,4,22,0,2
A056,5,23,0,2
A057,1,19,0,1
A057,2,20,0,1
A057,3,21,0,1
A057,4,22,0,1
A057,5,23,0,2
A058,1,3,0,1
A058,2,4,0,1
A058,3,7,0,1
A059,1,3,0,2
A059,2,4,0,1
A059,3,7,0,1
A060,1,36,0,1
