activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,5,2027-11-01,,1
A002,C002,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,5,2027-10-11,,2
A003,C003,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,5,2027-10-18,,2
A004,C004,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,3,2027-10-18,,2
A005,C003,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,3,2027-10-11,,2
A006,C005,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,3,2027-10-18,,2
A007,C006,Construction,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,3,2027-10-25,,3
A008,C007,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:H02_S05:WB,1,2027-07-26,,1
A009,C006,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S03_S04:WB,1,2028-01-31,,2
A010,C005,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,1,2028-02-07,,3
A011,C008,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,3,2027-08-30,,2
A012,C005,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,3,2027-08-30,,1
A013,C001,Construction,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,3,2027-09-06,A008,2
A014,C009,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,4,2027-07-19,,2
A015,C010,Construction,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,5,2027-12-27,,1
A016,C007,Construction,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,5,2028-01-03,A003,1
A017,C003,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S16_S17:EB,5,2027-12-27,,1
A018,C004,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,5,2028-01-03,A003,3
A019,C005,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,5,2027-12-27,A003,2
A020,C001,Construction,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,5,2027-12-27,,3
A021,C005,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,5,2027-12-06,,3
A022,C011,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,6,2027-08-09,,1
A023,C005,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,6,2027-08-23,A008,2
A024,C001,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,6,2027-08-16,,3
A025,C011,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,5,2027-12-13,,3
A026,C005,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,5,2027-11-22,,3
A027,C002,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,5,2027-11-22,A003,2
