activity_id,access_seq,week,eclo,access_night
A001,1,16,0,1
A001,2,17,0,1
A001,3,18,0,1
A001,4,20,0,1
A001,5,21,0,1
A002,1,16,0,1
A002,2,17,0,1
A002,3,18,0,1
A002,4,20,0,1
A002,5,21,0,1
A003,1,16,0,1
A003,2,17,0,1
A003,3,18,0,1
A003,4,20,0,1
A003,5,21,0,1
A004,1,16,0,1
A004,2,17,0,1
A004,3,18,0,1
A005,1,16,0,1
A005,2,17,0,1
A005,3,18,0,1
A006,1,16,0,1
A006,2,17,0,1
A006,3,18,0,1
A007,1,16,0,1
A007,2,17,0,1
A007,3,18,0,1
A008,1,5,0,1
A009,1,30,0,1
A010,1,30,0,1
A011,1,10,0,1
A011,2,11,0,1
A011,3,12,0,1
A012,1,10,0,1
A012,2,11,0,1
A012,3,12,0,1
A013,1,10,0,1
A013,2,11,0,1
A013,3,12,0,1
A014,1,2,0,1
A014,2,3,0,1
A014,3,4,0,1
A014,4,8,0,1
A015,1,26,0,1
A015,2,27,0,1
A015,3,28,0,1
A015,4,29,0,1
A015,5,30,0,1
A016,1,26,0,1
A016,2,27,0,1
A016,3,28,0,1
A016,4,29,0,1
A016,5,30,0,1
A017,1,26,0,1
A017,2,27,0,1
A017,3,28,0,1
A017,4,29,0,1
A017,5,30,0,1
A018,1,26,0,1
A018,2,27,0,1
A018,3,28,0,1
A018,4,29,0,1
A018,5,30,0,1
A019,1,24,0,1
A019,2,25,0,1
A019,3,26,0,1
A019,4,28,0,1
A019,5,30,0,1
A020,1,24,0,1
A020,2,25,0,1
A020,3,26,0,1
A020,4,28,0,1
A020,5,30,0,1
A021,1,24,0,1
A021,2,25,0,1
A021,3,26,0,1
A021,4,28,0,1
A021,5,30,0,2
A022,1,6,0,1
A022,2,7,0,1
A022,3,8,0,1
A022,4,9,0,1
A022,5,13,0,1
A022,6,14,0,1
A023,1,6,0,1
A023,2,7,0,1
A023,3,8,0,1
A023,4,9,0,1
A023,5,13,0,1
A023,6,14,0,1
A024,1,6,0,1
A024,2,7,0,1
A024,3,8,0,1
A024,4,9,0,1
A024,5,13,0,1
A024,6,14,0,1
A025,1,22,0,1
A025,2,23,0,1
A025,3,24,0,1
A025,4,25,0,1
A025,5,26,0,1
A026,1,22,0,1
A026,2,23,0,1
A026,3,24,0,2
A026,4,25,0,2
A026,5,26,0,2
A027,1,22,0,1
A027,2,23,0,1
A027,3,24,0,1
A027,4,25,0,1
A027,5,26,0,1
A028,1,22,0,1
A028,2,23,0,1
A028,3,24,0,2
A028,4,25,0,2
A028,5,26,0,2
A029,1,13,0,1
A029,2,14,0,1
A030,1,22,0,1
A030,2,23,0,1
A030,3,25,0,1
A030,4,27,0,1
A030,5,28,0,1
A031,1,1,0,1
A031,2,2,0,1
A031,3,3,0,1
A032,1,24,0,1
A032,2,25,0,1
A033,1,4,0,1
A033,2,7,0,1
A033,3,8,0,1
A033,4,9,0,1
A033,5,10,0,1
A033,6,11,0,1
A034,1,4,0,1
A034,2,7,0,1
A034,3,8,0,1
A034,4,9,0,1
A034,5,10,0,1
A034,6,11,0,1
A035,1,4,0,1
A035,2,7,0,1
A035,3,8,0,1
A035,4,9,0,1
A035,5,10,0,1
A035,6,11,0,1
A036,1,4,0,2
A036,2,7,0,2
A036,3,8,0,2
A036,4,9,0,2
A036,5,10,0,2
A036,6,11,0,2
A037,1,12,0,1
A037,2,13,0,1
A037,3,14,0,1
A037,4,15,0,1
A037,5,16,0,1
A037,6,17,0,1
A038,1,12,0,2
A038,2,13,0,2
A038,3,14,0,2
A038,4,15,0,2
A038,5,16,0,2
A038,6,17,0,2
A039,1,7,0,1
A039,2,9,0,1
A039,3,11,0,1
A039,4,12,0,1
A039,5,13,0,1
A039,6,14,0,1
A040,1,22,0,1
A040,2,23,0,1
A040,3,25,0,2
A041,1,22,0,1
A041,2,23,0,1
A041,3,25,0,1
A042,1,4,0,1
A042,2,5,0,1
A042,3,7,0,2
A042,4,8,0,1
A043,1,3,0,1
A043,2,4,0,1
A043,3,6,0,1
A043,4,7,0,1
A044,1,3,0,1
A044,2,4,0,1
A044,3,6,0,1
A044,4,7,0,1
A045,1,3,0,1
A045,2,4,0,1
A045,3,6,0,1
A045,4,7,0,1
A046,1,13,0,2
A046,2,14,0,2
A046,3,16,0,1
A046,4,17,0,1
A046,5,19,0,1
A047,1,13,0,2
A047,2,14,0,2
A047,3,16,0,1
A047,4,17,0,1
A047,5,19,0,1
A048,1,13,0,2
A048,2,14,0,2
A048,3,16,0,2
A048,4,17,0,2
A048,5,19,0,1
A049,1,13,0,1
A049,2,14,0,1
A049,3,16,0,1
A049,4,17,0,1
A049,5,19,0,1
A050,1,21,0,1
A050,2,22,0,1
A050,3,23,0,1
A050,4,24,0,1
A051,1,21,0,1
A051,2,23,0,1
A052,1,30,0,1
A053,1,15,0,1
A053,2,16,0,2
A053,3,17,0,2
A054,1,15,0,1
A054,2,16,0,2
A054,3,17,0,2
A055,1,15,0,1
A055,2,16,0,3
A055,3,17,0,3
A056,1,11,0,2
A056,2,13,0,1
A057,1,11,0,1
A057,2,13,0,1
A058,1,29,0,1
A059,1,23,0,2
A059,2,24,0,1
A059,3,26,0,1
A059,4,27,0,1
A059,5,30,0,1
A060,1,23,0,2
A060,2,24,0,2
A060,3,26,0,2
A060,4,27,0,1
A060,5,30,0,1
A061,1,23,0,1
A061,2,24,0,1
A061,3,26,0,1
A061,4,27,0,1
A061,5,30,0,1
A062,1,23,0,2
A062,2,24,0,2
A062,3,26,0,2
A062,4,27,0,1
A062,5,30,0,2
A063,1,24,0,2
A063,2,27,0,1
A063,3,28,0,1
A064,1,8,0,3
A064,2,10,0,3
A065,1,8,0,1
A065,2,10,0,1
A066,1,8,0,1
A066,2,10,0,1
A067,1,19,0,2
A067,2,20,0,1
A067,3,21,0,1
A067,4,22,0,2
A067,5,25,0,3
A068,1,16,0,2
A069,1,16,0,2
A070,1,16,0,2
A071,1,6,0,1
A072,1,6,0,1
