activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,1,2027-09-13,,3
A002,C002,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,1,2027-11-01,,1
A003,C003,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,1,2027-10-11,A001,1
A004,C001,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,5,2027-08-16,,1
A005,C004,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,1,2027-08-30,,3
A006,C005,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,1,2027-08-23,,1
A007,C006,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-10-25,A004,3
A008,C007,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,1,2027-09-20,,3
A009,C008,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,1,2027-11-08,,2
A010,C003,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,1,2027-11-22,A007,1
A011,C009,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,1,2027-11-08,A007,1
A012,C010,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,5,2027-10-11,,2
A013,C011,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,5,2027-10-11,,1
A014,C010,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-10-18,,1
A015,C002,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,2,2027-11-08,,2
A016,C002,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,2,2027-10-25,,3
A017,C008,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,2,2027-11-01,A003,3
A018,C004,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-11-08,A012,3
A019,C012,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-11-15,,2
A020,C005,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-11-08,,2
A021,C011,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,2,2027-08-23,,3
A022,C013,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-10-11,A008,1
A023,C003,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-10-18,,1
A024,C014,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-10-18,,2
A025,C008,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-10-11,A008,1
A026,C010,Construction,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,3,2027-08-16,,1
A027,C007,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,4,2027-09-27,,1
A028,C003,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-10-25,,1
A029,C002,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-10-25,A008,1
A030,C010,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-10-25,,3
A031,C014,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-10-25,A008,2
A032,C001,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,1,2027-09-13,,3
A033,C005,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,2,2027-09-06,,3
A034,C005,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-08-16,,3
A035,C008,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-08-16,,1
A036,C009,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-08-16,,2
A037,C009,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-08-16,,3
A038,C011,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-11-15,A012,3
A039,C002,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,2,2027-10-25,A012,2
A040,C009,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-10-25,,2
A041,C002,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,5,2027-09-27,,1
A042,C007,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-08-16,,2
A043,C002,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-10-11,A008,2
A044,C003,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,1,2027-08-16,,3
A045,C010,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,1,2027-08-16,,1
A046,C006,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,5,2027-10-18,A008,3
A047,C010,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,5,2027-10-11,,3
A048,C010,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,5,2027-09-27,A008,1
A049,C004,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,4,2027-08-16,,2
A050,C008,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-08-16,,3
A051,C014,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-08-23,,1
A052,C001,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,5,2027-08-16,,1
A053,C001,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,4,2027-08-16,,1
A054,C013,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,5,2027-10-11,,2
A055,C014,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,1,2027-10-04,,2
A056,C012,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,1,2027-09-20,A026,1
A057,C010,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,1,2027-09-27,,1
A058,C012,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,1,2027-09-20,,3
A059,C014,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-08-16,,2
A060,C010,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-08-30,,3
A061,C006,Construction,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,4,2027-10-11,,3
A062,C009,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,4,2027-10-11,A043,2
A063,C010,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,4,2027-10-25,A043,3
A064,C003,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-08-16,,3
A065,C013,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,4,2027-08-16,,2
A066,C011,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-09-13,,3
A067,C006,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,5,2027-10-11,,1
A068,C011,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-08-23,,1
A069,C004,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-09-06,A037,2
A070,C013,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,5,2027-08-16,A045,1
A071,C001,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,1,2027-10-11,A066,2
A072,C012,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-11-08,,1
