scenario,contract_number,simulated_completion_date,overrun_days
A,C001,2028-04-23,9
A,C002,2028-04-30,12
A,C003,2028-04-30,4
A,C004,2028-06-18,5
A,C005,2028-04-30,0
A,C006,2028-04-30,18
A,C007,2028-06-18,17
A,C008,2028-04-23,13
A,C009,2028-06-11,21
A,C010,2028-06-11,10
A,C011,2028-04-23,5
A,C012,2028-06-18,13
A,C013,2028-01-30,7
A,C014,2028-04-23,2
A,C015,2028-02-20,4
A,C016,2028-05-28,8
A,C017,2028-01-09,5
A,C018,2028-05-28,4
A,C019,2028-04-23,3
A,C020,2028-04-30,18
A,C021,2028-06-18,20
A,C022,2028-06-11,10
