activity_id,week,location_id,co_share_group
A001,24,PLAT:ALP:H02:EB,g001
A001,24,PLAT:ALP:S05:EB,g001
A001,24,PLAT:ALP:S06:EB,g001
A001,24,PLAT:ALP:S07:EB,g001
A001,24,PLAT:ALP:S08:EB,g001
A001,24,SEC:ALP:H02_S05:EB,g001
A001,24,SEC:ALP:S05_S06:EB,g001
A001,24,SEC:ALP:S06_S07:EB,g001
A001,24,SEC:ALP:S07_S08:EB,g001
A002,24,PLAT:ALP:H02:EB,g001
A002,24,PLAT:ALP:S05:EB,g001
A002,24,PLAT:ALP:S06:EB,g001
A002,24,PLAT:ALP:S07:EB,g001
A002,24,PLAT:ALP:S08:EB,g001
A002,24,SEC:ALP:H02_S05:EB,g001
A002,24,SEC:ALP:S05_S06:EB,g001
A002,24,SEC:ALP:S06_S07:EB,g001
A002,24,SEC:ALP:S07_S08:EB,g001
A001,25,PLAT:ALP:H02:EB,g001
A001,25,PLAT:ALP:S05:EB,g001
A001,25,PLAT:ALP:S06:EB,g001
A001,25,PLAT:ALP:S07:EB,g001
A001,25,PLAT:ALP:S08:EB,g001
A001,25,SEC:ALP:H02_S05:EB,g001
A001,25,SEC:ALP:S05_S06:EB,g001
A001,25,SEC:ALP:S06_S07:EB,g001
A001,25,SEC:ALP:S07_S08:EB,g001
A002,25,PLAT:ALP:H02:EB,g001
A002,25,PLAT:ALP:S05:EB,g001
A002,25,PLAT:ALP:S06:EB,g001
A002,25,PLAT:ALP:S07:EB,g001
A002,25,PLAT:ALP:S08:EB,g001
A002,25,SEC:ALP:H02_S05:EB,g001
A002,25,SEC:ALP:S05_S06:EB,g001
A002,25,SEC:ALP:S06_S07:EB,g001
A002,25,SEC:ALP:S07_S08:EB,g001
A001,26,PLAT:ALP:H02:EB,g001
A001,26,PLAT:ALP:S05:EB,g001
A001,26,PLAT:ALP:S06:EB,g001
A001,26,PLAT:ALP:S07:EB,g001
A001,26,PLAT:ALP:S08:EB,g001
A001,26,SEC:ALP:H02_S05:EB,g001
A001,26,SEC:ALP:S05_S06:EB,g001
A001,26,SEC:ALP:S06_S07:EB,g001
A001,26,SEC:ALP:S07_S08:EB,g001
A002,26,PLAT:ALP:H02:EB,g001
A002,26,PLAT:ALP:S05:EB,g001
A002,26,PLAT:ALP:S06:EB,g001
A002,26,PLAT:ALP:S07:EB,g001
A002,26,PLAT:ALP:S08:EB,g001
A002,26,SEC:ALP:H02_S05:EB,g001
A002,26,SEC:ALP:S05_S06:EB,g001
A002,26,SEC:ALP:S06_S07:EB,g001
A002,26,SEC:ALP:S07_S08:EB,g001
A001,27,PLAT:ALP:H02:EB,g001
A001,27,PLAT:ALP:S05:EB,g001
A001,27,PLAT:ALP:S06:EB,g001
A001,27,PLAT:ALP:S07:EB,g001
A001,27,PLAT:ALP:S08:EB,g001
A001,27,SEC:ALP:H02_S05:EB,g001
A001,27,SEC:ALP:S05_S06:EB,g001
A001,27,SEC:ALP:S06_S07:EB,g001
A001,27,SEC:ALP:S07_S08:EB,g001
A002,27,PLAT:ALP:H02:EB,g001
A002,27,PLAT:ALP:S05:EB,g001
A002,27,PLAT:ALP:S06:EB,g001
A002,27,PLAT:ALP:S07:EB,g001
A002,27,PLAT:ALP:S08:EB,g001
A002,27,SEC:ALP:H02_S05:EB,g001
