activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,6,2027-03-15,,1
A002,C002,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,6,2027-01-25,,3
A003,C003,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,5,2027-01-25,,1
A004,C004,Renewal,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,6,2027-03-01,,3
A005,C003,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,3,2027-04-05,,3
A006,C005,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-03-22,,3
A007,C006,Construction,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,2,2027-05-10,,2
A008,C007,Construction,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,2,2027-05-03,A001,2
A009,C008,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,4,2027-04-05,,1
A010,C009,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,4,2027-03-22,,3
A011,C007,Construction,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,6,2027-03-22,,2
A012,C010,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,4,2027-01-18,,1
A013,C003,Renewal,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,5,2027-02-15,,1
A014,C002,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,3,2027-01-04,,1
A015,C006,Construction,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,4,2027-02-01,,2
A016,C003,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,4,2027-01-11,,3
A017,C010,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S02_S03:WB,4,2027-03-01,,3
A018,C007,Construction,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,3,2027-04-05,,1
