activity_id,access_seq,week,eclo,access_night
A001,1,13,1,1
A001,2,14,0,1
A001,3,15,0,1
A001,4,16,1,1
A001,5,17,1,1
A002,1,6,1,1
A002,2,7,0,1
A002,3,8,1,1
A002,4,9,1,1
A002,5,11,0,1
A003,1,6,0,1
A003,2,7,0,1
A003,3,8,0,1
A003,4,9,0,1
A003,5,11,1,1
A004,1,10,1,1
A004,2,11,0,1
A004,3,12,0,1
A004,4,13,1,1
A004,5,14,1,1
A005,1,16,1,1
A005,2,19,1,1
A006,1,15,0,1
A006,2,16,0,1
A007,1,19,1,1
A007,2,20,0,1
A008,1,19,1,1
A008,2,20,0,1
A009,1,15,1,1
A009,2,16,1,1
A009,3,17,0,1
A010,1,15,1,1
A010,2,16,1,1
A010,3,17,1,1
A011,1,15,1,1
A011,2,16,1,1
A011,3,18,1,1
A011,4,20,1,2
A012,1,5,1,1
A012,2,6,0,1
A012,3,7,1,1
A013,1,9,1,2
A013,2,10,1,1
A013,3,12,1,1
A013,4,14,0,1
A014,1,3,0,1
A014,2,6,1,2
A014,3,8,0,2
A015,1,5,1,1
A015,2,6,1,1
A015,3,9,1,1
A016,1,5,1,1
A016,2,6,0,2
A016,3,9,1,3
A017,1,9,1,1
A017,2,10,0,1
A017,3,11,0,1
A017,4,12,0,1
A018,1,17,0,1
A018,2,19,1,2
A018,3,20,0,3
