activity_id,week,location_id,co_share_group
A001,13,PLAT:BET:S11:EB,g001
A001,13,PLAT:BET:S12:EB,g001
A001,13,SEC:BET:S11_S12:EB,g001
A001,14,PLAT:BET:S11:EB,g001
A001,14,PLAT:BET:S12:EB,g001
A001,14,SEC:BET:S11_S12:EB,g001
A001,15,PLAT:BET:S11:EB,g001
A001,15,PLAT:BET:S12:EB,g001
A001,15,SEC:BET:S11_S12:EB,g001
A001,16,PLAT:BET:S11:EB,g001
A001,16,PLAT:BET:S12:EB,g001
A001,16,SEC:BET:S11_S12:EB,g001
A001,17,PLAT:BET:S11:EB,g001
A001,17,PLAT:BET:S12:EB,g001
A001,17,SEC:BET:S11_S12:EB,g001
A002,6,PLAT:BET:H01:EB,g002
A002,6,PLAT:BET:S14:EB,g002
A002,6,SEC:BET:S14_H01:EB,g002
A003,6,PLAT:BET:H01:EB,g002
A003,6,PLAT:BET:S14:EB,g002
A003,6,SEC:BET:S14_H01:EB,g002
A002,7,PLAT:BET:H01:EB,g002
A002,7,PLAT:BET:S14:EB,g002
A002,7,SEC:BET:S14_H01:EB,g002
A003,7,PLAT:BET:H01:EB,g002
A003,7,PLAT:BET:S14:EB,g002
A003,7,SEC:BET:S14_H01:EB,g002
A002,8,PLAT:BET:H01:EB,g002
A002,8,PLAT:BET:S14:EB,g002
A002,8,SEC:BET:S14_H01:EB,g002
A003,8,PLAT:BET:H01:EB,g002
A003,8,PLAT:BET:S14:EB,g002
A003,8,SEC:BET:S14_H01:EB,g002
A002,9,PLAT:BET:H01:EB,g002
A002,9,PLAT:BET:S14:EB,g002
A002,9,SEC:BET:S14_H01:EB,g002
A003,9,PLAT:BET:H01:EB,g002
A003,9,PLAT:BET:S14:EB,g002
A003,9,SEC:BET:S14_H01:EB,g002
A002,11,PLAT:BET:H01:EB,g002
A002,11,PLAT:BET:S14:EB,g002
A002,11,SEC:BET:S14_H01:EB,g002
A003,11,PLAT:BET:H01:EB,g002
A003,11,PLAT:BET:S14:EB,g002
A003,11,SEC:BET:S14_H01:EB,g002
A004,10,PLAT:BET:H02:WB,g003
A004,10,PLAT:BET:S15:WB,g003
A004,10,SEC:BET:H02_S15:WB,g003
A004,11,PLAT:BET:H02:WB,g003
A004,11,PLAT:BET:S15:WB,g003
A004,11,SEC:BET:H02_S15:WB,g003
A004,12,PLAT:BET:H02:WB,g003
A004,12,PLAT:BET:S15:WB,g003
A004,12,SEC:BET:H02_S15:WB,g003
A004,13,PLAT:BET:H02:WB,g003
A004,13,PLAT:BET:S15:WB,g003
A004,13,SEC:BET:H02_S15:WB,g003
A004,14,PLAT:BET:H02:WB,g003
A004,14,PLAT:BET:S15:WB,g003
A004,14,SEC:BET:H02_S15:WB,g003
A005,16,PLAT:ALP:H01:WB,g004
A005,16,PLAT:ALP:S04:WB,g004
A005,16,SEC:ALP:S04_H01:WB,g004
A005,19,PLAT:ALP:H01:WB,g004
A005,19,PLAT:ALP:S04:WB,g004
A005,19,SEC:ALP:S04_H01:WB,g004
A006,15,PLAT:ALP:H01:EB,g005
A006,15,PLAT:ALP:H02:EB,g005
A006,15,SEC:ALP:H01_H02:EB,g005
A006,16,PLAT:ALP:H01:EB,g005
A006,16,PLAT:ALP:H02:EB,g005
A006,16,SEC:ALP:H01_H02:EB,g005
A007,19,PLAT:BET:S12:EB,g006
A007,19,PLAT:BET:S13:EB,g006
A007,19,SEC:BET:S12_S13:EB,g006
A008,19,PLAT:BET:S12:EB,g006
A008,19,PLAT:BET:S13:EB,g006
A008,19,SEC:BET:S12_S13:EB,g006
A007,20,PLAT:BET:S12:EB,g006
A007,20,PLAT:BET:S13:EB,g006
A007,20,SEC:BET:S12_S13:EB,g006
A008,20,PLAT:BET:S12:EB,g006
A008,20,PLAT:BET:S13:EB,g006
A008,20,SEC:BET:S12_S13:EB,g006
A009,15,PLAT:ALP:S05:EB,g007
A009,15,PLAT:ALP:S06:EB,g007
A009,15,SEC:ALP:S05_S06:EB,g007
A010,15,PLAT:ALP:S05:EB,g007
A010,15,PLAT:ALP:S06:EB,g007
A010,15,SEC:ALP:S05_S06:EB,g007
A009,16,PLAT:ALP:S05:EB,g007
A009,16,PLAT:ALP:S06:EB,g007
A009,16,SEC:ALP:S05_S06:EB,g007
A010,16,PLAT:ALP:S05:EB,g007
A010,16,PLAT:ALP:S06:EB,g007
A010,16,SEC:ALP:S05_S06:EB,g007
A009,17,PLAT:ALP:S05:EB,g007
A009,17,PLAT:ALP:S06:EB,g007
A009,17,SEC:ALP:S05_S06:EB,g007
A010,17,PLAT:ALP:S05:EB,g007
A010,17,PLAT:ALP:S06:EB,g007
A010,17,SEC:ALP:S05_S06:EB,g007
A011,15,PLAT:BET:H02:EB,g008
A011,15,PLAT:BET:S15:EB,g008
A011,15,SEC:BET:H02_S15:EB,g008
