activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,1,2027-08-23,,3
A002,C001,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,1,2027-08-16,,3
A003,C002,Renewal,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,5,2027-04-12,,3
A004,C003,Construction,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,8,2027-02-15,,2
A005,C004,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S07_S08:WB,2,2027-03-01,,1
A006,C005,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,2,2027-03-08,,2
A007,C006,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,3,2027-03-08,,1
A008,C007,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,2,2027-07-19,,2
A009,C008,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S03_S04:EB,3,2027-07-12,,1
A010,C004,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,6,2027-05-24,A003,3
A011,C009,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,7,2027-06-07,,3
A012,C010,Construction,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,6,2027-02-01,,2
A013,C005,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,6,2027-02-08,,1
A014,C001,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,6,2027-02-01,,1
A015,C011,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S16_S17:WB,5,2027-03-29,A004,3
A016,C011,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,5,2027-03-22,,1
A017,C012,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,5,2027-03-22,,1
A018,C013,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,1,2027-04-19,,3
A019,C012,Construction,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,1,2027-04-19,A004,1
A020,C009,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,1,2027-04-19,,2
A021,C014,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,1,2027-04-19,,2
A022,C001,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,1,2027-04-05,A004,3
A023,C015,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,3,2027-04-19,A004,1
A024,C013,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,2,2027-04-26,,2
A025,C002,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S17_S18:WB,3,2027-07-26,,3
A026,C008,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,6,2027-07-26,,2
A027,C004,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:S05_S06:EB,2,2027-03-29,,3
A028,C008,Construction,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,3,2027-03-15,A007,3
A029,C007,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-03-01,,3
A030,C014,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,3,2027-03-15,,2
A031,C013,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,4,2027-03-22,,2
A032,C003,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,7,2027-06-07,,2
A033,C012,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,7,2027-05-31,A003,1
A034,C015,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S04_H01:EB,4,2027-07-19,,1
A035,C011,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S16_S17:EB,8,2027-05-10,,3
A036,C007,Construction,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,6,2027-05-17,,3
