activity_id,access_seq,week,eclo,access_night
A001,1,30,1,1
A002,1,30,0,2
A003,1,11,0,1
A003,2,12,0,1
A003,3,13,0,1
A003,4,15,1,1
A003,5,16,0,1
A004,1,3,1,1
A004,2,5,1,1
A004,3,6,1,1
A004,4,8,0,1
A004,5,9,1,1
A004,6,10,1,1
A005,1,7,0,1
A005,2,8,1,1
A006,1,7,1,1
A006,2,8,0,1
A007,1,7,1,1
A007,2,8,1,1
A008,1,26,1,1
A008,2,27,0,1
A009,1,26,1,1
A009,2,27,1,1
A010,1,20,0,1
A010,2,22,0,1
A010,3,24,0,1
A010,4,25,1,1
A010,5,27,1,1
A011,1,20,1,1
A011,2,22,0,1
A011,3,24,1,1
A011,4,25,1,1
A011,5,27,1,1
A012,1,2,0,1
A012,2,3,1,1
A012,3,7,1,1
A012,4,8,0,1
A012,5,9,1,1
A013,1,2,1,1
A013,2,3,0,1
A013,3,7,0,2
A013,4,8,1,2
A013,5,9,1,1
A014,1,2,1,1
A014,2,3,0,1
A014,3,7,0,1
A014,4,8,1,1
A014,5,9,1,1
A015,1,11,1,1
A015,2,13,0,1
A015,3,14,0,1
A015,4,15,1,1
A016,1,11,0,2
A016,2,13,1,2
A016,3,14,0,2
A016,4,15,1,2
A017,1,11,1,1
A017,2,13,0,1
A017,3,14,1,1
A017,4,15,1,1
A018,1,15,0,1
A019,1,15,0,2
A020,1,15,0,1
A021,1,13,0,1
A022,1,13,0,1
A023,1,13,1,1
A023,2,14,1,1
A024,1,13,1,1
A024,2,14,0,1
A025,1,28,0,1
A025,2,29,0,1
A025,3,30,1,1
A026,1,26,1,2
A026,2,27,1,2
A026,3,28,0,1
A026,4,29,0,1
A026,5,30,1,1
A027,1,9,0,1
A027,2,11,0,1
A028,1,9,1,1
A028,2,11,1,1
A029,1,8,1,1
A029,2,10,0,1
A029,3,11,0,1
A030,1,8,0,1
A030,2,10,1,1
A030,3,11,0,1
A031,1,8,0,1
A031,2,10,1,1
A031,3,11,1,1
A032,1,20,0,1
A032,2,21,1,1
A032,3,22,1,1
A032,4,23,0,1
A032,5,24,0,1
A032,6,25,0,1
A033,1,20,0,1
A033,2,21,0,1
A033,3,22,1,1
A033,4,23,0,1
A033,5,24,1,1
A033,6,25,0,1
A034,1,28,1,1
A034,2,29,1,1
A034,3,30,0,1
A035,1,17,0,1
A035,2,18,1,1
A035,3,19,1,1
A035,4,20,1,1
A035,5,21,1,1
A035,6,22,1,1
A036,1,17,1,1
A036,2,18,0,1
A036,3,19,0,1
A036,4,20,0,1
A036,5,21,0,1
A036,6,22,0,1
