activity_id,week,location_id,co_share_group
A001,30,PLAT:BET:S16:WB,g001
A001,30,PLAT:BET:S17:WB,g001
A001,30,PLAT:BET:S18:WB,g001
A001,30,SEC:BET:S16_S17:WB,g001
A001,30,SEC:BET:S17_S18:WB,g001
A002,30,PLAT:BET:S16:WB,g001
A002,30,PLAT:BET:S17:WB,g001
A002,30,PLAT:BET:S18:WB,g001
A002,30,SEC:BET:S16_S17:WB,g001
A002,30,SEC:BET:S17_S18:WB,g001
A003,11,PLAT:ALP:S06:EB,g002
A003,11,PLAT:ALP:S07:EB,g002
A003,11,PLAT:ALP:S08:EB,g002
A003,11,SEC:ALP:S06_S07:EB,g002
A003,11,SEC:ALP:S07_S08:EB,g002
A003,12,PLAT:ALP:S06:EB,g002
A003,12,PLAT:ALP:S07:EB,g002
A003,12,PLAT:ALP:S08:EB,g002
A003,12,SEC:ALP:S06_S07:EB,g002
A003,12,SEC:ALP:S07_S08:EB,g002
A003,13,PLAT:ALP:S06:EB,g002
A003,13,PLAT:ALP:S07:EB,g002
A003,13,PLAT:ALP:S08:EB,g002
A003,13,SEC:ALP:S06_S07:EB,g002
A003,13,SEC:ALP:S07_S08:EB,g002
A003,15,PLAT:ALP:S06:EB,g002
A003,15,PLAT:ALP:S07:EB,g002
A003,15,PLAT:ALP:S08:EB,g002
A003,15,SEC:ALP:S06_S07:EB,g002
A003,15,SEC:ALP:S07_S08:EB,g002
A003,16,PLAT:ALP:S06:EB,g002
A003,16,PLAT:ALP:S07:EB,g002
A003,16,PLAT:ALP:S08:EB,g002
A003,16,SEC:ALP:S06_S07:EB,g002
A003,16,SEC:ALP:S07_S08:EB,g002
A004,3,PLAT:BET:H02:WB,g003
A004,3,PLAT:BET:S15:WB,g003
A004,3,PLAT:BET:S16:WB,g003
A004,3,SEC:BET:H02_S15:WB,g003
A004,3,SEC:BET:S15_S16:WB,g003
A004,5,PLAT:BET:H02:WB,g003
A004,5,PLAT:BET:S15:WB,g003
A004,5,PLAT:BET:S16:WB,g003
A004,5,SEC:BET:H02_S15:WB,g003
A004,5,SEC:BET:S15_S16:WB,g003
A004,6,PLAT:BET:H02:WB,g003
A004,6,PLAT:BET:S15:WB,g003
A004,6,PLAT:BET:S16:WB,g003
A004,6,SEC:BET:H02_S15:WB,g003
A004,6,SEC:BET:S15_S16:WB,g003
A004,8,PLAT:BET:H02:WB,g003
A004,8,PLAT:BET:S15:WB,g003
A004,8,PLAT:BET:S16:WB,g003
A004,8,SEC:BET:H02_S15:WB,g003
A004,8,SEC:BET:S15_S16:WB,g003
A004,9,PLAT:BET:H02:WB,g003
A004,9,PLAT:BET:S15:WB,g003
A004,9,PLAT:BET:S16:WB,g003
A004,9,SEC:BET:H02_S15:WB,g003
A004,9,SEC:BET:S15_S16:WB,g003
A004,10,PLAT:BET:H02:WB,g003
A004,10,PLAT:BET:S15:WB,g003
A004,10,PLAT:BET:S16:WB,g003
A004,10,SEC:BET:H02_S15:WB,g003
A004,10,SEC:BET:S15_S16:WB,g003
A005,7,PLAT:ALP:S05:WB,g004
A005,7,PLAT:ALP:S06:WB,g004
A005,7,PLAT:ALP:S07:WB,g004
A005,7,PLAT:ALP:S08:WB,g004
A005,7,SEC:ALP:S05_S06:WB,g004
A005,7,SEC:ALP:S06_S07:WB,g004
A005,7,SEC:ALP:S07_S08:WB,g004
A006,7,PLAT:ALP:S05:WB,g004
A006,7,PLAT:ALP:S06:WB,g004
A006,7,PLAT:ALP:S07:WB,g004
A006,7,SEC:ALP:S05_S06:WB,g004
A006,7,SEC:ALP:S06_S07:WB,g004
A007,7,PLAT:ALP:S05:WB,g004
A007,7,PLAT:ALP:S06:WB,g004
A007,7,PLAT:ALP:S07:WB,g004
A007,7,SEC:ALP:S05_S06:WB,g004
A007,7,SEC:ALP:S06_S07:WB,g004
A005,8,PLAT:ALP:S05:WB,g004
A005,8,PLAT:ALP:S06:WB,g004
A005,8,PLAT:ALP:S07:WB,g004
A005,8,PLAT:ALP:S08:WB,g004
A005,8,SEC:ALP:S05_S06:WB,g004
A005,8,SEC:ALP:S06_S07:WB,g004
A005,8,SEC:ALP:S07_S08:WB,g004
A006,8,PLAT:ALP:S05:WB,g004
A006,8,PLAT:ALP:S06:WB,g004
A006,8,PLAT:ALP:S07:WB,g004
A006,8,SEC:ALP:S05_S06:WB,g004
A006,8,SEC:ALP:S06_S07:WB,g004
A007,8,PLAT:ALP:S05:WB,g004
A007,8,PLAT:ALP:S06:WB,g004
A007,8,PLAT:ALP:S07:WB,g004
A007,8,SEC:ALP:S05_S06:WB,g004
A007,8,SEC:ALP:S06_S07:WB,g004
A008,26,PLAT:ALP:S02:EB,g005
A008,26,PLAT:ALP:S03:EB,g005
A008,26,SEC:ALP:S02_S03:EB,g005
A009,26,PLAT:ALP:S01:EB,g005
A009,26,PLAT:ALP:S02:EB,g005
A009,26,PLAT:ALP:S03:EB,g005
A009,26,PLAT:ALP:S04:EB,g005
A009,26,SEC:ALP:S01_S02:EB,g005
A009,26,SEC:ALP:S02_S03:EB,g005
A009,26,SEC:ALP:S03_S04:EB,g005
A008,27,PLAT:ALP:S02:EB,g005
A008,27,PLAT:ALP:S03:EB,g005
A008,27,SEC:ALP:S02_S03:EB,g005
A009,27,PLAT:ALP:S01:EB,g005
A009,27,PLAT:ALP:S02:EB,g005
A009,27,PLAT:ALP:S03:EB,g005
A009,27,PLAT:ALP:S04:EB,g005
A009,27,SEC:ALP:S01_S02:EB,g005
A009,27,SEC:ALP:S02_S03:EB,g005
A009,27,SEC:ALP:S03_S04:EB,g005
A010,20,PLAT:BET:S11:EB,g006
A010,20,PLAT:BET:S12:EB,g006
A010,20,PLAT:BET:S13:EB,g006
A010,20,SEC:BET:S11_S12:EB,g006
A010,20,SEC:BET:S12_S13:EB,g006
A011,20,PLAT:BET:S11:EB,g006
A011,20,PLAT:BET:S12:EB,g006
A011,20,PLAT:BET:S13:EB,g006
A011,20,SEC:BET:S11_S12:EB,g006
A011,20,SEC:BET:S12_S13:EB,g006
A010,22,PLAT:BET:S11:EB,g006
A010,22,PLAT:BET:S12:EB,g006
A010,22,PLAT:BET:S13:EB,g006
A010,22,SEC:BET:S11_S12:EB,g006
A010,22,SEC:BET:S12_S13:EB,g006
A011,22,PLAT:BET:S11:EB,g006
A011,22,PLAT:BET:S12:EB,g006
A011,22,PLAT:BET:S13:EB,g006
A011,22,SEC:BET:S11_S12:EB,g006
A011,22,SEC:BET:S12_S13:EB,g006
A010,24,PLAT:BET:S11:EB,g006
A010,24,PLAT:BET:S12:EB,g006
A010,24,PLAT:BET:S13:EB,g006
A010,24,SEC:BET:S11_S12:EB,g006
A010,24,SEC:BET:S12_S13:EB,g006
A011,24,PLAT:BET:S11:EB,g006
A011,24,PLAT:BET:S12:EB,g006
A011,24,PLAT:BET:S13:EB,g006
A011,24,SEC:BET:S11_S12:EB,g006
A011,24,SEC:BET:S12_S13:EB,g006
A010,25,PLAT:BET:S11:EB,g006
A010,25,PLAT:BET:S12:EB,g006
A010,25,PLAT:BET:S13:EB,g006
A010,25,SEC:BET:S11_S12:EB,g006
A010,25,SEC:BET:S12_S13:EB,g006
A011,25,PLAT:BET:S11:EB,g006
A011,25,PLAT:BET:S12:EB,g006
A011,25,PLAT:BET:S13:EB,g006
A011,25,SEC:BET:S11_S12:EB,g006
A011,25,SEC:BET:S12_S13:EB,g006
A010,27,PLAT:BET:S11:EB,g006
A010,27,PLAT:BET:S12:EB,g006
A010,27,PLAT:BET:S13:EB,g006
A010,27,SEC:BET:S11_S12:EB,g006
A010,27,SEC:BET:S12_S13:EB,g006
A011,27,PLAT:BET:S11:EB,g006
A011,27,PLAT:BET:S12:EB,g006
A011,27,PLAT:BET:S13:EB,g006
A011,27,SEC:BET:S11_S12:EB,g006
A011,27,SEC:BET:S12_S13:EB,g006
A012,2,PLAT:BET:S15:WB,g007
A012,2,PLAT:BET:S16:WB,g007
A012,2,SEC:BET:S15_S16:WB,g007
A013,2,PLAT:BET:S15:WB,g007
A013,2,PLAT:BET:S16:WB,g007
A013,2,PLAT:BET:S17:WB,g007
A013,2,SEC:BET:S15_S16:WB,g007
A013,2,SEC:BET:S16_S17:WB,g007
A014,2,PLAT:BET:S15:WB,g007
A014,2,PLAT:BET:S16:WB,g007
A014,2,PLAT:BET:S17:WB,g007
A014,2,SEC:BET:S15_S16:WB,g007
A014,2,SEC:BET:S16_S17:WB,g007
A012,3,PLAT:BET:S15:WB,g007
A012,3,PLAT:BET:S16:WB,g007
A012,3,SEC:BET:S15_S16:WB,g007
A013,3,PLAT:BET:S15:WB,g007
A013,3,PLAT:BET:S16:WB,g007
A013,3,PLAT:BET:S17:WB,g007
A013,3,SEC:BET:S15_S16:WB,g007
A013,3,SEC:BET:S16_S17:WB,g007
A014,3,PLAT:BET:S15:WB,g007
A014,3,PLAT:BET:S16:WB,g007
A014,3,PLAT:BET:S17:WB,g007
A014,3,SEC:BET:S15_S16:WB,g007
A014,3,SEC:BET:S16_S17:WB,g007
A012,7,PLAT:BET:S15:WB,g007
A012,7,PLAT:BET:S16:WB,g007
A012,7,SEC:BET:S15_S16:WB,g007
A013,7,PLAT:BET:S15:WB,g007
A013,7,PLAT:BET:S16:WB,g007
A013,7,PLAT:BET:S17:WB,g007
A013,7,SEC:BET:S15_S16:WB,g007
A013,7,SEC:BET:S16_S17:WB,g007
A014,7,PLAT:BET:S15:WB,g007
A014,7,PLAT:BET:S16:WB,g007
A014,7,PLAT:BET:S17:WB,g007
A014,7,SEC:BET:S15_S16:WB,g007
A014,7,SEC:BET:S16_S17:WB,g007
A012,8,PLAT:BET:S15:WB,g007
A012,8,PLAT:BET:S16:WB,g007
A012,8,SEC:BET:S15_S16:WB,g007
A013,8,PLAT:BET:S15:WB,g007
A013,8,PLAT:BET:S16:WB,g007
A013,8,PLAT:BET:S17:WB,g007
A013,8,SEC:BET:S15_S16:WB,g007
A013,8,SEC:BET:S16_S17:WB,g007
A014,8,PLAT:BET:S15:WB,g007
