activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,4,2027-05-24,,2
A002,C002,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S04_H01:WB,4,2027-05-24,,2
A003,C003,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S06_S07:WB,5,2027-05-10,,2
A004,C004,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,4,2027-05-31,,2
A005,C005,Construction,SEC:BET:S12_S13:WB,SEC:BET:S14_H01:WB,2,2027-06-28,,2
A006,C006,Construction,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,2,2027-07-12,,1
A007,C007,Renewal,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,6,2027-05-24,,3
A008,C008,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:S05_S06:WB,2,2027-03-15,,3
A009,C009,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,2,2027-03-01,,1
A010,C006,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:H02_S05:WB,2,2027-03-01,,2
A011,C010,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-03-01,,1
A012,C011,Renewal,SEC:ALP:S06_S07:EB,SEC:ALP:S06_S07:EB,2,2027-05-17,A011,1
A013,C012,Renewal,SEC:ALP:S06_S07:EB,SEC:ALP:S06_S07:EB,2,2027-05-31,,1
A014,C007,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,2,2027-04-12,,2
A015,C010,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,3,2027-04-19,,2
A016,C013,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,3,2027-04-12,,1
A017,C005,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-05-03,,3
A018,C014,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-04-19,,3
A019,C015,Construction,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,1,2027-04-26,,3
A020,C009,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,1,2027-04-12,,1
A021,C016,Construction,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,2,2027-05-31,,1
A022,C002,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,3,2027-06-14,,2
A023,C015,Construction,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,3,2027-06-07,,2
A024,C007,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,2,2027-03-01,,3
A025,C009,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S04_H01:WB,2,2027-03-01,,3
A026,C001,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,4,2027-04-26,,2
A027,C013,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,4,2027-05-17,,2
A028,C014,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,4,2027-04-26,,2
A029,C006,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,5,2027-05-10,,2
A030,C007,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S14_H01:EB,2,2027-04-19,,1
A031,C009,Renewal,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,2,2027-05-10,A020,2
A032,C012,Renewal,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,2,2027-04-19,,3
A033,C012,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S14_H01:EB,2,2027-05-03,,1
A034,C016,Construction,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,6,2027-04-12,,1
A035,C013,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,6,2027-04-12,A025,3
A036,C012,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S07_S08:WB,3,2027-06-21,,3
A037,C009,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,4,2027-06-21,,3
A038,C009,Renewal,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,4,2027-07-05,,3
A039,C007,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,2,2027-05-31,,1
A040,C010,Construction,SEC:BET:H02_S15:EB,SEC:BET:S16_S17:EB,2,2027-05-31,,1
A041,C010,Construction,SEC:BET:H02_S15:EB,SEC:BET:S16_S17:EB,3,2027-06-21,,1
A042,C013,Construction,SEC:BET:H02_S15:EB,SEC:BET:S16_S17:EB,3,2027-05-31,,3
A043,C012,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,5,2027-03-29,,3
A044,C006,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,7,2027-03-29,,1
A045,C005,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,6,2027-06-07,,2
A046,C012,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,3,2027-07-12,,2
A047,C004,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:S04_H01:EB,6,2027-03-15,,1
A048,C003,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,1,2027-07-19,,3
A049,C016,Construction,SEC:BET:S12_S13:EB,SEC:BET:S14_H01:EB,6,2027-07-26,,3
A050,C013,Construction,SEC:BET:S12_S13:EB,SEC:BET:S14_H01:EB,5,2027-07-26,,1
A051,C012,Renewal,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,4,2027-07-26,,2
A052,C013,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,6,2027-08-02,,3
A053,C006,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,6,2027-08-16,,2
A054,C009,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,6,2027-08-16,,3
