activity_id,access_seq,week,eclo,access_night
A001,1,16,0,1
A001,2,17,1,1
A001,3,19,1,1
A002,1,16,0,1
A002,2,17,1,1
A002,3,19,1,1
A003,1,14,0,1
A003,2,15,1,1
A003,3,16,1,1
A003,4,17,0,1
A004,1,17,1,1
A004,2,19,1,1
A004,3,20,1,1
A005,1,20,1,1
A005,2,21,0,1
A006,1,20,0,1
A006,2,21,0,1
A007,1,16,0,1
A007,2,18,0,1
A007,3,19,0,1
A007,4,21,1,1
A007,5,23,1,1
A008,1,3,0,1
A008,2,4,0,1
A009,1,3,0,1
A009,2,4,1,1
A010,1,3,1,1
A010,2,4,0,1
A011,1,3,1,1
A011,2,4,0,1
A012,1,14,1,1
A012,2,16,0,1
A013,1,14,0,1
A013,2,16,1,1
A014,1,9,1,1
A014,2,11,0,1
A015,1,9,1,1
A015,2,11,1,1
A016,1,9,1,1
A016,2,11,1,1
A017,1,10,0,1
A017,2,13,0,1
A017,3,14,1,1
A018,1,10,1,1
A018,2,13,1,1
A018,3,14,0,1
A019,1,10,1,1
A020,1,10,0,1
A021,1,17,0,1
A021,2,18,1,1
A022,1,17,1,2
A022,2,18,1,1
A023,1,17,1,1
A023,2,18,1,1
A024,1,3,0,1
A024,2,4,1,1
A025,1,3,0,2
A025,2,4,1,2
A026,1,12,1,1
A026,2,13,0,1
A026,3,14,0,1
A026,4,16,0,2
A027,1,12,1,1
A027,2,13,0,1
A027,3,14,0,1
A027,4,16,0,1
A028,1,12,0,1
A028,2,13,0,2
A028,3,14,0,2
A028,4,16,1,1
A029,1,12,0,1
A029,2,13,0,1
A029,3,14,1,1
A029,4,16,1,1
A030,1,11,1,2
A030,2,12,0,1
A031,1,11,0,1
A031,2,12,0,1
A032,1,11,0,1
A032,2,12,0,1
A033,1,11,0,2
A033,2,12,0,2
A034,1,7,1,1
A034,2,9,0,1
A034,3,10,1,1
A034,4,11,0,1
A034,5,12,0,1
A035,1,7,0,1
A035,2,9,1,2
A035,3,10,0,1
A035,4,11,0,2
A035,5,12,1,2
A036,1,19,0,1
A036,2,20,0,1
A036,3,21,0,1
A037,1,19,1,1
A037,2,20,0,1
A037,3,21,1,1
A038,1,19,1,2
A038,2,20,0,2
A038,3,21,1,2
A039,1,17,0,1
A039,2,18,1,2
A040,1,17,1,1
A040,2,18,0,1
A041,1,17,1,2
A041,2,18,1,2
A042,1,17,1,1
A042,2,18,1,1
A043,1,5,0,1
A043,2,6,0,1
A043,3,9,0,1
A043,4,10,0,1
A043,5,11,1,3
A044,1,5,1,1
A044,2,6,1,1
A044,3,9,1,1
A044,4,10,0,1
A044,5,11,1,1
A045,1,15,1,1
A045,2,16,0,1
A045,3,18,0,1
A045,4,20,1,2
A045,5,21,0,2
A046,1,22,1,1
A046,2,23,1,1
A047,1,3,1,1
A047,2,4,1,1
A047,3,5,0,1
A047,4,6,0,1
A047,5,7,1,1
A048,1,24,1,1
A049,1,22,1,1
A049,2,24,1,1
A049,3,25,1,1
A049,4,26,1,1
A050,1,22,1,1
A050,2,24,0,1
A050,3,25,0,1
A050,4,26,1,1
A051,1,22,0,2
A051,2,24,0,1
A051,3,25,0,1
A051,4,26,1,1
A052,1,26,1,2
A052,2,27,1,1
A052,3,28,1,1
A052,4,29,0,1
A052,5,30,0,1
A053,1,26,1,1
A053,2,27,0,1
A053,3,28,1,1
A053,4,29,0,1
A053,5,30,1,1
A054,1,26,0,1
A054,2,27,0,1
A054,3,28,1,1
A054,4,29,0,1
A054,5,30,1,1
