activity_id,week,location_id,co_share_group
A001,16,PLAT:ALP:H01:WB,g001
A001,16,PLAT:ALP:S03:WB,g001
A001,16,PLAT:ALP:S04:WB,g001
A001,16,SEC:ALP:S03_S04:WB,g001
A001,16,SEC:ALP:S04_H01:WB,g001
A002,16,PLAT:ALP:H01:WB,g001
A002,16,PLAT:ALP:S02:WB,g001
A002,16,PLAT:ALP:S03:WB,g001
A002,16,PLAT:ALP:S04:WB,g001
A002,16,SEC:ALP:S02_S03:WB,g001
A002,16,SEC:ALP:S03_S04:WB,g001
A002,16,SEC:ALP:S04_H01:WB,g001
A001,17,PLAT:ALP:H01:WB,g001
A001,17,PLAT:ALP:S03:WB,g001
A001,17,PLAT:ALP:S04:WB,g001
A001,17,SEC:ALP:S03_S04:WB,g001
A001,17,SEC:ALP:S04_H01:WB,g001
A002,17,PLAT:ALP:H01:WB,g001
A002,17,PLAT:ALP:S02:WB,g001
A002,17,PLAT:ALP:S03:WB,g001
A002,17,PLAT:ALP:S04:WB,g001
A002,17,SEC:ALP:S02_S03:WB,g001
A002,17,SEC:ALP:S03_S04:WB,g001
A002,17,SEC:ALP:S04_H01:WB,g001
A001,19,PLAT:ALP:H01:WB,g001
A001,19,PLAT:ALP:S03:WB,g001
A001,19,PLAT:ALP:S04:WB,g001
A001,19,SEC:ALP:S03_S04:WB,g001
A001,19,SEC:ALP:S04_H01:WB,g001
A002,19,PLAT:ALP:H01:WB,g001
A002,19,PLAT:ALP:S02:WB,g001
A002,19,PLAT:ALP:S03:WB,g001
A002,19,PLAT:ALP:S04:WB,g001
A002,19,SEC:ALP:S02_S03:WB,g001
A002,19,SEC:ALP:S03_S04:WB,g001
A002,19,SEC:ALP:S04_H01:WB,g001
A003,14,PLAT:ALP:H02:WB,g002
A003,14,PLAT:ALP:S05:WB,g002
A003,14,PLAT:ALP:S06:WB,g002
A003,14,PLAT:ALP:S07:WB,g002
A003,14,SEC:ALP:H02_S05:WB,g002
A003,14,SEC:ALP:S05_S06:WB,g002
A003,14,SEC:ALP:S06_S07:WB,g002
A003,15,PLAT:ALP:H02:WB,g002
A003,15,PLAT:ALP:S05:WB,g002
A003,15,PLAT:ALP:S06:WB,g002
A003,15,PLAT:ALP:S07:WB,g002
A003,15,SEC:ALP:H02_S05:WB,g002
A003,15,SEC:ALP:S05_S06:WB,g002
A003,15,SEC:ALP:S06_S07:WB,g002
A003,16,PLAT:ALP:H02:WB,g002
A003,16,PLAT:ALP:S05:WB,g002
A003,16,PLAT:ALP:S06:WB,g002
A003,16,PLAT:ALP:S07:WB,g002
A003,16,SEC:ALP:H02_S05:WB,g002
A003,16,SEC:ALP:S05_S06:WB,g002
A003,16,SEC:ALP:S06_S07:WB,g002
A003,17,PLAT:ALP:H02:WB,g002
A003,17,PLAT:ALP:S05:WB,g002
A003,17,PLAT:ALP:S06:WB,g002
A003,17,PLAT:ALP:S07:WB,g002
A003,17,SEC:ALP:H02_S05:WB,g002
A003,17,SEC:ALP:S05_S06:WB,g002
A003,17,SEC:ALP:S06_S07:WB,g002
A004,17,PLAT:BET:S12:EB,g003
A004,17,PLAT:BET:S13:EB,g003
A004,17,SEC:BET:S12_S13:EB,g003
A004,19,PLAT:BET:S12:EB,g003
A004,19,PLAT:BET:S13:EB,g003
A004,19,SEC:BET:S12_S13:EB,g003
A004,20,PLAT:BET:S12:EB,g003
A004,20,PLAT:BET:S13:EB,g003
A004,20,SEC:BET:S12_S13:EB,g003
A005,20,PLAT:BET:H01:WB,g004
A005,20,PLAT:BET:S12:WB,g004
A005,20,PLAT:BET:S13:WB,g004
A005,20,PLAT:BET:S14:WB,g004
A005,20,SEC:BET:S12_S13:WB,g004
A005,20,SEC:BET:S13_S14:WB,g004
A005,20,SEC:BET:S14_H01:WB,g004
A006,20,PLAT:BET:H01:WB,g004
A006,20,PLAT:BET:S13:WB,g004
A006,20,PLAT:BET:S14:WB,g004
A006,20,SEC:BET:S13_S14:WB,g004
A006,20,SEC:BET:S14_H01:WB,g004
A005,21,PLAT:BET:H01:WB,g004
A005,21,PLAT:BET:S12:WB,g004
A005,21,PLAT:BET:S13:WB,g004
A005,21,PLAT:BET:S14:WB,g004
A005,21,SEC:BET:S12_S13:WB,g004
A005,21,SEC:BET:S13_S14:WB,g004
A005,21,SEC:BET:S14_H01:WB,g004
A006,21,PLAT:BET:H01:WB,g004
A006,21,PLAT:BET:S13:WB,g004
A006,21,PLAT:BET:S14:WB,g004
A006,21,SEC:BET:S13_S14:WB,g004
A006,21,SEC:BET:S14_H01:WB,g004
A007,16,PLAT:BET:H01:WB,g005
A007,16,PLAT:BET:S14:WB,g005
A007,16,SEC:BET:S14_H01:WB,g005
A007,18,PLAT:BET:H01:WB,g005
A007,18,PLAT:BET:S14:WB,g005
A007,18,SEC:BET:S14_H01:WB,g005
A007,19,PLAT:BET:H01:WB,g005
A007,19,PLAT:BET:S14:WB,g005
A007,19,SEC:BET:S14_H01:WB,g005
A007,21,PLAT:BET:H01:WB,g005
A007,21,PLAT:BET:S14:WB,g005
A007,21,SEC:BET:S14_H01:WB,g005
A007,23,PLAT:BET:H01:WB,g005
A007,23,PLAT:BET:S14:WB,g005
A007,23,SEC:BET:S14_H01:WB,g005
A008,3,PLAT:ALP:H01:WB,g006
A008,3,PLAT:ALP:H02:WB,g006
A008,3,PLAT:ALP:S05:WB,g006
A008,3,PLAT:ALP:S06:WB,g006
A008,3,SEC:ALP:H01_H02:WB,g006
A008,3,SEC:ALP:H02_S05:WB,g006
A008,3,SEC:ALP:S05_S06:WB,g006
A009,3,PLAT:ALP:H02:WB,g006
A009,3,PLAT:ALP:S05:WB,g006
A009,3,PLAT:ALP:S06:WB,g006
A009,3,SEC:ALP:H02_S05:WB,g006
A009,3,SEC:ALP:S05_S06:WB,g006
A010,3,PLAT:ALP:H02:WB,g006
A010,3,PLAT:ALP:S05:WB,g006
A010,3,SEC:ALP:H02_S05:WB,g006
A011,3,PLAT:ALP:H01:WB,g006
A011,3,PLAT:ALP:H02:WB,g006
A011,3,PLAT:ALP:S05:WB,g006
A011,3,SEC:ALP:H01_H02:WB,g006
A011,3,SEC:ALP:H02_S05:WB,g006
A008,4,PLAT:ALP:H01:WB,g006
A008,4,PLAT:ALP:H02:WB,g006
A008,4,PLAT:ALP:S05:WB,g006
A008,4,PLAT:ALP:S06:WB,g006
A008,4,SEC:ALP:H01_H02:WB,g006
A008,4,SEC:ALP:H02_S05:WB,g006
A008,4,SEC:ALP:S05_S06:WB,g006
A009,4,PLAT:ALP:H02:WB,g006
A009,4,PLAT:ALP:S05:WB,g006
A009,4,PLAT:ALP:S06:WB,g006
A009,4,SEC:ALP:H02_S05:WB,g006
A009,4,SEC:ALP:S05_S06:WB,g006
A010,4,PLAT:ALP:H02:WB,g006
A010,4,PLAT:ALP:S05:WB,g006
A010,4,SEC:ALP:H02_S05:WB,g006
A011,4,PLAT:ALP:H01:WB,g006
A011,4,PLAT:ALP:H02:WB,g006
A011,4,PLAT:ALP:S05:WB,g006
A011,4,SEC:ALP:H01_H02:WB,g006
A011,4,SEC:ALP:H02_S05:WB,g006
A012,14,PLAT:ALP:S06:EB,g007
A012,14,PLAT:ALP:S07:EB,g007
A012,14,SEC:ALP:S06_S07:EB,g007
A013,14,PLAT:ALP:S06:EB,g007
A013,14,PLAT:ALP:S07:EB,g007
A013,14,SEC:ALP:S06_S07:EB,g007
A012,16,PLAT:ALP:S06:EB,g007
A012,16,PLAT:ALP:S07:EB,g007
A012,16,SEC:ALP:S06_S07:EB,g007
A013,16,PLAT:ALP:S06:EB,g007
A013,16,PLAT:ALP:S07:EB,g007
A013,16,SEC:ALP:S06_S07:EB,g007
A014,9,PLAT:ALP:S05:EB,g008
A014,9,PLAT:ALP:S06:EB,g008
A014,9,SEC:ALP:S05_S06:EB,g008
A015,9,PLAT:ALP:S05:EB,g008
A015,9,PLAT:ALP:S06:EB,g008
A015,9,SEC:ALP:S05_S06:EB,g008
A016,9,PLAT:ALP:S05:EB,g008
A016,9,PLAT:ALP:S06:EB,g008
A016,9,SEC:ALP:S05_S06:EB,g008
A014,11,PLAT:ALP:S05:EB,g008
A014,11,PLAT:ALP:S06:EB,g008
A014,11,SEC:ALP:S05_S06:EB,g008
A015,11,PLAT:ALP:S05:EB,g008
A015,11,PLAT:ALP:S06:EB,g008
A015,11,SEC:ALP:S05_S06:EB,g008
A016,11,PLAT:ALP:S05:EB,g008
A016,11,PLAT:ALP:S06:EB,g008
A016,11,SEC:ALP:S05_S06:EB,g008
A017,10,PLAT:ALP:H01:EB,g009
A017,10,PLAT:ALP:H02:EB,g009
A017,10,PLAT:ALP:S05:EB,g009
A017,10,SEC:ALP:H01_H02:EB,g009
A017,10,SEC:ALP:H02_S05:EB,g009
A018,10,PLAT:ALP:H01:EB,g009
A018,10,PLAT:ALP:H02:EB,g009
A018,10,PLAT:ALP:S05:EB,g009
A018,10,SEC:ALP:H01_H02:EB,g009
A018,10,SEC:ALP:H02_S05:EB,g009
A017,13,PLAT:ALP:H01:EB,g009
A017,13,PLAT:ALP:H02:EB,g009
A017,13,PLAT:ALP:S05:EB,g009
A017,13,SEC:ALP:H01_H02:EB,g009
A017,13,SEC:ALP:H02_S05:EB,g009
A018,13,PLAT:ALP:H01:EB,g009
A018,13,PLAT:ALP:H02:EB,g009
A018,13,PLAT:ALP:S05:EB,g009
A018,13,SEC:ALP:H01_H02:EB,g009
A018,13,SEC:ALP:H02_S05:EB,g009
A017,14,PLAT:ALP:H01:EB,g009
A017,14,PLAT:ALP:H02:EB,g009
A017,14,PLAT:ALP:S05:EB,g009
A017,14,SEC:ALP:H01_H02:EB,g009
A017,14,SEC:ALP:H02_S05:EB,g009
A018,14,PLAT:ALP:H01:EB,g009
A018,14,PLAT:ALP:H02:EB,g009
A018,14,PLAT:ALP:S05:EB,g009
A018,14,SEC:ALP:H01_H02:EB,g009
A018,14,SEC:ALP:H02_S05:EB,g009
A019,10,PLAT:BET:S15:EB,g010
A019,10,PLAT:BET:S16:EB,g010
A019,10,PLAT:BET:S17:EB,g010
A019,10,SEC:BET:S15_S16:EB,g010
A019,10,SEC:BET:S16_S17:EB,g010
A020,10,PLAT:BET:S15:EB,g010
A020,10,PLAT:BET:S16:EB,g010
A020,10,PLAT:BET:S17:EB,g010
A020,10,SEC:BET:S15_S16:EB,g010
A020,10,SEC:BET:S16_S17:EB,g010
A021,17,PLAT:BET:S11:WB,g011
A021,17,PLAT:BET:S12:WB,g011
A021,17,SEC:BET:S11_S12:WB,g011
A022,17,PLAT:BET:S11:WB,g011
A022,17,PLAT:BET:S12:WB,g011
A022,17,SEC:BET:S11_S12:WB,g011
A023,17,PLAT:BET:S11:WB,g011
A023,17,PLAT:BET:S12:WB,g011
A023,17,SEC:BET:S11_S12:WB,g011
A021,18,PLAT:BET:S11:WB,g011
A021,18,PLAT:BET:S12:WB,g011
A021,18,SEC:BET:S11_S12:WB,g011
A022,18,PLAT:BET:S11:WB,g011
A022,18,PLAT:BET:S12:WB,g011
A022,18,SEC:BET:S11_S12:WB,g011
A023,18,PLAT:BET:S11:WB,g011
A023,18,PLAT:BET:S12:WB,g011
A023,18,SEC:BET:S11_S12:WB,g011
A024,3,PLAT:ALP:S03:WB,g012
A024,3,PLAT:ALP:S04:WB,g012
A024,3,SEC:ALP:S03_S04:WB,g012
A025,3,PLAT:ALP:H01:WB,g012
A025,3,PLAT:ALP:S02:WB,g012
A025,3,PLAT:ALP:S03:WB,g012
A025,3,PLAT:ALP:S04:WB,g012
A025,3,SEC:ALP:S02_S03:WB,g012
A025,3,SEC:ALP:S03_S04:WB,g012
A025,3,SEC:ALP:S04_H01:WB,g012
A024,4,PLAT:ALP:S03:WB,g012
A024,4,PLAT:ALP:S04:WB,g012
A024,4,SEC:ALP:S03_S04:WB,g012
A025,4,PLAT:ALP:H01:WB,g012
A025,4,PLAT:ALP:S02:WB,g012
A025,4,PLAT:ALP:S03:WB,g012
A025,4,PLAT:ALP:S04:WB,g012
A025,4,SEC:ALP:S02_S03:WB,g012
A025,4,SEC:ALP:S03_S04:WB,g012
A025,4,SEC:ALP:S04_H01:WB,g012
A026,12,PLAT:ALP:S01:EB,g013
A026,12,PLAT:ALP:S02:EB,g013
A026,12,SEC:ALP:S01_S02:EB,g013
A027,12,PLAT:ALP:S01:EB,g013
A027,12,PLAT:ALP:S02:EB,g013
A027,12,SEC:ALP:S01_S02:EB,g013
A028,12,PLAT:ALP:S01:EB,g013
A028,12,PLAT:ALP:S02:EB,g013
A028,12,PLAT:ALP:S03:EB,g013
A028,12,SEC:ALP:S01_S02:EB,g013
A028,12,SEC:ALP:S02_S03:EB,g013
A029,12,PLAT:ALP:S01:EB,g013
A029,12,PLAT:ALP:S02:EB,g013
A029,12,SEC:ALP:S01_S02:EB,g013
A026,13,PLAT:ALP:S01:EB,g013
A026,13,PLAT:ALP:S02:EB,g013
A026,13,SEC:ALP:S01_S02:EB,g013
A027,13,PLAT:ALP:S01:EB,g013
A027,13,PLAT:ALP:S02:EB,g013
A027,13,SEC:ALP:S01_S02:EB,g013
A028,13,PLAT:ALP:S01:EB,g013
A028,13,PLAT:ALP:S02:EB,g013
A028,13,PLAT:ALP:S03:EB,g013
A028,13,SEC:ALP:S01_S02:EB,g013
A028,13,SEC:ALP:S02_S03:EB,g013
A029,13,PLAT:ALP:S01:EB,g013
A029,13,PLAT:ALP:S02:EB,g013
A029,13,SEC:ALP:S01_S02:EB,g013
A026,14,PLAT:ALP:S01:EB,g013
A026,14,PLAT:ALP:S02:EB,g013
A026,14,SEC:ALP:S01_S02:EB,g013
A027,14,PLAT:ALP:S01:EB,g013
A027,14,PLAT:ALP:S02:EB,g013
A027,14,SEC:ALP:S01_S02:EB,g013
A028,14,PLAT:ALP:S01:EB,g013
A028,14,PLAT:ALP:S02:EB,g013
A028,14,PLAT:ALP:S03:EB,g013
A028,14,SEC:ALP:S01_S02:EB,g013
A028,14,SEC:ALP:S02_S03:EB,g013
A029,14,PLAT:ALP:S01:EB,g013
A029,14,PLAT:ALP:S02:EB,g013
A029,14,SEC:ALP:S01_S02:EB,g013
A026,16,PLAT:ALP:S01:EB,g013
A026,16,PLAT:ALP:S02:EB,g013
A026,16,SEC:ALP:S01_S02:EB,g013
A027,16,PLAT:ALP:S01:EB,g013
A027,16,PLAT:ALP:S02:EB,g013
A027,16,SEC:ALP:S01_S02:EB,g013
A028,16,PLAT:ALP:S01:EB,g013
A028,16,PLAT:ALP:S02:EB,g013
A028,16,PLAT:ALP:S03:EB,g013
A028,16,SEC:ALP:S01_S02:EB,g013
A028,16,SEC:ALP:S02_S03:EB,g013
A029,16,PLAT:ALP:S01:EB,g013
A029,16,PLAT:ALP:S02:EB,g013
A029,16,SEC:ALP:S01_S02:EB,g013
A030,11,PLAT:BET:H01:EB,g014
A030,11,PLAT:BET:S12:EB,g014
A030,11,PLAT:BET:S13:EB,g014
A030,11,PLAT:BET:S14:EB,g014
A030,11,SEC:BET:S12_S13:EB,g014
A030,11,SEC:BET:S13_S14:EB,g014
A030,11,SEC:BET:S14_H01:EB,g014
A031,11,PLAT:BET:H01:EB,g014
A031,11,PLAT:BET:S13:EB,g014
A031,11,PLAT:BET:S14:EB,g014
A031,11,SEC:BET:S13_S14:EB,g014
A031,11,SEC:BET:S14_H01:EB,g014
A032,11,PLAT:BET:H01:EB,g014
A032,11,PLAT:BET:S13:EB,g014
A032,11,PLAT:BET:S14:EB,g014
A032,11,SEC:BET:S13_S14:EB,g014
A032,11,SEC:BET:S14_H01:EB,g014
A033,11,PLAT:BET:H01:EB,g014
A033,11,PLAT:BET:S12:EB,g014
A033,11,PLAT:BET:S13:EB,g014
A033,11,PLAT:BET:S14:EB,g014
A033,11,SEC:BET:S12_S13:EB,g014
A033,11,SEC:BET:S13_S14:EB,g014
A033,11,SEC:BET:S14_H01:EB,g014
A030,12,PLAT:BET:H01:EB,g014
A030,12,PLAT:BET:S12:EB,g014
A030,12,PLAT:BET:S13:EB,g014
A030,12,PLAT:BET:S14:EB,g014
A030,12,SEC:BET:S12_S13:EB,g014
A030,12,SEC:BET:S13_S14:EB,g014
A030,12,SEC:BET:S14_H01:EB,g014
A031,12,PLAT:BET:H01:EB,g014
A031,12,PLAT:BET:S13:EB,g014
A031,12,PLAT:BET:S14:EB,g014
A031,12,SEC:BET:S13_S14:EB,g014
A031,12,SEC:BET:S14_H01:EB,g014
A032,12,PLAT:BET:H01:EB,g014
A032,12,PLAT:BET:S13:EB,g014
A032,12,PLAT:BET:S14:EB,g014
A032,12,SEC:BET:S13_S14:EB,g014
A032,12,SEC:BET:S14_H01:EB,g014
A033,12,PLAT:BET:H01:EB,g014
A033,12,PLAT:BET:S12:EB,g014
A033,12,PLAT:BET:S13:EB,g014
A033,12,PLAT:BET:S14:EB,g014
A033,12,SEC:BET:S12_S13:EB,g014
A033,12,SEC:BET:S13_S14:EB,g014
A033,12,SEC:BET:S14_H01:EB,g014
A034,7,PLAT:BET:S11:WB,g015
A034,7,PLAT:BET:S12:WB,g015
A034,7,SEC:BET:S11_S12:WB,g015
A035,7,PLAT:BET:S11:WB,g015
A035,7,PLAT:BET:S12:WB,g015
A035,7,PLAT:BET:S13:WB,g015
A035,7,SEC:BET:S11_S12:WB,g015
A035,7,SEC:BET:S12_S13:WB,g015
A034,9,PLAT:BET:S11:WB,g015
A034,9,PLAT:BET:S12:WB,g015
A034,9,SEC:BET:S11_S12:WB,g015
A035,9,PLAT:BET:S11:WB,g015
A035,9,PLAT:BET:S12:WB,g015
A035,9,PLAT:BET:S13:WB,g015
A035,9,SEC:BET:S11_S12:WB,g015
A035,9,SEC:BET:S12_S13:WB,g015
A034,10,PLAT:BET:S11:WB,g015
A034,10,PLAT:BET:S12:WB,g015
A034,10,SEC:BET:S11_S12:WB,g015
A035,10,PLAT:BET:S11:WB,g015
A035,10,PLAT:BET:S12:WB,g015
A035,10,PLAT:BET:S13:WB,g015
A035,10,SEC:BET:S11_S12:WB,g015
A035,10,SEC:BET:S12_S13:WB,g015
A034,11,PLAT:BET:S11:WB,g015
A034,11,PLAT:BET:S12:WB,g015
A034,11,SEC:BET:S11_S12:WB,g015
A035,11,PLAT:BET:S11:WB,g015
A035,11,PLAT:BET:S12:WB,g015
A035,11,PLAT:BET:S13:WB,g015
A035,11,SEC:BET:S11_S12:WB,g015
A035,11,SEC:BET:S12_S13:WB,g015
A034,12,PLAT:BET:S11:WB,g015
A034,12,PLAT:BET:S12:WB,g015
A034,12,SEC:BET:S11_S12:WB,g015
A035,12,PLAT:BET:S11:WB,g015
A035,12,PLAT:BET:S12:WB,g015
A035,12,PLAT:BET:S13:WB,g015
A035,12,SEC:BET:S11_S12:WB,g015
A035,12,SEC:BET:S12_S13:WB,g015
A036,19,PLAT:ALP:S05:WB,g016
A036,19,PLAT:ALP:S06:WB,g016
A036,19,PLAT:ALP:S07:WB,g016
A036,19,PLAT:ALP:S08:WB,g016
A036,19,SEC:ALP:S05_S06:WB,g016
A036,19,SEC:ALP:S06_S07:WB,g016
A036,19,SEC:ALP:S07_S08:WB,g016
A037,19,PLAT:ALP:S05:WB,g016
A037,19,PLAT:ALP:S06:WB,g016
A037,19,PLAT:ALP:S07:WB,g016
A037,19,SEC:ALP:S05_S06:WB,g016
A037,19,SEC:ALP:S06_S07:WB,g016
A038,19,PLAT:ALP:S06:WB,g016
A038,19,PLAT:ALP:S07:WB,g016
A038,19,PLAT:ALP:S08:WB,g016
A038,19,SEC:ALP:S06_S07:WB,g016
A038,19,SEC:ALP:S07_S08:WB,g016
A036,20,PLAT:ALP:S05:WB,g016
A036,20,PLAT:ALP:S06:WB,g016
A036,20,PLAT:ALP:S07:WB,g016
A036,20,PLAT:ALP:S08:WB,g016
A036,20,SEC:ALP:S05_S06:WB,g016
A036,20,SEC:ALP:S06_S07:WB,g016
A036,20,SEC:ALP:S07_S08:WB,g016
A037,20,PLAT:ALP:S05:WB,g016
A037,20,PLAT:ALP:S06:WB,g016
A037,20,PLAT:ALP:S07:WB,g016
A037,20,SEC:ALP:S05_S06:WB,g016
A037,20,SEC:ALP:S06_S07:WB,g016
A038,20,PLAT:ALP:S06:WB,g016
A038,20,PLAT:ALP:S07:WB,g016
A038,20,PLAT:ALP:S08:WB,g016
A038,20,SEC:ALP:S06_S07:WB,g016
