contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic interchange_congestion programme C001,2026-10-05,Construction,Non-live (Others),2,2027-11-22,2027-10-24,1,PC,3
C002,Synthetic interchange_congestion programme C002,2026-11-06,Renewal,Live,3,2027-11-22,2027-10-03,1,PC,2
C003,Synthetic interchange_congestion programme C003,2026-11-23,Construction,Non-live (Others),3,2027-11-22,2027-10-31,1,C,3
C004,Synthetic interchange_congestion programme C004,2026-10-07,Renewal,Live,1,2027-11-22,2027-09-21,1,PC,2
C005,Synthetic interchange_congestion programme C005,2026-09-26,Renewal,Non-live (Consist),1,2027-11-22,2027-08-15,1,PC,3
C006,Synthetic interchange_congestion programme C006,2026-12-13,Renewal,Non-live (Consist),2,2027-11-22,2027-10-24,1,C,3
C007,Synthetic interchange_congestion programme C007,2026-09-19,Renewal,Non-live (Consist),2,2027-11-22,2027-07-18,1,PC,3
C008,Synthetic interchange_congestion programme C008,2026-10-02,Renewal,Live,3,2027-11-22,2027-08-29,1,C,2
C009,Synthetic interchange_congestion programme C009,2026-11-25,Construction,Non-live (Others),3,2027-11-22,2027-10-12,1,C,3
C010,Synthetic interchange_congestion programme C010,2026-09-21,Construction,Non-live (Others),3,2027-11-22,2027-10-31,1,PC,3
C011,Synthetic interchange_congestion programme C011,2026-12-12,Renewal,Non-live (Consist),3,2027-11-22,2027-10-26,1,C,3
C012,Synthetic interchange_congestion programme C012,2026-12-23,Renewal,Non-live (Consist),2,2027-11-22,2027-09-28,1,C,3
C013,Synthetic interchange_congestion programme C013,2026-12-17,Renewal,Live,3,2027-11-22,2027-09-05,1,C,2
C014,Synthetic interchange_congestion programme C014,2026-08-19,Renewal,Live,2,2027-11-22,2027-07-11,1,PC,2
C015,Synthetic interchange_congestion programme C015,2026-08-27,Construction,Non-live (Others),3,2027-11-22,2027-07-13,1,C,3
C016,Synthetic interchange_congestion programme C016,2026-08-08,Renewal,Live,1,2027-11-22,2027-10-31,1,C,2
