activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,5,2027-03-29,,2
A002,C002,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-09-06,A001,3
A003,C003,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,2,2027-09-06,,1
A004,C004,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,5,2027-08-02,,2
A005,C003,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,5,2027-08-23,,2
A006,C003,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,5,2027-08-09,,1
A007,C005,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,5,2027-03-29,,3
A008,C006,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,5,2027-03-29,,2
A009,C003,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,4,2027-04-12,,1
A010,C007,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-04-26,,3
A011,C008,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,4,2027-05-10,,3
A012,C006,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,1,2027-09-27,,1
A013,C006,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,1,2027-09-20,,3
A014,C006,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,1,2027-09-27,,3
A015,C009,Construction,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,1,2027-09-27,,2
A016,C001,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,1,2027-08-02,,3
A017,C009,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,1,2027-08-09,,1
A018,C008,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,1,2027-08-09,A011,2
A019,C010,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,1,2027-10-18,,3
A020,C006,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,1,2027-10-11,,3
A021,C011,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,1,2027-10-11,,3
A022,C002,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,4,2027-05-03,,3
A023,C012,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,5,2027-04-26,,3
A024,C008,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,5,2027-04-26,A001,2
A025,C009,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,4,2027-04-05,,3
A026,C008,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,4,2027-03-29,,2
A027,C013,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,4,2027-07-19,,3
A028,C014,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,6,2027-04-05,,2
