activity_id,access_seq,week,eclo,access_night
A001,1,1,0,1
A001,2,2,0,1
A001,3,4,0,1
A001,4,5,0,1
A001,5,6,0,1
A002,1,26,0,1
A002,2,27,1,1
A003,1,26,1,1
A003,2,27,0,1
A004,1,22,0,1
A004,2,23,1,1
A004,3,24,1,1
A004,4,25,1,1
A005,1,22,0,1
A005,2,23,1,1
A005,3,24,0,1
A005,4,25,1,1
A006,1,22,0,2
A006,2,23,1,2
A006,3,24,0,2
A006,4,25,1,2
A007,1,4,1,1
A007,2,6,1,1
A007,3,7,0,1
A007,4,8,0,1
A008,1,4,1,1
A008,2,6,1,1
A008,3,7,0,1
A008,4,8,0,1
A009,1,4,1,1
A009,2,6,0,1
A009,3,7,0,1
A009,4,8,0,1
A010,1,8,0,1
A010,2,10,0,1
A010,3,11,0,1
A011,1,8,1,1
A011,2,10,1,1
A011,3,11,0,1
A012,1,28,1,1
A013,1,28,0,2
A014,1,28,1,3
A015,1,28,1,1
A016,1,22,0,1
A017,1,22,1,1
A018,1,22,0,1
A019,1,30,1,1
A020,1,30,1,1
A021,1,30,1,1
A022,1,8,0,1
A022,2,9,0,1
A022,3,11,1,1
A022,4,14,0,1
A023,1,8,0,1
A023,2,9,1,1
A023,3,11,1,1
A023,4,14,1,1
A024,1,8,0,2
A024,2,9,0,1
A024,3,11,1,2
A024,4,14,1,1
A025,1,3,0,1
A025,2,5,1,1
A025,3,6,0,1
A025,4,7,0,1
A026,1,3,0,1
A026,2,5,0,1
A026,3,6,1,1
A026,4,7,0,1
A027,1,20,0,1
A027,2,21,0,1
A027,3,22,0,1
A027,4,23,0,1
A028,1,2,1,1
A028,2,3,0,1
A028,3,4,0,1
A028,4,5,0,1
A028,5,6,1,1
A029,1,2,1,1
A029,2,3,0,1
A029,3,4,1,1
A029,4,5,1,1
A029,5,6,0,1
A030,1,2,1,1
A030,2,3,1,1
A030,3,4,0,1
A030,4,5,1,1
A030,5,6,1,1
A031,1,15,1,1
A032,1,15,1,1
A033,1,15,0,1
A034,1,15,0,1
A034,2,16,1,1
A034,3,19,1,1
A035,1,13,1,1
A035,2,14,1,1
A035,3,15,0,1
A036,1,13,1,1
A036,2,14,1,1
A036,3,15,0,1
A037,1,13,1,1
A037,2,14,1,1
A037,3,15,1,1
A038,1,13,0,1
A038,2,14,1,1
A038,3,15,0,1
A039,1,7,0,2
A039,2,8,1,2
A039,3,9,0,1
A039,4,10,0,1
A039,5,11,0,1
A040,1,28,1,1
A040,2,30,0,1
A041,1,28,0,1
A041,2,30,1,1
A042,1,1,0,1
A042,2,2,1,2
A042,3,3,0,2
A042,4,4,1,2
A043,1,1,0,1
A043,2,2,1,2
A043,3,3,1,2
A043,4,4,0,2
A044,1,1,1,1
A044,2,2,0,1
A044,3,3,0,1
A044,4,4,1,1
A045,1,1,1,1
A045,2,2,1,1
A045,3,3,1,1
A045,4,4,1,2
A046,1,2,1,2
A046,2,3,0,1
A046,3,4,0,2
A046,4,5,0,2
A046,5,6,1,2
A047,1,2,0,1
A047,2,3,1,1
A047,3,4,1,1
A047,4,5,1,1
A047,5,6,1,1
A048,1,2,1,2
A048,2,3,1,2
A048,3,4,0,2
A048,4,5,1,1
A048,5,6,0,1
A049,1,28,0,1
A049,2,29,1,1
A049,3,30,1,1
A050,1,28,0,2
A050,2,29,1,1
A050,3,30,0,2
A051,1,28,1,2
A051,2,29,0,1
A051,3,30,0,2
A052,1,6,0,2
A052,2,8,0,2
A052,3,9,0,1
A052,4,10,1,1
A053,1,26,1,1
A054,1,26,1,1
A055,1,26,0,2
A056,1,26,1,1
A057,1,7,0,2
A057,2,8,1,1
A057,3,9,1,1
A058,1,3,0,1
A059,1,3,0,3
A060,1,6,0,3
A060,2,7,0,2
A060,3,9,1,2
A060,4,10,1,2
A060,5,11,1,1
A060,6,12,1,1
