activity_id,week,location_id,co_share_group
A001,1,PLAT:ALP:H01:EB,g001
A001,1,PLAT:ALP:H02:EB,g001
A001,1,SEC:ALP:H01_H02:EB,g001
A001,2,PLAT:ALP:H01:EB,g001
A001,2,PLAT:ALP:H02:EB,g001
A001,2,SEC:ALP:H01_H02:EB,g001
A001,4,PLAT:ALP:H01:EB,g001
A001,4,PLAT:ALP:H02:EB,g001
A001,4,SEC:ALP:H01_H02:EB,g001
A001,5,PLAT:ALP:H01:EB,g001
A001,5,PLAT:ALP:H02:EB,g001
A001,5,SEC:ALP:H01_H02:EB,g001
A001,6,PLAT:ALP:H01:EB,g001
A001,6,PLAT:ALP:H02:EB,g001
A001,6,SEC:ALP:H01_H02:EB,g001
A002,26,PLAT:ALP:H01:WB,g002
A002,26,PLAT:ALP:H02:WB,g002
A002,26,PLAT:ALP:S04:WB,g002
A002,26,SEC:ALP:H01_H02:WB,g002
A002,26,SEC:ALP:S04_H01:WB,g002
A003,26,PLAT:ALP:H01:WB,g002
A003,26,PLAT:ALP:H02:WB,g002
A003,26,PLAT:ALP:S04:WB,g002
A003,26,PLAT:ALP:S05:WB,g002
A003,26,SEC:ALP:H01_H02:WB,g002
A003,26,SEC:ALP:H02_S05:WB,g002
A003,26,SEC:ALP:S04_H01:WB,g002
A002,27,PLAT:ALP:H01:WB,g002
A002,27,PLAT:ALP:H02:WB,g002
A002,27,PLAT:ALP:S04:WB,g002
A002,27,SEC:ALP:H01_H02:WB,g002
A002,27,SEC:ALP:S04_H01:WB,g002
A003,27,PLAT:ALP:H01:WB,g002
A003,27,PLAT:ALP:H02:WB,g002
A003,27,PLAT:ALP:S04:WB,g002
A003,27,PLAT:ALP:S05:WB,g002
A003,27,SEC:ALP:H01_H02:WB,g002
A003,27,SEC:ALP:H02_S05:WB,g002
A003,27,SEC:ALP:S04_H01:WB,g002
A004,22,PLAT:ALP:H01:EB,g003
A004,22,PLAT:ALP:H02:EB,g003
A004,22,PLAT:ALP:S04:EB,g003
A004,22,PLAT:ALP:S05:EB,g003
A004,22,SEC:ALP:H01_H02:EB,g003
A004,22,SEC:ALP:H02_S05:EB,g003
A004,22,SEC:ALP:S04_H01:EB,g003
A005,22,PLAT:ALP:H01:EB,g003
A005,22,PLAT:ALP:H02:EB,g003
A005,22,PLAT:ALP:S04:EB,g003
A005,22,PLAT:ALP:S05:EB,g003
A005,22,SEC:ALP:H01_H02:EB,g003
A005,22,SEC:ALP:H02_S05:EB,g003
A005,22,SEC:ALP:S04_H01:EB,g003
A006,22,PLAT:ALP:H01:EB,g003
A006,22,PLAT:ALP:H02:EB,g003
A006,22,PLAT:ALP:S04:EB,g003
A006,22,PLAT:ALP:S05:EB,g003
A006,22,SEC:ALP:H01_H02:EB,g003
A006,22,SEC:ALP:H02_S05:EB,g003
A006,22,SEC:ALP:S04_H01:EB,g003
A004,23,PLAT:ALP:H01:EB,g003
A004,23,PLAT:ALP:H02:EB,g003
A004,23,PLAT:ALP:S04:EB,g003
A004,23,PLAT:ALP:S05:EB,g003
A004,23,SEC:ALP:H01_H02:EB,g003
A004,23,SEC:ALP:H02_S05:EB,g003
A004,23,SEC:ALP:S04_H01:EB,g003
A005,23,PLAT:ALP:H01:EB,g003
A005,23,PLAT:ALP:H02:EB,g003
A005,23,PLAT:ALP:S04:EB,g003
A005,23,PLAT:ALP:S05:EB,g003
A005,23,SEC:ALP:H01_H02:EB,g003
A005,23,SEC:ALP:H02_S05:EB,g003
A005,23,SEC:ALP:S04_H01:EB,g003
A006,23,PLAT:ALP:H01:EB,g003
A006,23,PLAT:ALP:H02:EB,g003
A006,23,PLAT:ALP:S04:EB,g003
A006,23,PLAT:ALP:S05:EB,g003
A006,23,SEC:ALP:H01_H02:EB,g003
A006,23,SEC:ALP:H02_S05:EB,g003
A006,23,SEC:ALP:S04_H01:EB,g003
A004,24,PLAT:ALP:H01:EB,g003
A004,24,PLAT:ALP:H02:EB,g003
A004,24,PLAT:ALP:S04:EB,g003
A004,24,PLAT:ALP:S05:EB,g003
A004,24,SEC:ALP:H01_H02:EB,g003
A004,24,SEC:ALP:H02_S05:EB,g003
A004,24,SEC:ALP:S04_H01:EB,g003
A005,24,PLAT:ALP:H01:EB,g003
A005,24,PLAT:ALP:H02:EB,g003
A005,24,PLAT:ALP:S04:EB,g003
A005,24,PLAT:ALP:S05:EB,g003
A005,24,SEC:ALP:H01_H02:EB,g003
A005,24,SEC:ALP:H02_S05:EB,g003
A005,24,SEC:ALP:S04_H01:EB,g003
A006,24,PLAT:ALP:H01:EB,g003
A006,24,PLAT:ALP:H02:EB,g003
A006,24,PLAT:ALP:S04:EB,g003
A006,24,PLAT:ALP:S05:EB,g003
A006,24,SEC:ALP:H01_H02:EB,g003
A006,24,SEC:ALP:H02_S05:EB,g003
A006,24,SEC:ALP:S04_H01:EB,g003
A004,25,PLAT:ALP:H01:EB,g003
A004,25,PLAT:ALP:H02:EB,g003
A004,25,PLAT:ALP:S04:EB,g003
A004,25,PLAT:ALP:S05:EB,g003
A004,25,SEC:ALP:H01_H02:EB,g003
A004,25,SEC:ALP:H02_S05:EB,g003
A004,25,SEC:ALP:S04_H01:EB,g003
A005,25,PLAT:ALP:H01:EB,g003
A005,25,PLAT:ALP:H02:EB,g003
A005,25,PLAT:ALP:S04:EB,g003
A005,25,PLAT:ALP:S05:EB,g003
A005,25,SEC:ALP:H01_H02:EB,g003
A005,25,SEC:ALP:H02_S05:EB,g003
A005,25,SEC:ALP:S04_H01:EB,g003
A006,25,PLAT:ALP:H01:EB,g003
A006,25,PLAT:ALP:H02:EB,g003
A006,25,PLAT:ALP:S04:EB,g003
A006,25,PLAT:ALP:S05:EB,g003
A006,25,SEC:ALP:H01_H02:EB,g003
A006,25,SEC:ALP:H02_S05:EB,g003
A006,25,SEC:ALP:S04_H01:EB,g003
A007,4,PLAT:ALP:H01:EB,g004
A007,4,PLAT:ALP:H02:EB,g004
A007,4,PLAT:ALP:S04:EB,g004
A007,4,SEC:ALP:H01_H02:EB,g004
A007,4,SEC:ALP:S04_H01:EB,g004
A008,4,PLAT:ALP:H01:EB,g004
A008,4,PLAT:ALP:H02:EB,g004
A008,4,PLAT:ALP:S05:EB,g004
A008,4,SEC:ALP:H01_H02:EB,g004
A008,4,SEC:ALP:H02_S05:EB,g004
A009,4,PLAT:ALP:H01:EB,g004
A009,4,PLAT:ALP:H02:EB,g004
A009,4,PLAT:ALP:S04:EB,g004
A009,4,SEC:ALP:H01_H02:EB,g004
A009,4,SEC:ALP:S04_H01:EB,g004
A007,6,PLAT:ALP:H01:EB,g004
A007,6,PLAT:ALP:H02:EB,g004
A007,6,PLAT:ALP:S04:EB,g004
A007,6,SEC:ALP:H01_H02:EB,g004
A007,6,SEC:ALP:S04_H01:EB,g004
A008,6,PLAT:ALP:H01:EB,g004
A008,6,PLAT:ALP:H02:EB,g004
A008,6,PLAT:ALP:S05:EB,g004
A008,6,SEC:ALP:H01_H02:EB,g004
A008,6,SEC:ALP:H02_S05:EB,g004
A009,6,PLAT:ALP:H01:EB,g004
A009,6,PLAT:ALP:H02:EB,g004
A009,6,PLAT:ALP:S04:EB,g004
A009,6,SEC:ALP:H01_H02:EB,g004
A009,6,SEC:ALP:S04_H01:EB,g004
A007,7,PLAT:ALP:H01:EB,g004
A007,7,PLAT:ALP:H02:EB,g004
A007,7,PLAT:ALP:S04:EB,g004
A007,7,SEC:ALP:H01_H02:EB,g004
A007,7,SEC:ALP:S04_H01:EB,g004
A008,7,PLAT:ALP:H01:EB,g004
