activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-10-11,,1
A002,C002,Renewal,SEC:BET:S11_S12:EB,SEC:BET:H02_S15:EB,6,2027-08-16,,1
A003,C003,Construction,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,6,2027-08-16,,1
A004,C004,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,6,2027-08-16,,2
A005,C005,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,6,2027-05-31,,1
A006,C004,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S14_H01:EB,6,2027-05-24,,2
A007,C006,Construction,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,6,2027-05-10,,2
A008,C007,Renewal,SEC:BET:H01_H02:WB,SEC:BET:S17_S18:WB,6,2027-05-10,,2
A009,C006,Construction,SEC:BET:S13_S14:WB,SEC:BET:S17_S18:WB,4,2027-05-24,,1
A010,C005,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,5,2027-05-24,,2
A011,C008,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:H02_S05:WB,5,2027-08-23,,3
A012,C009,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:H01_H02:WB,4,2027-08-09,,3
A013,C010,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,1,2027-07-19,A007,1
A014,C011,Construction,SEC:BET:S11_S12:WB,SEC:BET:S14_H01:WB,7,2027-10-11,,3
A015,C003,Construction,SEC:BET:S11_S12:WB,SEC:BET:S13_S14:WB,7,2027-10-04,,2
A016,C012,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,7,2027-10-11,A004,3
A017,C008,Renewal,SEC:BET:H01_H02:EB,SEC:BET:S17_S18:EB,6,2027-07-19,,2
A018,C013,Construction,SEC:BET:S16_S17:EB,SEC:BET:S17_S18:EB,7,2027-06-28,,3
A019,C014,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S17_S18:EB,6,2027-07-12,,2
A020,C010,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,5,2027-04-26,,1
A021,C011,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:H02_S05:EB,2,2027-08-02,,2
A022,C012,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S04_H01:EB,3,2027-08-02,,1
A023,C006,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:H01_H02:EB,2,2027-08-09,A013,1
A024,C012,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S13_S14:WB,1,2027-08-16,,2
A025,C003,Construction,SEC:BET:S11_S12:WB,SEC:BET:S13_S14:WB,1,2027-08-16,,2
A026,C003,Construction,SEC:BET:S11_S12:WB,SEC:BET:S14_H01:WB,1,2027-08-23,A023,2
A027,C003,Construction,SEC:BET:S13_S14:WB,SEC:BET:S16_S17:WB,6,2027-05-24,,1
A028,C011,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:H01_H02:WB,4,2027-09-27,A026,3
A029,C008,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S04_H01:WB,3,2027-09-06,,3
A030,C003,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:H02_S05:EB,1,2027-08-30,A026,1
A031,C009,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,1,2027-08-30,,2
A032,C013,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,1,2027-08-16,,1
A033,C001,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S07_S08:WB,1,2027-06-28,,3
A034,C010,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S17_S18:WB,5,2027-04-26,,2
A035,C003,Construction,SEC:BET:H01_H02:WB,SEC:BET:S17_S18:WB,5,2027-04-26,,2
A036,C014,Renewal,SEC:BET:H01_H02:WB,SEC:BET:S17_S18:WB,5,2027-05-03,,1
A037,C011,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,4,2027-05-31,,3
A038,C004,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S15_S16:EB,5,2027-06-14,,2
A039,C009,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S15_S16:EB,6,2027-05-24,,3
A040,C001,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:H02_S05:EB,5,2027-06-28,,3
A041,C011,Construction,SEC:BET:S15_S16:WB,SEC:BET:S17_S18:WB,6,2027-06-14,,3
A042,C012,Renewal,SEC:BET:H01_H02:WB,SEC:BET:S16_S17:WB,6,2027-05-31,,1
A043,C012,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,7,2027-04-26,,3
A044,C014,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:H01_H02:WB,7,2027-04-26,,1
A045,C011,Construction,SEC:BET:S11_S12:EB,SEC:BET:S13_S14:EB,5,2027-08-16,A040,1
A046,C006,Construction,SEC:BET:S11_S12:EB,SEC:BET:H02_S15:EB,6,2027-08-02,,3
A047,C007,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,2,2027-08-23,,1
A048,C007,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S14_H01:WB,5,2027-05-03,,1
