activity_id,access_seq,week,eclo,access_night
A001,1,28,0,1
A001,2,30,0,1
A002,1,17,0,1
A002,2,20,0,1
A002,3,21,1,1
A002,4,22,1,1
A002,5,24,1,1
A003,1,17,1,1
A003,2,20,1,1
A003,3,21,0,1
A003,4,22,0,1
A003,5,24,0,1
A004,1,17,1,1
A004,2,20,1,1
A004,3,21,0,1
A004,4,22,0,1
A004,5,24,1,1
A005,1,6,1,1
A005,2,7,0,1
A005,3,8,1,1
A005,4,9,0,1
A005,5,10,0,1
A006,1,6,0,1
A006,2,7,1,1
A006,3,8,1,1
A006,4,9,0,1
A006,5,10,0,1
A007,1,6,1,1
A007,2,7,1,1
A007,3,8,0,1
A007,4,9,0,1
A007,5,10,0,1
A008,1,5,1,1
A008,2,6,1,1
A008,3,7,1,1
A008,4,8,1,1
A009,1,5,0,1
A009,2,6,0,2
A009,3,7,0,2
A009,4,8,0,2
A010,1,5,1,1
A010,2,6,0,2
A010,3,7,1,2
A010,4,8,0,2
A011,1,19,0,1
A011,2,20,0,1
A011,3,21,1,1
A011,4,25,1,1
A012,1,19,0,1
A012,2,20,1,1
A012,3,21,0,1
A012,4,25,0,1
A013,1,14,1,1
A014,1,25,0,1
A014,2,26,1,1
A014,3,27,0,1
A014,4,28,0,1
A014,5,29,1,1
A014,6,30,1,1
A015,1,25,0,1
A015,2,26,1,1
A015,3,27,0,1
A015,4,28,1,1
A015,5,29,1,1
A015,6,30,0,1
A016,1,25,0,1
A016,2,26,0,1
A016,3,27,1,1
A016,4,28,0,1
A016,5,29,1,1
A016,6,30,0,1
A017,1,13,0,1
A017,2,14,1,1
A017,3,15,0,1
A017,4,16,0,1
A017,5,17,1,1
A018,1,13,1,1
A018,2,14,1,1
A018,3,15,1,1
A018,4,16,0,1
A018,5,17,1,1
A019,1,13,1,1
A019,2,14,0,1
A019,3,15,0,1
A019,4,16,1,1
A019,5,17,1,1
A020,1,4,0,1
A020,2,5,1,1
A020,3,6,0,1
A020,4,7,1,1
A021,1,16,1,1
A021,2,18,0,1
A022,1,16,1,1
A022,2,18,1,1
A023,1,16,0,1
A023,2,18,0,1
A024,1,19,0,1
A025,1,19,1,1
A026,1,19,0,2
A027,1,7,0,1
A027,2,8,0,1
A027,3,9,1,1
A027,4,10,1,1
A027,5,11,1,1
A028,1,23,0,1
A028,2,25,1,2
A028,3,26,1,2
A029,1,23,0,1
A029,2,25,1,2
A029,3,26,0,1
A030,1,20,0,2
A031,1,20,0,2
A032,1,20,0,1
A033,1,13,0,1
A034,1,2,1,1
A034,2,3,1,1
A034,3,5,0,2
A034,4,6,1,2
A035,1,2,0,1
A035,2,3,1,1
A035,3,5,1,1
A035,4,6,1,1
A036,1,2,1,1
A036,2,3,1,1
A036,3,5,1,1
A036,4,6,0,1
A037,1,8,0,1
A037,2,11,1,1
A037,3,13,0,1
A037,4,14,0,1
A038,1,8,1,2
A038,2,11,0,1
A038,3,13,0,1
A038,4,14,1,1
A039,1,8,1,1
A039,2,11,1,1
A039,3,13,1,1
A039,4,14,1,1
A040,1,12,1,1
A040,2,14,1,1
A040,3,16,0,1
A040,4,17,1,1
A041,1,8,0,2
A041,2,9,1,1
A041,3,10,1,1
A041,4,11,0,2
A041,5,12,1,1
A042,1,8,1,1
A042,2,9,1,1
A042,3,10,0,1
A042,4,11,0,1
A042,5,12,1,1
A043,1,1,0,1
A043,2,3,1,1
A043,3,4,1,1
A043,4,5,1,1
A043,5,6,1,1
A044,1,1,1,1
A044,2,3,1,2
A044,3,4,1,1
A044,4,5,1,2
A044,5,6,1,2
A045,1,18,0,2
A045,2,20,0,1
A045,3,21,0,1
A045,4,23,0,2
A045,5,24,0,1
A046,1,18,1,2
A046,2,20,1,1
A046,3,21,0,1
A046,4,23,0,1
A046,5,24,1,1
A047,1,21,0,1
A047,2,22,0,1
A048,1,2,0,1
A048,2,4,0,1
A048,3,5,0,2
A048,4,6,0,2
A048,5,7,1,2
