activity_id,week,location_id,co_share_group
A001,28,PLAT:ALP:H01:EB,g001
A001,28,PLAT:ALP:H02:EB,g001
A001,28,PLAT:ALP:S04:EB,g001
A001,28,SEC:ALP:H01_H02:EB,g001
A001,28,SEC:ALP:S04_H01:EB,g001
A001,30,PLAT:ALP:H01:EB,g001
A001,30,PLAT:ALP:H02:EB,g001
A001,30,PLAT:ALP:S04:EB,g001
A001,30,SEC:ALP:H01_H02:EB,g001
A001,30,SEC:ALP:S04_H01:EB,g001
A002,17,PLAT:BET:H01:EB,g002
A002,17,PLAT:BET:H02:EB,g002
A002,17,PLAT:BET:S11:EB,g002
A002,17,PLAT:BET:S12:EB,g002
A002,17,PLAT:BET:S13:EB,g002
A002,17,PLAT:BET:S14:EB,g002
A002,17,PLAT:BET:S15:EB,g002
A002,17,SEC:BET:H01_H02:EB,g002
A002,17,SEC:BET:H02_S15:EB,g002
A002,17,SEC:BET:S11_S12:EB,g002
A002,17,SEC:BET:S12_S13:EB,g002
A002,17,SEC:BET:S13_S14:EB,g002
A002,17,SEC:BET:S14_H01:EB,g002
A003,17,PLAT:BET:H01:EB,g002
A003,17,PLAT:BET:H02:EB,g002
A003,17,PLAT:BET:S14:EB,g002
A003,17,PLAT:BET:S15:EB,g002
A003,17,SEC:BET:H01_H02:EB,g002
A003,17,SEC:BET:H02_S15:EB,g002
A003,17,SEC:BET:S14_H01:EB,g002
A004,17,PLAT:BET:H01:EB,g002
A004,17,PLAT:BET:H02:EB,g002
A004,17,PLAT:BET:S14:EB,g002
A004,17,SEC:BET:H01_H02:EB,g002
A004,17,SEC:BET:S14_H01:EB,g002
A002,20,PLAT:BET:H01:EB,g002
A002,20,PLAT:BET:H02:EB,g002
A002,20,PLAT:BET:S11:EB,g002
A002,20,PLAT:BET:S12:EB,g002
A002,20,PLAT:BET:S13:EB,g002
A002,20,PLAT:BET:S14:EB,g002
A002,20,PLAT:BET:S15:EB,g002
A002,20,SEC:BET:H01_H02:EB,g002
A002,20,SEC:BET:H02_S15:EB,g002
A002,20,SEC:BET:S11_S12:EB,g002
A002,20,SEC:BET:S12_S13:EB,g002
A002,20,SEC:BET:S13_S14:EB,g002
A002,20,SEC:BET:S14_H01:EB,g002
A003,20,PLAT:BET:H01:EB,g002
A003,20,PLAT:BET:H02:EB,g002
A003,20,PLAT:BET:S14:EB,g002
A003,20,PLAT:BET:S15:EB,g002
A003,20,SEC:BET:H01_H02:EB,g002
A003,20,SEC:BET:H02_S15:EB,g002
A003,20,SEC:BET:S14_H01:EB,g002
A004,20,PLAT:BET:H01:EB,g002
A004,20,PLAT:BET:H02:EB,g002
A004,20,PLAT:BET:S14:EB,g002
A004,20,SEC:BET:H01_H02:EB,g002
A004,20,SEC:BET:S14_H01:EB,g002
A002,21,PLAT:BET:H01:EB,g002
A002,21,PLAT:BET:H02:EB,g002
A002,21,PLAT:BET:S11:EB,g002
A002,21,PLAT:BET:S12:EB,g002
A002,21,PLAT:BET:S13:EB,g002
A002,21,PLAT:BET:S14:EB,g002
A002,21,PLAT:BET:S15:EB,g002
A002,21,SEC:BET:H01_H02:EB,g002
A002,21,SEC:BET:H02_S15:EB,g002
A002,21,SEC:BET:S11_S12:EB,g002
A002,21,SEC:BET:S12_S13:EB,g002
A002,21,SEC:BET:S13_S14:EB,g002
A002,21,SEC:BET:S14_H01:EB,g002
A003,21,PLAT:BET:H01:EB,g002
A003,21,PLAT:BET:H02:EB,g002
A003,21,PLAT:BET:S14:EB,g002
A003,21,PLAT:BET:S15:EB,g002
