activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,5,2027-06-14,,1
A002,C002,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,7,2027-06-07,,1
A003,C003,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,5,2027-06-28,,1
A004,C002,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,6,2027-06-07,,3
A005,C004,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,8,2027-08-09,A004,1
A006,C005,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,4,2027-10-18,,2
A007,C006,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,5,2027-10-11,,1
A008,C002,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,5,2027-10-11,,1
A009,C007,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,5,2027-09-20,,1
A010,C002,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,3,2027-09-13,A004,2
A011,C008,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,1,2027-11-15,,2
A012,C009,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,1,2027-11-08,,1
A013,C010,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-08-16,,3
A014,C011,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,6,2027-06-07,,3
A015,C002,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,5,2027-06-14,,1
A016,C012,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,7,2027-05-24,,1
A017,C013,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,4,2027-10-11,,3
A018,C014,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-10-18,A009,2
A019,C015,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-05-24,,2
