activity_id,week,location_id,co_share_group
A001,4,PLAT:BET:H01:WB,g001
A001,4,PLAT:BET:H02:WB,g001
A001,4,SEC:BET:H01_H02:WB,g001
A001,5,PLAT:BET:H01:WB,g001
A001,5,PLAT:BET:H02:WB,g001
A001,5,SEC:BET:H01_H02:WB,g001
A001,6,PLAT:BET:H01:WB,g001
A001,6,PLAT:BET:H02:WB,g001
A001,6,SEC:BET:H01_H02:WB,g001
A001,7,PLAT:BET:H01:WB,g001
A001,7,PLAT:BET:H02:WB,g001
A001,7,SEC:BET:H01_H02:WB,g001
A001,8,PLAT:BET:H01:WB,g001
A001,8,PLAT:BET:H02:WB,g001
A001,8,SEC:BET:H01_H02:WB,g001
A002,6,PLAT:BET:H01:EB,g002
A002,6,PLAT:BET:H02:EB,g002
A002,6,SEC:BET:H01_H02:EB,g002
A003,6,PLAT:BET:H01:EB,g002
A003,6,PLAT:BET:H02:EB,g002
A003,6,PLAT:BET:S15:EB,g002
A003,6,SEC:BET:H01_H02:EB,g002
A003,6,SEC:BET:H02_S15:EB,g002
A004,6,PLAT:BET:H01:EB,g002
A004,6,PLAT:BET:H02:EB,g002
A004,6,SEC:BET:H01_H02:EB,g002
A002,7,PLAT:BET:H01:EB,g002
A002,7,PLAT:BET:H02:EB,g002
A002,7,SEC:BET:H01_H02:EB,g002
A003,7,PLAT:BET:H01:EB,g002
A003,7,PLAT:BET:H02:EB,g002
A003,7,PLAT:BET:S15:EB,g002
A003,7,SEC:BET:H01_H02:EB,g002
A003,7,SEC:BET:H02_S15:EB,g002
A004,7,PLAT:BET:H01:EB,g002
A004,7,PLAT:BET:H02:EB,g002
A004,7,SEC:BET:H01_H02:EB,g002
A002,8,PLAT:BET:H01:EB,g002
A002,8,PLAT:BET:H02:EB,g002
A002,8,SEC:BET:H01_H02:EB,g002
A003,8,PLAT:BET:H01:EB,g002
A003,8,PLAT:BET:H02:EB,g002
A003,8,PLAT:BET:S15:EB,g002
A003,8,SEC:BET:H01_H02:EB,g002
A003,8,SEC:BET:H02_S15:EB,g002
A004,8,PLAT:BET:H01:EB,g002
