activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,5,2027-12-13,,1
A002,C002,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,3,2027-07-19,,3
A003,C003,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-06-28,,3
A004,C004,Construction,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,7,2027-06-21,,3
A005,C002,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S13_S14:WB,1,2027-09-13,,2
A006,C005,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,5,2027-06-21,,3
A007,C006,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,6,2027-11-22,A005,1
A008,C007,Construction,SEC:BET:S16_S17:EB,SEC:BET:S17_S18:EB,6,2027-11-22,A005,1
A009,C003,Construction,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,7,2027-12-06,A005,3
A010,C004,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:H01_H02:EB,5,2028-01-17,,3
A011,C008,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:H01_H02:EB,5,2028-01-31,A009,1
A012,C009,Construction,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,7,2027-06-21,,2
A013,C003,Construction,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,8,2027-06-21,,3
A014,C010,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,7,2027-07-12,,2
A015,C011,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:H02_S05:WB,6,2027-06-28,,1
A016,C012,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,7,2027-08-02,A003,1
A017,C013,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,6,2027-12-20,A005,3
A018,C003,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,1,2028-02-07,A017,1
A019,C003,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,1,2028-02-14,A017,3
A020,C014,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S17_S18:EB,4,2027-12-13,,3
A021,C006,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,3,2027-07-12,,2
A022,C003,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,4,2027-07-05,,1
A023,C011,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,4,2027-06-21,,1
A024,C004,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,4,2027-07-05,,2
A025,C008,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,4,2027-07-12,,3
A026,C012,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,4,2027-07-05,,1
A027,C007,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,5,2027-12-13,A005,1
A028,C011,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,5,2027-11-29,,2
A029,C012,Construction,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,4,2027-07-05,,1
A030,C006,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,2,2027-10-25,A005,2
A031,C002,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,3,2027-11-22,A030,2
A032,C011,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,2,2027-12-06,,3
A033,C011,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:H01_H02:WB,2,2027-12-13,A030,3
A034,C006,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,2,2027-08-09,,3
A035,C003,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-08-09,,3
A036,C012,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,2,2027-08-16,A026,3
A037,C006,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S17_S18:EB,3,2027-10-11,,2
A038,C012,Construction,SEC:BET:S16_S17:EB,SEC:BET:S17_S18:EB,2,2027-09-27,A005,3
A039,C014,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,5,2027-08-23,,2
A040,C010,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,5,2027-08-16,A016,2
A041,C011,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,5,2027-08-16,A016,3
A042,C007,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,5,2028-01-03,,1
A043,C010,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,5,2028-01-10,,3
A044,C010,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,1,2028-02-07,A017,2
A045,C010,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,1,2028-01-31,A017,1
A046,C004,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,1,2027-07-12,,2
A047,C008,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,1,2027-07-26,,1
A048,C014,Renewal,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,2,2027-12-13,A033,1
A049,C003,Construction,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,2,2027-12-06,A033,2
A050,C015,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S16_S17:WB,5,2027-09-06,A005,3
A051,C009,Construction,SEC:BET:H01_H02:EB,SEC:BET:S15_S16:EB,6,2027-11-08,A030,3
A052,C011,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,6,2027-11-22,,1
A053,C012,Construction,SEC:BET:H01_H02:EB,SEC:BET:S15_S16:EB,6,2027-11-15,A030,2
A054,C006,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,1,2027-09-20,A016,3
A055,C012,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,1,2027-08-30,,1
A056,C008,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,1,2027-09-06,A016,2
A057,C008,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,7,2027-09-27,A041,1
A058,C011,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S17_S18:WB,7,2027-09-20,A041,1
A059,C005,Renewal,SEC:ALP:S06_S07:WB,SEC:ALP:S06_S07:WB,4,2027-07-19,A006,1
A060,C013,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S17_S18:EB,3,2027-10-25,A038,1
