activity_id,access_seq,week,eclo,access_night
A001,1,26,1,1
A001,2,27,0,1
A001,3,28,0,1
A001,4,29,1,1
A002,1,5,1,1
A002,2,6,1,1
A003,1,5,1,1
A003,2,6,0,1
A004,1,3,0,1
A004,2,4,1,1
A004,3,5,1,1
A004,4,6,1,1
A004,5,7,1,1
A005,1,14,0,1
A006,1,2,0,1
A006,2,4,0,1
A006,3,6,1,1
A006,4,7,1,1
A007,1,26,1,1
A007,2,27,0,1
A007,3,28,1,1
A007,4,29,1,1
A007,5,30,0,1
A008,1,26,1,1
A008,2,27,0,1
A008,3,28,0,1
A008,4,29,1,1
A008,5,30,1,1
A009,1,26,1,1
A009,2,27,1,1
A009,3,28,0,1
A009,4,29,1,1
A009,5,30,1,1
A010,1,33,0,1
A010,2,34,1,1
A010,3,35,1,1
A010,4,36,0,1
A011,1,33,0,1
A011,2,34,1,1
A011,3,35,1,1
A011,4,36,0,1
A012,1,1,0,1
A012,2,2,0,1
A012,3,3,1,1
A012,4,4,0,1
A012,5,5,1,1
A012,6,8,1,1
A013,1,1,0,1
A013,2,2,0,1
A013,3,3,1,1
A013,4,4,1,1
A013,5,5,1,2
A013,6,8,1,1
A014,1,4,1,1
A014,2,5,1,1
A014,3,6,0,1
A014,4,7,1,1
A014,5,8,0,1
A014,6,10,0,1
A015,1,4,0,1
A015,2,5,1,1
A015,3,6,0,1
A015,4,7,0,1
A015,5,8,0,1
A015,6,10,0,1
A016,1,7,1,1
A016,2,8,1,1
A016,3,9,1,1
A016,4,10,1,1
A016,5,11,0,1
A017,1,29,0,1
A017,2,30,1,1
A017,3,31,1,1
A017,4,32,0,1
A017,5,33,1,1
A018,1,35,0,1
A019,1,35,1,2
A020,1,27,1,1
A020,2,28,1,1
A020,3,31,1,1
A021,1,4,0,1
A021,2,5,1,1
A021,3,6,0,1
A022,1,4,0,2
A022,2,5,1,3
A022,3,6,1,2
A023,1,4,1,1
A023,2,5,1,1
A023,3,6,1,1
A024,1,6,0,2
A024,2,7,1,2
A024,3,8,1,1
A025,1,6,1,1
A025,2,7,1,1
A025,3,8,0,1
A026,1,6,0,1
A026,2,7,1,2
A026,3,8,1,2
A027,1,26,1,2
A027,2,27,0,2
A027,3,28,0,2
A027,4,30,0,2
A027,5,31,0,1
A028,1,26,0,1
A028,2,27,0,1
A028,3,28,1,1
A028,4,30,0,1
A028,5,31,0,1
A029,1,3,1,1
A029,2,4,0,1
A029,3,5,0,1
A029,4,6,0,2
A030,1,21,0,1
A030,2,23,1,1
A031,1,26,1,1
A031,2,27,1,1
A032,1,26,0,1
A032,2,27,1,1
A033,1,26,0,2
A033,2,27,1,2
A034,1,9,0,1
A034,2,10,1,1
A035,1,9,1,1
A035,2,10,1,1
A036,1,9,0,2
A036,2,10,1,2
A037,1,18,1,1
A037,2,20,1,1
A038,1,18,0,1
A038,2,20,0,1
A039,1,12,0,1
A039,2,13,1,1
A039,3,15,1,1
A039,4,16,0,1
A040,1,12,0,1
A040,2,13,1,1
A040,3,15,1,1
A040,4,16,1,1
A041,1,12,1,1
A041,2,13,1,1
A041,3,15,0,1
A041,4,16,1,1
A042,1,32,1,1
A042,2,33,0,1
A042,3,34,1,1
A042,4,35,1,1
A043,1,32,1,1
A043,2,33,1,1
A043,3,34,0,1
A043,4,35,0,1
A044,1,35,1,1
A045,1,35,1,2
A046,1,6,0,3
A047,1,6,1,2
A048,1,28,1,2
A048,2,29,0,1
A049,1,28,0,2
A049,2,29,0,2
A050,1,15,1,1
A050,2,16,0,1
A050,3,17,1,1
A050,4,18,0,1
A051,1,24,0,1
A051,2,25,0,1
A051,3,27,1,1
A051,4,28,0,1
A051,5,29,1,1
A052,1,24,1,1
A052,2,25,1,1
A052,3,27,0,2
A052,4,28,1,1
A052,5,29,0,1
A053,1,24,0,1
A053,2,25,0,1
A053,3,27,0,1
A053,4,28,1,1
A053,5,29,1,1
A054,1,14,1,1
A055,1,14,0,1
A056,1,14,1,1
A057,1,17,1,1
A057,2,18,1,1
A057,3,19,0,1
A057,4,20,0,1
A057,5,21,1,1
A057,6,22,0,1
A058,1,17,1,1
A058,2,18,0,1
A058,3,19,0,1
A058,4,20,1,1
A058,5,21,0,1
A058,6,22,1,1
A059,1,8,1,1
A059,2,9,0,1
A059,3,11,1,1
A060,1,21,1,1
A060,2,23,0,1
A060,3,24,0,1
