activity_id,week,location_id,co_share_group
A001,26,PLAT:BET:S11:WB,g001
A001,26,PLAT:BET:S12:WB,g001
A001,26,PLAT:BET:S13:WB,g001
A001,26,SEC:BET:S11_S12:WB,g001
A001,26,SEC:BET:S12_S13:WB,g001
A001,27,PLAT:BET:S11:WB,g001
A001,27,PLAT:BET:S12:WB,g001
A001,27,PLAT:BET:S13:WB,g001
A001,27,SEC:BET:S11_S12:WB,g001
A001,27,SEC:BET:S12_S13:WB,g001
A001,28,PLAT:BET:S11:WB,g001
A001,28,PLAT:BET:S12:WB,g001
A001,28,PLAT:BET:S13:WB,g001
A001,28,SEC:BET:S11_S12:WB,g001
A001,28,SEC:BET:S12_S13:WB,g001
A001,29,PLAT:BET:S11:WB,g001
A001,29,PLAT:BET:S12:WB,g001
A001,29,PLAT:BET:S13:WB,g001
A001,29,SEC:BET:S11_S12:WB,g001
A001,29,SEC:BET:S12_S13:WB,g001
A002,5,PLAT:ALP:S05:EB,g002
A002,5,PLAT:ALP:S06:EB,g002
A002,5,PLAT:ALP:S07:EB,g002
A002,5,SEC:ALP:S05_S06:EB,g002
A002,5,SEC:ALP:S06_S07:EB,g002
A003,5,PLAT:ALP:S05:EB,g002
A003,5,PLAT:ALP:S06:EB,g002
A003,5,PLAT:ALP:S07:EB,g002
A003,5,SEC:ALP:S05_S06:EB,g002
A003,5,SEC:ALP:S06_S07:EB,g002
A002,6,PLAT:ALP:S05:EB,g002
A002,6,PLAT:ALP:S06:EB,g002
A002,6,PLAT:ALP:S07:EB,g002
A002,6,SEC:ALP:S05_S06:EB,g002
A002,6,SEC:ALP:S06_S07:EB,g002
A003,6,PLAT:ALP:S05:EB,g002
A003,6,PLAT:ALP:S06:EB,g002
A003,6,PLAT:ALP:S07:EB,g002
A003,6,SEC:ALP:S05_S06:EB,g002
A003,6,SEC:ALP:S06_S07:EB,g002
A004,3,PLAT:BET:H01:EB,g003
A004,3,PLAT:BET:S14:EB,g003
A004,3,SEC:BET:S14_H01:EB,g003
A004,4,PLAT:BET:H01:EB,g003
A004,4,PLAT:BET:S14:EB,g003
A004,4,SEC:BET:S14_H01:EB,g003
A004,5,PLAT:BET:H01:EB,g003
A004,5,PLAT:BET:S14:EB,g003
A004,5,SEC:BET:S14_H01:EB,g003
A004,6,PLAT:BET:H01:EB,g003
A004,6,PLAT:BET:S14:EB,g003
A004,6,SEC:BET:S14_H01:EB,g003
A004,7,PLAT:BET:H01:EB,g003
A004,7,PLAT:BET:S14:EB,g003
A004,7,SEC:BET:S14_H01:EB,g003
A005,14,PLAT:BET:S12:WB,g004
A005,14,PLAT:BET:S13:WB,g004
A005,14,PLAT:BET:S14:WB,g004
A005,14,SEC:BET:S12_S13:WB,g004
A005,14,SEC:BET:S13_S14:WB,g004
A006,2,PLAT:ALP:S01:EB,g005
A006,2,PLAT:ALP:S02:EB,g005
A006,2,PLAT:ALP:S03:EB,g005
