activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,7,2027-08-16,,1
A002,C002,Construction,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,8,2027-08-02,,2
A003,C003,Construction,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,8,2027-08-09,,2
A004,C004,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,6,2027-07-26,,1
A005,C001,Construction,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,7,2027-10-25,,3
A006,C005,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,8,2027-11-08,,2
A007,C002,Construction,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,2,2027-12-06,,2
A008,C006,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:S05_S06:EB,5,2027-08-09,,1
A009,C003,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,7,2027-08-02,,1
A010,C007,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:H02_S05:EB,7,2027-08-16,,1
A011,C003,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,1,2027-11-29,A004,3
A012,C007,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,1,2027-11-29,,3
A013,C005,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,1,2027-11-29,,2
A014,C008,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S17_S18:EB,6,2027-10-25,,3
A015,C003,Construction,SEC:BET:S16_S17:EB,SEC:BET:S17_S18:EB,5,2027-10-11,,1
A016,C004,Construction,SEC:BET:S16_S17:EB,SEC:BET:S17_S18:EB,5,2027-10-18,A004,1
A017,C007,Renewal,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,4,2027-10-18,A004,1
A018,C009,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S17_S18:WB,5,2027-11-01,A004,3
A019,C007,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S16_S17:WB,7,2027-11-08,,2
A020,C010,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,6,2027-08-23,,1
A021,C008,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:H01_H02:EB,3,2027-11-01,A020,3
A022,C007,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-11-22,,1
A023,C005,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,3,2027-11-01,A020,1
A024,C007,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,5,2027-10-25,,1
A025,C003,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,5,2027-10-25,A020,2
A026,C007,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,4,2027-07-19,,1
A027,C007,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:H01_H02:EB,4,2027-07-19,,2
A028,C006,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,7,2027-11-08,A020,2
A029,C007,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,7,2027-11-01,,2
A030,C007,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,4,2027-12-20,,1
A031,C003,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2028-01-03,,3
A032,C007,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,3,2027-12-13,A029,1
A033,C008,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,4,2027-12-27,,1
A034,C003,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,6,2027-12-13,,2
A035,C003,Construction,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,4,2027-12-06,,1
A036,C004,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,4,2027-12-20,,3
A037,C010,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,4,2027-07-19,,1
A038,C008,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:H02_S05:EB,5,2027-08-23,,1
A039,C003,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-08-02,A027,1
A040,C004,Construction,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,5,2027-08-09,A027,1
A041,C004,Construction,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,5,2027-09-20,,2
A042,C005,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,6,2027-09-06,,1
A043,C003,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,5,2027-09-13,A040,3
A044,C003,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,4,2027-09-06,,3
A045,C009,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S13_S14:WB,8,2027-07-19,,2
A046,C005,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S13_S14:WB,7,2027-07-19,,3
A047,C001,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,6,2027-08-30,,2
A048,C007,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,4,2027-08-16,,3
A049,C008,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,4,2027-08-16,,1
A050,C003,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,5,2027-08-09,A027,1
A051,C003,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,3,2027-11-22,A013,1
A052,C005,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,3,2027-11-22,,1
A053,C007,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,4,2027-11-22,,1
A054,C004,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,4,2027-12-06,,3
A055,C006,Construction,SEC:BET:S12_S13:EB,SEC:BET:S14_H01:EB,1,2028-01-31,,3
A056,C008,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,3,2027-09-27,,1
A057,C007,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,2,2027-10-04,A048,1
A058,C004,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,2,2027-10-18,,2
A059,C005,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S14_H01:WB,1,2027-09-13,A037,3
A060,C004,Construction,SEC:BET:S12_S13:WB,SEC:BET:S13_S14:WB,1,2027-08-30,,3
A061,C003,Construction,SEC:BET:H01_H02:WB,SEC:BET:S15_S16:WB,3,2027-11-01,,1
A062,C004,Construction,SEC:BET:H01_H02:WB,SEC:BET:S15_S16:WB,3,2027-10-25,,2
A063,C004,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S03_S04:WB,1,2027-11-01,,2
A064,C007,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S02_S03:WB,1,2027-11-22,,2
A065,C007,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,1,2027-11-01,,1
A066,C003,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,1,2027-11-22,A058,2
A067,C010,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,4,2027-11-15,,2
A068,C002,Construction,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,7,2027-09-20,,2
A069,C007,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,8,2027-10-04,A050,1
A070,C007,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,8,2027-09-13,A050,1
A071,C004,Construction,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,1,2027-07-19,,1
A072,C003,Construction,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,1,2027-08-09,,3
