activity_id,access_seq,week,eclo,access_night
A001,1,6,1,1
A001,2,8,0,1
A001,3,9,1,1
A001,4,10,0,1
A001,5,11,0,1
A001,6,12,1,1
A002,1,4,1,1
A002,2,7,0,1
A002,3,9,1,1
A002,4,10,1,1
A002,5,11,1,1
A002,6,12,0,1
A003,1,4,1,1
A003,2,7,1,1
A003,3,9,1,1
A003,4,10,1,1
A003,5,11,0,1
A003,6,12,1,1
A004,1,4,0,1
A004,2,7,1,1
A004,3,9,0,1
A004,4,10,0,1
A004,5,11,0,1
A004,6,12,0,1
A005,1,17,0,1
A005,2,18,0,1
A005,3,20,1,1
A005,4,21,1,1
A005,5,22,1,1
A005,6,23,0,1
A006,1,17,1,1
A006,2,18,1,1
A006,3,20,1,1
A006,4,21,0,1
A006,5,22,1,1
A006,6,23,1,1
A007,1,21,0,1
A007,2,25,1,1
A008,1,5,0,1
A008,2,6,0,1
A008,3,7,1,1
A008,4,8,0,1
A008,5,9,0,1
A009,1,5,1,1
A009,2,6,1,1
A009,3,7,1,1
A009,4,8,0,1
A009,5,9,1,1
A010,1,5,1,1
A010,2,6,1,1
A010,3,7,1,1
A010,4,8,0,1
A010,5,9,1,1
A011,1,20,1,1
A012,1,20,0,1
A013,1,20,1,1
A014,1,16,1,1
A014,2,18,1,1
A014,3,20,1,1
A014,4,21,1,1
A015,1,16,1,1
A015,2,18,0,1
A015,3,20,0,1
A015,4,21,1,1
A016,1,16,1,1
A016,2,18,0,1
A016,3,20,1,1
A016,4,21,1,1
A017,1,16,0,1
A017,2,18,1,1
A017,3,20,0,1
A017,4,21,0,1
A018,1,17,0,1
A018,2,19,1,1
A018,3,20,0,1
A018,4,21,0,1
A018,5,22,0,1
A019,1,17,1,1
A019,2,19,1,1
A019,3,20,1,1
A019,4,21,1,1
A019,5,22,1,1
A020,1,8,0,1
A020,2,9,1,1
A020,3,10,1,1
A020,4,11,0,1
A020,5,12,1,1
A021,1,19,1,1
A021,2,21,1,2
A022,1,19,0,1
A022,2,21,0,1
A023,1,19,1,1
A023,2,21,1,1
A024,1,18,1,1
A024,2,19,1,1
A024,3,20,0,2
A024,4,21,0,2
A025,1,18,1,1
A025,2,19,1,1
A025,3,20,0,2
A025,4,21,1,1
A026,1,1,0,1
A026,2,2,1,1
A026,3,3,1,1
A027,1,1,0,1
A027,2,2,1,1
A027,3,3,1,1
A028,1,19,1,1
A028,2,20,0,1
A028,3,21,1,1
A028,4,22,1,1
A028,5,23,1,1
A029,1,19,1,2
A029,2,20,1,2
A029,3,21,1,2
A029,4,22,1,1
A029,5,23,1,1
A030,1,25,1,1
A030,2,26,0,1
A030,3,27,1,1
A031,1,25,1,1
A031,2,26,0,1
A031,3,27,0,1
A032,1,25,0,1
A032,2,26,0,1
A032,3,27,1,1
A033,1,24,0,1
A033,2,25,1,1
A033,3,27,0,1
A033,4,28,0,1
A034,1,24,1,1
A034,2,25,1,1
A034,3,27,1,1
A034,4,28,1,1
A035,1,24,0,1
A035,2,25,0,2
A035,3,27,1,2
A035,4,28,0,1
A036,1,24,0,1
A036,2,25,0,1
A036,3,27,1,1
A036,4,28,0,1
A037,1,3,0,1
A037,2,5,0,1
A037,3,6,1,1
A037,4,7,0,1
A038,1,6,1,1
A038,2,7,1,1
A038,3,8,0,1
A038,4,9,0,1
A039,1,6,0,1
A039,2,7,0,2
A039,3,8,1,1
A039,4,9,0,2
A040,1,6,1,1
A040,2,7,0,2
A040,3,8,1,1
A040,4,9,0,2
A041,1,11,1,2
A041,2,12,0,2
A041,3,13,0,1
A041,4,14,1,1
A042,1,11,1,1
A042,2,12,1,1
A042,3,13,1,1
A042,4,14,1,1
A043,1,11,0,1
A043,2,12,1,1
A043,3,13,1,1
A043,4,14,1,1
