activity_id,week,location_id,co_share_group
A001,6,PLAT:ALP:H01:EB,g001
A001,6,PLAT:ALP:H02:EB,g001
A001,6,SEC:ALP:H01_H02:EB,g001
A001,8,PLAT:ALP:H01:EB,g001
A001,8,PLAT:ALP:H02:EB,g001
A001,8,SEC:ALP:H01_H02:EB,g001
A001,9,PLAT:ALP:H01:EB,g001
A001,9,PLAT:ALP:H02:EB,g001
A001,9,SEC:ALP:H01_H02:EB,g001
A001,10,PLAT:ALP:H01:EB,g001
A001,10,PLAT:ALP:H02:EB,g001
A001,10,SEC:ALP:H01_H02:EB,g001
A001,11,PLAT:ALP:H01:EB,g001
A001,11,PLAT:ALP:H02:EB,g001
A001,11,SEC:ALP:H01_H02:EB,g001
A001,12,PLAT:ALP:H01:EB,g001
A001,12,PLAT:ALP:H02:EB,g001
A001,12,SEC:ALP:H01_H02:EB,g001
A002,4,PLAT:BET:S13:EB,g002
A002,4,PLAT:BET:S14:EB,g002
A002,4,SEC:BET:S13_S14:EB,g002
A003,4,PLAT:BET:S13:EB,g002
A003,4,PLAT:BET:S14:EB,g002
A003,4,SEC:BET:S13_S14:EB,g002
A004,4,PLAT:BET:H01:EB,g002
A004,4,PLAT:BET:S13:EB,g002
A004,4,PLAT:BET:S14:EB,g002
A004,4,SEC:BET:S13_S14:EB,g002
A004,4,SEC:BET:S14_H01:EB,g002
A002,7,PLAT:BET:S13:EB,g002
A002,7,PLAT:BET:S14:EB,g002
A002,7,SEC:BET:S13_S14:EB,g002
A003,7,PLAT:BET:S13:EB,g002
A003,7,PLAT:BET:S14:EB,g002
A003,7,SEC:BET:S13_S14:EB,g002
A004,7,PLAT:BET:H01:EB,g002
A004,7,PLAT:BET:S13:EB,g002
A004,7,PLAT:BET:S14:EB,g002
A004,7,SEC:BET:S13_S14:EB,g002
A004,7,SEC:BET:S14_H01:EB,g002
A002,9,PLAT:BET:S13:EB,g002
A002,9,PLAT:BET:S14:EB,g002
A002,9,SEC:BET:S13_S14:EB,g002
A003,9,PLAT:BET:S13:EB,g002
A003,9,PLAT:BET:S14:EB,g002
A003,9,SEC:BET:S13_S14:EB,g002
A004,9,PLAT:BET:H01:EB,g002
A004,9,PLAT:BET:S13:EB,g002
A004,9,PLAT:BET:S14:EB,g002
A004,9,SEC:BET:S13_S14:EB,g002
A004,9,SEC:BET:S14_H01:EB,g002
A002,10,PLAT:BET:S13:EB,g002
A002,10,PLAT:BET:S14:EB,g002
A002,10,SEC:BET:S13_S14:EB,g002
A003,10,PLAT:BET:S13:EB,g002
A003,10,PLAT:BET:S14:EB,g002
A003,10,SEC:BET:S13_S14:EB,g002
A004,10,PLAT:BET:H01:EB,g002
A004,10,PLAT:BET:S13:EB,g002
A004,10,PLAT:BET:S14:EB,g002
A004,10,SEC:BET:S13_S14:EB,g002
A004,10,SEC:BET:S14_H01:EB,g002
A002,11,PLAT:BET:S13:EB,g002
A002,11,PLAT:BET:S14:EB,g002
A002,11,SEC:BET:S13_S14:EB,g002
A003,11,PLAT:BET:S13:EB,g002
A003,11,PLAT:BET:S14:EB,g002
A003,11,SEC:BET:S13_S14:EB,g002
A004,11,PLAT:BET:H01:EB,g002
A004,11,PLAT:BET:S13:EB,g002
A004,11,PLAT:BET:S14:EB,g002
A004,11,SEC:BET:S13_S14:EB,g002
A004,11,SEC:BET:S14_H01:EB,g002
A002,12,PLAT:BET:S13:EB,g002
A002,12,PLAT:BET:S14:EB,g002
A002,12,SEC:BET:S13_S14:EB,g002
A003,12,PLAT:BET:S13:EB,g002
A003,12,PLAT:BET:S14:EB,g002
A003,12,SEC:BET:S13_S14:EB,g002
A004,12,PLAT:BET:H01:EB,g002
A004,12,PLAT:BET:S13:EB,g002
A004,12,PLAT:BET:S14:EB,g002
A004,12,SEC:BET:S13_S14:EB,g002
A004,12,SEC:BET:S14_H01:EB,g002
A005,17,PLAT:BET:H01:WB,g003
A005,17,PLAT:BET:S13:WB,g003
A005,17,PLAT:BET:S14:WB,g003
A005,17,SEC:BET:S13_S14:WB,g003
A005,17,SEC:BET:S14_H01:WB,g003
A006,17,PLAT:BET:H01:WB,g003
A006,17,PLAT:BET:H02:WB,g003
A006,17,PLAT:BET:S14:WB,g003
A006,17,SEC:BET:H01_H02:WB,g003
A006,17,SEC:BET:S14_H01:WB,g003
A005,18,PLAT:BET:H01:WB,g003
A005,18,PLAT:BET:S13:WB,g003
A005,18,PLAT:BET:S14:WB,g003
A005,18,SEC:BET:S13_S14:WB,g003
A005,18,SEC:BET:S14_H01:WB,g003
A006,18,PLAT:BET:H01:WB,g003
A006,18,PLAT:BET:H02:WB,g003
A006,18,PLAT:BET:S14:WB,g003
A006,18,SEC:BET:H01_H02:WB,g003
A006,18,SEC:BET:S14_H01:WB,g003
A005,20,PLAT:BET:H01:WB,g003
A005,20,PLAT:BET:S13:WB,g003
A005,20,PLAT:BET:S14:WB,g003
A005,20,SEC:BET:S13_S14:WB,g003
A005,20,SEC:BET:S14_H01:WB,g003
A006,20,PLAT:BET:H01:WB,g003
A006,20,PLAT:BET:H02:WB,g003
A006,20,PLAT:BET:S14:WB,g003
A006,20,SEC:BET:H01_H02:WB,g003
A006,20,SEC:BET:S14_H01:WB,g003
A005,21,PLAT:BET:H01:WB,g003
A005,21,PLAT:BET:S13:WB,g003
A005,21,PLAT:BET:S14:WB,g003
A005,21,SEC:BET:S13_S14:WB,g003
A005,21,SEC:BET:S14_H01:WB,g003
A006,21,PLAT:BET:H01:WB,g003
A006,21,PLAT:BET:H02:WB,g003
A006,21,PLAT:BET:S14:WB,g003
A006,21,SEC:BET:H01_H02:WB,g003
A006,21,SEC:BET:S14_H01:WB,g003
A005,22,PLAT:BET:H01:WB,g003
A005,22,PLAT:BET:S13:WB,g003
