activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,5,2027-10-18,,2
A002,C002,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,4,2027-09-27,,3
A003,C003,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,5,2027-10-18,,2
A004,C004,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-10-11,,1
A005,C005,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-10-04,,3
A006,C006,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,1,2027-09-06,,2
A007,C007,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,1,2027-09-13,,2
A008,C002,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,1,2027-09-06,,2
A009,C003,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,1,2027-09-06,,1
A010,C008,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,1,2027-08-30,,3
A011,C009,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,1,2027-09-06,,2
A012,C007,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,1,2027-09-13,,3
A013,C010,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,6,2027-08-30,,2
A014,C011,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,2,2027-10-25,,2
A015,C012,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,5,2027-10-11,A012,3
A016,C002,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,4,2027-09-20,,3
A017,C013,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,3,2027-10-18,,3
A018,C002,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-11-15,A016,1
A019,C014,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,3,2027-11-08,,2
A020,C007,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-10-25,,2
A021,C007,Construction,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,6,2027-09-27,,2
A022,C007,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,5,2027-10-04,A012,2
A023,C002,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,7,2027-10-11,,3
A024,C007,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,6,2027-09-27,,1
A025,C013,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,4,2027-08-30,,2
A026,C015,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,2,2027-10-04,,2
A027,C014,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,2,2027-09-27,,1
A028,C007,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-09-27,,2
A029,C015,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-08-16,,3
A030,C005,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-08-23,,1
A031,C006,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,1,2027-09-06,,1
A032,C001,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,1,2027-09-20,,1
A033,C007,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,1,2027-09-27,A012,2
A034,C007,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,1,2027-09-27,,2
A035,C001,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,1,2027-10-04,,1
A036,C007,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,1,2027-10-04,A034,3
A037,C007,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,1,2027-10-04,,2
A038,C007,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-09-20,A034,1
A039,C003,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,2,2027-09-27,,2
A040,C001,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,2,2027-09-20,,2
A041,C009,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-09-20,A034,3
A042,C002,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,3,2027-09-20,A034,2
A043,C001,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-09-13,,3
A044,C001,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,4,2027-09-27,A034,2
A045,C007,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-10-25,A013,3
A046,C007,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,3,2027-10-04,,3
A047,C003,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-10-04,,2
A048,C002,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-10-04,,3
A049,C015,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,5,2027-10-18,,1
A050,C005,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,6,2027-11-08,,1
A051,C014,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,5,2027-10-18,,2
A052,C008,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,5,2027-10-25,,3
A053,C002,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,5,2027-11-08,A048,1
