activity_id,access_seq,week,eclo,access_night
A001,1,10,1,1
A001,2,12,1,1
A001,3,15,0,1
A001,4,16,1,1
A002,1,10,1,1
A002,2,12,0,1
A002,3,15,0,1
A002,4,16,0,1
A003,1,10,1,1
A003,2,12,1,1
A003,3,15,0,1
A003,4,16,0,1
A004,1,10,1,1
A004,2,11,0,1
A005,1,10,1,1
A005,2,11,1,1
A006,1,6,1,1
A007,1,6,0,1
A008,1,6,1,1
A009,1,6,1,1
A010,1,6,0,1
A011,1,6,0,1
A012,1,6,0,1
A013,1,6,0,1
A013,2,7,1,1
A013,3,8,1,1
A013,4,9,0,1
A013,5,10,1,1
A014,1,12,1,1
A014,2,15,0,1
A015,1,9,1,1
A015,2,10,0,1
A015,3,11,1,1
A015,4,12,1,1
A016,1,9,0,1
A016,2,10,0,1
A016,3,11,0,1
A016,4,12,1,1
A017,1,12,1,1
A017,2,13,0,1
A017,3,14,0,1
A018,1,14,0,1
A018,2,15,0,1
A019,1,14,1,1
A019,2,15,1,1
A020,1,14,0,1
A020,2,15,1,1
A021,1,10,1,1
A021,2,11,0,1
A021,3,12,0,1
A021,4,13,1,1
A021,5,14,1,1
A022,1,10,0,1
A022,2,11,0,1
A022,3,12,0,1
A022,4,13,1,1
A022,5,14,0,2
A023,1,10,1,1
A023,2,11,1,1
A023,3,12,1,1
A023,4,13,0,1
A023,5,14,1,1
A024,1,10,1,2
A024,2,11,0,2
A024,3,12,0,2
A024,4,13,1,2
A024,5,14,0,2
A025,1,5,1,1
A025,2,6,1,1
A025,3,7,1,1
A026,1,8,1,1
A026,2,9,0,1
A027,1,8,1,1
A027,2,9,0,1
A028,1,8,1,1
A028,2,9,1,1
A029,1,2,0,1
A029,2,3,0,1
A029,3,5,1,1
A030,1,2,1,1
A030,2,3,0,1
A030,3,5,0,1
A031,1,7,0,1
A032,1,7,0,1
A033,1,7,0,1
A034,1,7,1,1
A035,1,9,1,1
A036,1,9,0,1
A037,1,9,1,2
A038,1,8,1,1
A038,2,9,1,2
A039,1,8,0,1
A039,2,9,1,1
A040,1,8,0,1
A040,2,9,1,1
A041,1,8,0,1
A041,2,9,1,1
A042,1,8,0,1
A042,2,9,0,1
A042,3,11,0,1
A043,1,8,1,1
A043,2,9,0,2
A043,3,11,0,1
A044,1,8,1,2
A044,2,9,1,2
A044,3,11,1,1
A045,1,11,1,2
A045,2,12,1,2
A046,1,11,1,3
A046,2,12,1,3
A047,1,11,0,1
A047,2,12,0,2
A048,1,11,0,2
A048,2,12,0,2
A049,1,13,0,1
A049,2,14,1,1
A049,3,15,1,1
A049,4,16,1,1
A050,1,13,1,1
A050,2,14,1,1
A050,3,15,1,1
A050,4,16,1,1
A051,1,13,1,1
A051,2,14,0,2
A051,3,15,1,2
A051,4,16,0,1
A052,1,13,1,1
A052,2,14,0,1
A052,3,15,0,1
A052,4,16,1,1
A053,1,13,0,1
A053,2,14,0,1
A053,3,15,1,1
A053,4,16,1,1
A054,1,13,1,2
A054,2,14,0,2
A054,3,15,0,2
A054,4,16,1,2
A055,1,13,1,1
A055,2,14,0,1
A055,3,15,0,1
A055,4,16,0,1
A056,1,5,1,1
A056,2,6,1,2
A056,3,7,1,2
A056,4,8,1,2
A056,5,9,1,3
A057,1,5,1,1
A057,2,6,1,1
A057,3,7,0,1
A057,4,8,1,1
A057,5,9,1,1
A058,1,13,1,2
A058,2,14,1,2
A058,3,15,1,2
A058,4,16,1,2
A059,1,13,1,1
A059,2,14,1,1
A059,3,15,0,2
A059,4,16,0,2
A060,1,13,0,2
A060,2,14,0,3
A060,3,15,1,1
A060,4,16,1,1
A061,1,13,1,1
A061,2,14,0,1
A062,1,13,0,3
A062,2,14,1,3
A063,1,13,0,1
A063,2,14,1,2
A064,1,13,1,2
A064,2,14,0,2
A065,1,4,1,1
A065,2,5,1,1
A065,3,7,1,1
A065,4,9,0,2
A066,1,4,1,1
A066,2,5,0,1
A066,3,7,0,1
A066,4,9,0,3
A067,1,4,1,1
A067,2,5,1,1
A067,3,7,1,1
A067,4,9,1,1
A068,1,4,0,1
A068,2,5,0,1
A068,3,7,1,1
A068,4,9,1,2
A069,1,8,1,1
A069,2,9,0,2
A069,3,10,1,2
A069,4,11,1,2
A069,5,12,1,2
A070,1,8,1,2
A070,2,9,1,3
A070,3,10,1,1
A070,4,11,1,2
A070,5,12,1,1
A071,1,8,1,1
A071,2,9,0,1
A071,3,10,0,2
A071,4,11,1,2
A071,5,12,1,1
A072,1,4,0,1
A072,2,5,0,1
A072,3,6,1,1
A072,4,7,1,1
A072,5,8,0,1
