activity_id,week,location_id,co_share_group
A001,10,PLAT:ALP:H01:EB,g001
A001,10,PLAT:ALP:H02:EB,g001
A001,10,PLAT:ALP:S04:EB,g001
A001,10,SEC:ALP:H01_H02:EB,g001
A001,10,SEC:ALP:S04_H01:EB,g001
A002,10,PLAT:ALP:H01:EB,g001
A002,10,PLAT:ALP:H02:EB,g001
A002,10,PLAT:ALP:S04:EB,g001
A002,10,PLAT:ALP:S05:EB,g001
A002,10,SEC:ALP:H01_H02:EB,g001
A002,10,SEC:ALP:H02_S05:EB,g001
A002,10,SEC:ALP:S04_H01:EB,g001
A003,10,PLAT:ALP:H01:EB,g001
A003,10,PLAT:ALP:H02:EB,g001
A003,10,SEC:ALP:H01_H02:EB,g001
A001,12,PLAT:ALP:H01:EB,g001
A001,12,PLAT:ALP:H02:EB,g001
A001,12,PLAT:ALP:S04:EB,g001
A001,12,SEC:ALP:H01_H02:EB,g001
A001,12,SEC:ALP:S04_H01:EB,g001
A002,12,PLAT:ALP:H01:EB,g001
A002,12,PLAT:ALP:H02:EB,g001
A002,12,PLAT:ALP:S04:EB,g001
A002,12,PLAT:ALP:S05:EB,g001
A002,12,SEC:ALP:H01_H02:EB,g001
A002,12,SEC:ALP:H02_S05:EB,g001
A002,12,SEC:ALP:S04_H01:EB,g001
A003,12,PLAT:ALP:H01:EB,g001
A003,12,PLAT:ALP:H02:EB,g001
A003,12,SEC:ALP:H01_H02:EB,g001
A001,15,PLAT:ALP:H01:EB,g001
A001,15,PLAT:ALP:H02:EB,g001
A001,15,PLAT:ALP:S04:EB,g001
A001,15,SEC:ALP:H01_H02:EB,g001
A001,15,SEC:ALP:S04_H01:EB,g001
A002,15,PLAT:ALP:H01:EB,g001
A002,15,PLAT:ALP:H02:EB,g001
A002,15,PLAT:ALP:S04:EB,g001
A002,15,PLAT:ALP:S05:EB,g001
A002,15,SEC:ALP:H01_H02:EB,g001
A002,15,SEC:ALP:H02_S05:EB,g001
A002,15,SEC:ALP:S04_H01:EB,g001
A003,15,PLAT:ALP:H01:EB,g001
A003,15,PLAT:ALP:H02:EB,g001
A003,15,SEC:ALP:H01_H02:EB,g001
A001,16,PLAT:ALP:H01:EB,g001
A001,16,PLAT:ALP:H02:EB,g001
A001,16,PLAT:ALP:S04:EB,g001
A001,16,SEC:ALP:H01_H02:EB,g001
A001,16,SEC:ALP:S04_H01:EB,g001
A002,16,PLAT:ALP:H01:EB,g001
A002,16,PLAT:ALP:H02:EB,g001
A002,16,PLAT:ALP:S04:EB,g001
A002,16,PLAT:ALP:S05:EB,g001
A002,16,SEC:ALP:H01_H02:EB,g001
A002,16,SEC:ALP:H02_S05:EB,g001
A002,16,SEC:ALP:S04_H01:EB,g001
A003,16,PLAT:ALP:H01:EB,g001
A003,16,PLAT:ALP:H02:EB,g001
A003,16,SEC:ALP:H01_H02:EB,g001
A004,10,PLAT:BET:H01:WB,g002
A004,10,PLAT:BET:H02:WB,g002
A004,10,SEC:BET:H01_H02:WB,g002
A005,10,PLAT:BET:H01:WB,g002
A005,10,PLAT:BET:H02:WB,g002
A005,10,PLAT:BET:S14:WB,g002
A005,10,SEC:BET:H01_H02:WB,g002
A005,10,SEC:BET:S14_H01:WB,g002
A004,11,PLAT:BET:H01:WB,g002
A004,11,PLAT:BET:H02:WB,g002
A004,11,SEC:BET:H01_H02:WB,g002
A005,11,PLAT:BET:H01:WB,g002
A005,11,PLAT:BET:H02:WB,g002
A005,11,PLAT:BET:S14:WB,g002
A005,11,SEC:BET:H01_H02:WB,g002
A005,11,SEC:BET:S14_H01:WB,g002
A006,6,PLAT:ALP:H01:EB,g003
A006,6,PLAT:ALP:H02:EB,g003
A006,6,PLAT:ALP:S04:EB,g003
A006,6,SEC:ALP:H01_H02:EB,g003
A006,6,SEC:ALP:S04_H01:EB,g003
A007,6,PLAT:ALP:H01:EB,g003
A007,6,PLAT:ALP:H02:EB,g003
A007,6,PLAT:ALP:S05:EB,g003
A007,6,SEC:ALP:H01_H02:EB,g003
A007,6,SEC:ALP:H02_S05:EB,g003
A008,6,PLAT:ALP:H01:EB,g003
A008,6,PLAT:ALP:H02:EB,g003
A008,6,SEC:ALP:H01_H02:EB,g003
A009,6,PLAT:ALP:H01:EB,g003
A009,6,PLAT:ALP:H02:EB,g003
A009,6,SEC:ALP:H01_H02:EB,g003
A010,6,PLAT:BET:H01:EB,g004
A010,6,PLAT:BET:H02:EB,g004
A010,6,PLAT:BET:S14:EB,g004
A010,6,PLAT:BET:S15:EB,g004
A010,6,SEC:BET:H01_H02:EB,g004
A010,6,SEC:BET:H02_S15:EB,g004
A010,6,SEC:BET:S14_H01:EB,g004
A011,6,PLAT:BET:H01:EB,g004
A011,6,PLAT:BET:H02:EB,g004
A011,6,PLAT:BET:S15:EB,g004
A011,6,SEC:BET:H01_H02:EB,g004
A011,6,SEC:BET:H02_S15:EB,g004
A012,6,PLAT:BET:H01:EB,g004
A012,6,PLAT:BET:H02:EB,g004
A012,6,SEC:BET:H01_H02:EB,g004
A013,6,PLAT:ALP:H01:WB,g005
A013,6,PLAT:ALP:H02:WB,g005
A013,6,PLAT:ALP:S04:WB,g005
A013,6,SEC:ALP:H01_H02:WB,g005
A013,6,SEC:ALP:S04_H01:WB,g005
A013,7,PLAT:ALP:H01:WB,g005
A013,7,PLAT:ALP:H02:WB,g005
A013,7,PLAT:ALP:S04:WB,g005
A013,7,SEC:ALP:H01_H02:WB,g005
A013,7,SEC:ALP:S04_H01:WB,g005
A013,8,PLAT:ALP:H01:WB,g005
A013,8,PLAT:ALP:H02:WB,g005
A013,8,PLAT:ALP:S04:WB,g005
A013,8,SEC:ALP:H01_H02:WB,g005
A013,8,SEC:ALP:S04_H01:WB,g005
A013,9,PLAT:ALP:H01:WB,g005
A013,9,PLAT:ALP:H02:WB,g005
A013,9,PLAT:ALP:S04:WB,g005
A013,9,SEC:ALP:H01_H02:WB,g005
A013,9,SEC:ALP:S04_H01:WB,g005
A013,10,PLAT:ALP:H01:WB,g005
A013,10,PLAT:ALP:H02:WB,g005
A013,10,PLAT:ALP:S04:WB,g005
A013,10,SEC:ALP:H01_H02:WB,g005
A013,10,SEC:ALP:S04_H01:WB,g005
A014,12,PLAT:ALP:H01:EB,g006
A014,12,PLAT:ALP:H02:EB,g006
A014,12,PLAT:ALP:S04:EB,g006
A014,12,PLAT:ALP:S05:EB,g006
A014,12,SEC:ALP:H01_H02:EB,g006
A014,12,SEC:ALP:H02_S05:EB,g006
A014,12,SEC:ALP:S04_H01:EB,g006
A014,15,PLAT:ALP:H01:EB,g006
A014,15,PLAT:ALP:H02:EB,g006
A014,15,PLAT:ALP:S04:EB,g006
A014,15,PLAT:ALP:S05:EB,g006
A014,15,SEC:ALP:H01_H02:EB,g006
A014,15,SEC:ALP:H02_S05:EB,g006
A014,15,SEC:ALP:S04_H01:EB,g006
A015,9,PLAT:ALP:H01:WB,g007
A015,9,PLAT:ALP:H02:WB,g007
A015,9,PLAT:ALP:S05:WB,g007
A015,9,SEC:ALP:H01_H02:WB,g007
A015,9,SEC:ALP:H02_S05:WB,g007
A016,9,PLAT:ALP:H01:WB,g007
