activity_id,access_seq,week,eclo,access_night
A001,1,11,0,1
A001,2,12,0,1
A002,1,28,0,1
A002,2,30,0,1
A002,3,31,1,1
A002,4,32,1,1
A002,5,33,1,1
A002,6,34,1,1
A003,1,28,0,1
A003,2,30,1,1
A003,3,31,0,1
A003,4,32,1,1
A003,5,33,0,1
A003,6,34,0,1
A004,1,28,1,1
A004,2,30,1,1
A004,3,31,0,1
A004,4,32,1,1
A004,5,33,1,1
A004,6,34,1,1
A005,1,16,1,1
A005,2,17,1,1
A005,3,18,0,1
A005,4,20,0,1
A006,1,16,0,1
A006,2,17,0,1
A006,3,18,1,1
A006,4,20,0,1
A007,1,16,1,1
A007,2,17,0,1
A007,3,18,1,1
A007,4,20,1,1
A008,1,15,0,1
A009,1,15,0,1
A010,1,15,1,1
A011,1,15,0,1
A012,1,11,1,1
A012,2,12,1,1
A012,3,13,0,1
A012,4,14,1,1
A012,5,15,0,1
A012,6,16,1,1
A013,1,5,0,1
A013,2,7,0,1
A014,1,5,0,1
A014,2,7,0,1
A015,1,5,1,2
A015,2,7,0,2
A016,1,3,1,1
A016,2,5,1,1
A016,3,6,1,1
A017,1,35,1,1
A017,2,39,0,1
A017,3,40,1,1
A018,1,10,1,1
A018,2,11,0,1
A018,3,13,0,1
A019,1,10,0,1
A019,2,11,1,1
A019,3,13,1,1
A020,1,29,0,1
A020,2,30,0,1
A020,3,31,0,1
A020,4,33,1,1
A020,5,34,0,1
A020,6,35,0,1
A021,1,29,1,1
A021,2,30,1,2
A021,3,31,1,2
A021,4,33,0,2
A021,5,34,1,2
A021,6,35,1,1
A022,1,29,0,1
A022,2,30,0,1
A022,3,31,1,1
A022,4,33,0,1
A022,5,34,1,1
A022,6,35,1,1
A023,1,7,1,1
A023,2,8,1,1
A024,1,7,0,1
A024,2,8,0,1
A025,1,7,0,2
A025,2,8,0,1
A026,1,15,1,1
A027,1,15,1,1
A028,1,15,0,1
A029,1,15,1,2
A030,1,20,0,1
A030,2,22,1,1
A030,3,23,1,1
A030,4,24,1,1
A030,5,25,0,1
A030,6,26,1,1
A031,1,20,0,1
A031,2,22,1,1
A031,3,23,1,1
A031,4,24,1,1
A031,5,25,0,1
A031,6,26,0,1
A032,1,20,1,1
A032,2,22,0,1
A032,3,23,0,1
A032,4,24,0,1
A032,5,25,1,1
A032,6,26,0,1
A033,1,20,0,1
A033,2,22,1,1
A033,3,23,1,1
A033,4,24,0,1
A033,5,25,1,1
A033,6,26,1,1
A034,1,31,1,1
A034,2,33,0,1
A034,3,34,0,1
A034,4,35,1,1
A034,5,36,1,1
A035,1,31,0,1
A035,2,33,1,1
A035,3,34,0,1
A035,4,35,0,1
A035,5,36,1,1
A036,1,31,0,2
A036,2,33,1,2
A036,3,34,0,2
A036,4,35,0,2
A036,5,36,1,2
A037,1,27,1,1
A037,2,29,1,2
A038,1,27,0,1
A038,2,29,0,1
A039,1,27,1,1
A039,2,29,1,1
A040,1,16,0,1
A040,2,17,1,1
A040,3,20,0,1
A040,4,21,0,1
A041,1,16,1,2
A041,2,17,1,2
A041,3,20,1,2
A041,4,21,1,2
A042,1,16,1,1
A042,2,17,0,1
A042,3,20,1,2
A042,4,21,0,1
A043,1,21,0,1
A043,2,22,1,1
A043,3,23,1,1
A044,1,21,1,1
A044,2,22,1,1
A044,3,23,0,1
A045,1,34,0,1
A045,2,36,1,1
A046,1,32,1,1
A046,2,33,0,2
A047,1,35,0,1
A047,2,36,0,1
A047,3,37,0,1
A047,4,38,1,1
A048,1,35,0,1
A048,2,36,0,1
A048,3,37,0,1
A048,4,38,0,1
A049,1,35,0,1
A049,2,36,1,1
A049,3,37,1,1
A049,4,38,1,1
A050,1,28,1,2
A050,2,29,0,1
A050,3,31,0,2
A051,1,28,1,1
A051,2,29,1,1
A051,3,31,1,1
A052,1,28,1,1
A052,2,29,0,1
A052,3,31,1,2
A053,1,7,1,1
A053,2,9,0,1
A053,3,10,1,1
A053,4,11,1,2
A053,5,12,1,2
A054,1,7,1,1
A054,2,9,0,1
A054,3,10,1,1
A054,4,11,0,1
A054,5,12,0,1
A055,1,7,1,1
A055,2,9,1,1
A055,3,10,1,1
A055,4,11,1,1
A055,5,12,0,1
A056,1,30,0,1
A056,2,31,1,1
A056,3,32,1,1
A056,4,33,1,1
A057,1,30,0,1
A057,2,31,1,1
A057,3,32,1,1
A057,4,33,1,1
A058,1,26,1,1
A058,2,27,1,1
A059,1,26,0,2
A059,2,27,1,1
A060,1,26,0,1
A060,2,27,1,1
A061,1,12,1,1
A061,2,13,1,1
A061,3,14,0,1
A062,1,35,1,1
A062,2,36,1,1
A062,3,39,1,1
A063,1,3,0,1
A063,2,4,0,1
A064,1,3,0,1
A064,2,4,1,1
A065,1,4,0,1
A065,2,5,0,1
A065,3,6,1,1
A065,4,7,0,1
A065,5,8,0,1
A066,1,4,1,1
A066,2,5,1,1
A066,3,6,1,1
A066,4,7,1,1
A066,5,8,0,1
A067,1,4,1,1
A067,2,5,0,1
A067,3,6,1,1
A067,4,7,1,1
A067,5,8,0,1
A068,1,4,0,1
A068,2,5,1,1
A068,3,6,0,1
A068,4,7,1,1
A068,5,8,1,1
A069,1,11,0,1
A069,2,13,1,1
A070,1,17,1,1
A070,2,18,0,1
A071,1,17,1,1
A071,2,18,0,1
A072,1,22,1,1
A072,2,24,0,1
A072,3,25,1,1
A072,4,26,0,1
A072,5,27,1,1
A073,1,12,0,1
A073,2,14,0,1
A073,3,15,0,1
A074,1,12,1,1
A074,2,14,0,1
A074,3,15,0,3
A075,1,12,1,1
A075,2,14,1,1
A075,3,15,0,2
A076,1,12,1,1
A076,2,14,1,1
A076,3,15,1,1
A077,1,13,1,2
A078,1,12,1,1
A078,2,13,0,2
A079,1,12,0,1
A079,2,13,0,1
A080,1,37,1,1
A080,2,38,1,1
A080,3,39,1,1
A080,4,40,1,1
A081,1,30,1,2
A081,2,32,1,2
A082,1,22,1,1
A082,2,23,1,1
A082,3,24,0,1
A082,4,26,1,1
A082,5,27,1,1
A082,6,28,1,1
A083,1,22,0,1
A083,2,23,1,1
A083,3,24,1,1
A083,4,26,0,2
A083,5,27,0,2
A083,6,28,1,1
A084,1,22,0,1
A084,2,23,0,1
A084,3,24,0,1
A084,4,26,0,1
A084,5,27,1,1
A084,6,28,1,1
A085,1,22,1,1
A085,2,23,0,1
A085,3,24,1,1
A085,4,26,0,1
A085,5,27,0,1
A085,6,28,1,2
A086,1,33,1,2
A086,2,34,1,2
A086,3,35,0,2
A086,4,36,0,1
A086,5,37,0,1
A087,1,33,1,1
A087,2,34,1,1
A087,3,35,0,1
A087,4,36,0,1
A087,5,37,1,1
A088,1,33,1,1
A088,2,34,1,1
A088,3,35,0,1
A088,4,36,0,1
A088,5,37,1,1
A089,1,15,1,3
A089,2,16,1,1
A090,1,15,1,1
A090,2,16,0,2
A091,1,34,0,1
A091,2,36,0,1
A091,3,37,1,1
A092,1,34,0,2
A092,2,36,1,2
A092,3,37,0,2
A093,1,34,0,2
A093,2,36,0,1
A093,3,37,1,1
A094,1,34,0,2
A094,2,36,1,2
A094,3,37,1,1
A095,1,10,1,1
A096,1,12,1,2
A096,2,13,1,1
A097,1,12,0,2
A097,2,13,1,3
A098,1,12,0,1
A098,2,13,0,1
A099,1,15,1,2
A099,2,16,0,3
A099,3,17,0,2
A100,1,20,0,1
A100,2,21,0,1
A100,3,22,1,1
A101,1,26,0,2
A101,2,27,1,1
A101,3,29,1,1
A102,1,26,0,1
A102,2,27,1,1
A102,3,29,0,1
A103,1,26,1,3
A103,2,27,1,3
A103,3,29,0,1
A104,1,25,1,1
A105,1,25,0,1
A106,1,25,0,1
A107,1,25,1,2
A108,1,7,1,1
