activity_id,week,location_id,co_share_group
A001,11,PLAT:BET:H01:WB,g001
A001,11,PLAT:BET:H02:WB,g001
A001,11,PLAT:BET:S14:WB,g001
A001,11,SEC:BET:H01_H02:WB,g001
A001,11,SEC:BET:S14_H01:WB,g001
A001,12,PLAT:BET:H01:WB,g001
A001,12,PLAT:BET:H02:WB,g001
A001,12,PLAT:BET:S14:WB,g001
A001,12,SEC:BET:H01_H02:WB,g001
A001,12,SEC:BET:S14_H01:WB,g001
A002,28,PLAT:ALP:S01:WB,g002
A002,28,PLAT:ALP:S02:WB,g002
A002,28,PLAT:ALP:S03:WB,g002
A002,28,PLAT:ALP:S04:WB,g002
A002,28,SEC:ALP:S01_S02:WB,g002
A002,28,SEC:ALP:S02_S03:WB,g002
A002,28,SEC:ALP:S03_S04:WB,g002
A003,28,PLAT:ALP:H01:WB,g002
A003,28,PLAT:ALP:S03:WB,g002
A003,28,PLAT:ALP:S04:WB,g002
A003,28,SEC:ALP:S03_S04:WB,g002
A003,28,SEC:ALP:S04_H01:WB,g002
A004,28,PLAT:ALP:H01:WB,g002
A004,28,PLAT:ALP:H02:WB,g002
A004,28,PLAT:ALP:S02:WB,g002
A004,28,PLAT:ALP:S03:WB,g002
A004,28,PLAT:ALP:S04:WB,g002
A004,28,SEC:ALP:H01_H02:WB,g002
A004,28,SEC:ALP:S02_S03:WB,g002
A004,28,SEC:ALP:S03_S04:WB,g002
A004,28,SEC:ALP:S04_H01:WB,g002
A002,30,PLAT:ALP:S01:WB,g002
A002,30,PLAT:ALP:S02:WB,g002
A002,30,PLAT:ALP:S03:WB,g002
A002,30,PLAT:ALP:S04:WB,g002
A002,30,SEC:ALP:S01_S02:WB,g002
A002,30,SEC:ALP:S02_S03:WB,g002
A002,30,SEC:ALP:S03_S04:WB,g002
A003,30,PLAT:ALP:H01:WB,g002
A003,30,PLAT:ALP:S03:WB,g002
A003,30,PLAT:ALP:S04:WB,g002
A003,30,SEC:ALP:S03_S04:WB,g002
A003,30,SEC:ALP:S04_H01:WB,g002
A004,30,PLAT:ALP:H01:WB,g002
A004,30,PLAT:ALP:H02:WB,g002
A004,30,PLAT:ALP:S02:WB,g002
A004,30,PLAT:ALP:S03:WB,g002
A004,30,PLAT:ALP:S04:WB,g002
A004,30,SEC:ALP:H01_H02:WB,g002
A004,30,SEC:ALP:S02_S03:WB,g002
A004,30,SEC:ALP:S03_S04:WB,g002
A004,30,SEC:ALP:S04_H01:WB,g002
A002,31,PLAT:ALP:S01:WB,g002
A002,31,PLAT:ALP:S02:WB,g002
A002,31,PLAT:ALP:S03:WB,g002
A002,31,PLAT:ALP:S04:WB,g002
A002,31,SEC:ALP:S01_S02:WB,g002
A002,31,SEC:ALP:S02_S03:WB,g002
A002,31,SEC:ALP:S03_S04:WB,g002
A003,31,PLAT:ALP:H01:WB,g002
A003,31,PLAT:ALP:S03:WB,g002
A003,31,PLAT:ALP:S04:WB,g002
A003,31,SEC:ALP:S03_S04:WB,g002
A003,31,SEC:ALP:S04_H01:WB,g002
A004,31,PLAT:ALP:H01:WB,g002
A004,31,PLAT:ALP:H02:WB,g002
A004,31,PLAT:ALP:S02:WB,g002
A004,31,PLAT:ALP:S03:WB,g002
A004,31,PLAT:ALP:S04:WB,g002
A004,31,SEC:ALP:H01_H02:WB,g002
A004,31,SEC:ALP:S02_S03:WB,g002
A004,31,SEC:ALP:S03_S04:WB,g002
A004,31,SEC:ALP:S04_H01:WB,g002
A002,32,PLAT:ALP:S01:WB,g002
A002,32,PLAT:ALP:S02:WB,g002
A002,32,PLAT:ALP:S03:WB,g002
A002,32,PLAT:ALP:S04:WB,g002
A002,32,SEC:ALP:S01_S02:WB,g002
A002,32,SEC:ALP:S02_S03:WB,g002
