activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,6,2027-01-18,,1
A002,C002,Construction,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,4,2027-02-08,,1
A003,C003,Construction,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,7,2027-02-08,,3
A004,C004,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:H02_S05:WB,6,2027-02-15,,3
A005,C005,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:H02_S05:WB,6,2027-01-25,,2
A006,C006,Renewal,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,1,2027-02-01,,1
A007,C001,Renewal,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,3,2027-03-15,,3
A008,C002,Construction,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,3,2027-02-22,,1
A009,C002,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,6,2027-01-04,,2
A010,C007,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,6,2027-01-11,,1
A011,C008,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,6,2027-02-15,,3
A012,C001,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,2,2027-01-25,,3
A013,C005,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,2,2027-02-01,,2
A014,C002,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,4,2027-01-18,,3
A015,C007,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,4,2027-01-04,,3
A016,C009,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,4,2027-01-04,,1
A017,C010,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,5,2027-01-25,,2
A018,C010,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,5,2027-02-01,,1
