activity_id,access_seq,week,eclo,access_night
A001,1,3,0,1
A001,2,4,0,1
A001,3,5,0,1
A001,4,6,0,1
A001,5,7,0,1
A001,6,10,1,1
A002,1,9,0,1
A002,2,10,0,1
A002,3,13,0,1
A002,4,14,0,1
A003,1,7,0,1
A003,2,8,0,1
A003,3,9,0,1
A003,4,10,0,1
A003,5,11,1,1
A003,6,12,1,1
A004,1,7,0,1
A004,2,8,0,1
A004,3,9,0,1
A004,4,10,0,1
A004,5,12,0,1
A004,6,13,0,1
A005,1,7,0,1
A005,2,8,0,1
A005,3,9,0,1
A005,4,10,0,1
A005,5,12,0,1
A005,6,13,0,1
A006,1,8,0,1
A007,1,11,0,1
A007,2,12,0,1
A007,3,13,0,1
A008,1,11,1,1
A008,2,12,0,1
A008,3,13,0,2
A009,1,3,0,1
A009,2,4,0,1
A009,3,5,0,1
A009,4,6,0,1
A009,5,7,0,1
A009,6,9,0,2
A010,1,3,0,1
A010,2,4,0,1
A010,3,5,0,1
A010,4,6,0,1
A010,5,7,0,1
A010,6,9,0,1
A011,1,10,1,1
A011,2,11,0,1
A011,3,12,0,1
A011,4,13,0,1
A011,5,14,0,1
A011,6,15,0,1
A012,1,6,0,2
A012,2,8,0,1
A013,1,6,0,1
A013,2,8,0,2
A014,1,5,0,2
A014,2,6,0,2
A014,3,7,0,2
A014,4,8,0,1
A015,1,3,0,2
A015,2,4,0,2
A015,3,5,0,2
A015,4,6,0,2
A016,1,3,0,1
A016,2,4,0,1
A016,3,5,0,1
A016,4,6,0,1
A017,1,6,0,1
A017,2,7,0,1
A017,3,8,0,1
A017,4,9,0,1
A017,5,10,0,1
A018,1,6,0,2
A018,2,7,0,2
A018,3,8,0,2
A018,4,9,0,2
A018,5,10,0,2
