activity_id,week,location_id,co_share_group
A001,3,PLAT:ALP:S07:WB,g001
A001,3,PLAT:ALP:S08:WB,g001
A001,3,SEC:ALP:S07_S08:WB,g001
A001,4,PLAT:ALP:S07:WB,g001
A001,4,PLAT:ALP:S08:WB,g001
A001,4,SEC:ALP:S07_S08:WB,g001
A001,5,PLAT:ALP:S07:WB,g001
A001,5,PLAT:ALP:S08:WB,g001
A001,5,SEC:ALP:S07_S08:WB,g001
A001,6,PLAT:ALP:S07:WB,g001
A001,6,PLAT:ALP:S08:WB,g001
A001,6,SEC:ALP:S07_S08:WB,g001
A001,7,PLAT:ALP:S07:WB,g001
A001,7,PLAT:ALP:S08:WB,g001
A001,7,SEC:ALP:S07_S08:WB,g001
A001,10,PLAT:ALP:S07:WB,g001
A001,10,PLAT:ALP:S08:WB,g001
A001,10,SEC:ALP:S07_S08:WB,g001
A002,9,PLAT:BET:S12:WB,g002
A002,9,PLAT:BET:S13:WB,g002
A002,9,SEC:BET:S12_S13:WB,g002
A002,10,PLAT:BET:S12:WB,g002
A002,10,PLAT:BET:S13:WB,g002
A002,10,SEC:BET:S12_S13:WB,g002
A002,13,PLAT:BET:S12:WB,g002
A002,13,PLAT:BET:S13:WB,g002
A002,13,SEC:BET:S12_S13:WB,g002
A002,14,PLAT:BET:S12:WB,g002
A002,14,PLAT:BET:S13:WB,g002
A002,14,SEC:BET:S12_S13:WB,g002
A003,7,PLAT:BET:S17:WB,g003
A003,7,PLAT:BET:S18:WB,g003
A003,7,SEC:BET:S17_S18:WB,g003
A003,8,PLAT:BET:S17:WB,g003
A003,8,PLAT:BET:S18:WB,g003
A003,8,SEC:BET:S17_S18:WB,g003
A003,9,PLAT:BET:S17:WB,g003
A003,9,PLAT:BET:S18:WB,g003
A003,9,SEC:BET:S17_S18:WB,g003
A003,10,PLAT:BET:S17:WB,g003
A003,10,PLAT:BET:S18:WB,g003
A003,10,SEC:BET:S17_S18:WB,g003
A003,11,PLAT:BET:S17:WB,g003
A003,11,PLAT:BET:S18:WB,g003
A003,11,SEC:BET:S17_S18:WB,g003
A003,12,PLAT:BET:S17:WB,g003
A003,12,PLAT:BET:S18:WB,g003
A003,12,SEC:BET:S17_S18:WB,g003
A004,7,PLAT:ALP:H02:WB,g004
A004,7,PLAT:ALP:S05:WB,g004
A004,7,SEC:ALP:H02_S05:WB,g004
A005,7,PLAT:ALP:H02:WB,g004
A005,7,PLAT:ALP:S05:WB,g004
A005,7,SEC:ALP:H02_S05:WB,g004
A004,8,PLAT:ALP:H02:WB,g004
A004,8,PLAT:ALP:S05:WB,g004
A004,8,SEC:ALP:H02_S05:WB,g004
A005,8,PLAT:ALP:H02:WB,g004
A005,8,PLAT:ALP:S05:WB,g004
A005,8,SEC:ALP:H02_S05:WB,g004
A004,9,PLAT:ALP:H02:WB,g004
A004,9,PLAT:ALP:S05:WB,g004
A004,9,SEC:ALP:H02_S05:WB,g004
A005,9,PLAT:ALP:H02:WB,g004
A005,9,PLAT:ALP:S05:WB,g004
A005,9,SEC:ALP:H02_S05:WB,g004
A004,10,PLAT:ALP:H02:WB,g004
A004,10,PLAT:ALP:S05:WB,g004
A004,10,SEC:ALP:H02_S05:WB,g004
A005,10,PLAT:ALP:H02:WB,g004
A005,10,PLAT:ALP:S05:WB,g004
A005,10,SEC:ALP:H02_S05:WB,g004
A004,12,PLAT:ALP:H02:WB,g004
A004,12,PLAT:ALP:S05:WB,g004
A004,12,SEC:ALP:H02_S05:WB,g004
A005,12,PLAT:ALP:H02:WB,g004
A005,12,PLAT:ALP:S05:WB,g004
A005,12,SEC:ALP:H02_S05:WB,g004
A004,13,PLAT:ALP:H02:WB,g004
A004,13,PLAT:ALP:S05:WB,g004
A004,13,SEC:ALP:H02_S05:WB,g004
A005,13,PLAT:ALP:H02:WB,g004
A005,13,PLAT:ALP:S05:WB,g004
A005,13,SEC:ALP:H02_S05:WB,g004
A006,8,PLAT:ALP:S07:EB,g005
A006,8,PLAT:ALP:S08:EB,g005
A006,8,SEC:ALP:S07_S08:EB,g005
A007,11,PLAT:ALP:S07:EB,g006
A007,11,PLAT:ALP:S08:EB,g006
A007,11,SEC:ALP:S07_S08:EB,g006
A008,11,PLAT:ALP:S07:EB,g006
A008,11,PLAT:ALP:S08:EB,g006
A008,11,SEC:ALP:S07_S08:EB,g006
A007,12,PLAT:ALP:S07:EB,g006
A007,12,PLAT:ALP:S08:EB,g006
