activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S14_H01:EB,4,2027-06-07,,1
A002,C002,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,2,2027-05-31,,3
A003,C003,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,2,2027-05-24,,1
A004,C004,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S06_S07:EB,5,2027-04-05,,3
A005,C001,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,5,2027-03-22,,3
A006,C005,Renewal,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,5,2027-03-22,,2
A007,C006,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,5,2027-03-22,,3
A008,C003,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S03_S04:WB,5,2027-02-22,,3
A009,C003,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,5,2027-03-01,,2
A010,C007,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,5,2027-03-01,,3
A011,C008,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S17_S18:WB,1,2027-06-28,,1
A012,C003,Construction,SEC:BET:S15_S16:WB,SEC:BET:S17_S18:WB,5,2027-03-15,,3
A013,C009,Construction,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,6,2027-04-05,,3
A014,C007,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,1,2027-06-07,,1
A015,C006,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,1,2027-04-19,,2
A016,C005,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,1,2027-03-29,,3
A017,C010,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,6,2027-02-01,,3
A018,C004,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,6,2027-02-22,,1
A019,C011,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,4,2027-05-10,A006,1
A020,C002,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,2,2027-05-17,,3
A021,C012,Construction,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,2,2027-05-10,,3
A022,C005,Renewal,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,4,2027-06-21,,3
A023,C013,Renewal,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,6,2027-06-14,,1
A024,C009,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,6,2027-06-21,,2
A025,C007,Renewal,SEC:ALP:S06_S07:WB,SEC:ALP:S06_S07:WB,6,2027-06-07,,1
A026,C013,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S13_S14:EB,5,2027-07-05,,3
A027,C009,Construction,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,5,2027-07-26,,3
A028,C014,Construction,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,4,2027-07-05,,2
A029,C015,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,2,2027-04-26,,2
A030,C013,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S16_S17:EB,2,2027-05-03,,2
A031,C011,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S17_S18:WB,4,2027-07-12,,2
A032,C014,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,6,2027-03-08,,1
A033,C015,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:S05_S06:EB,4,2027-04-05,,3
A034,C003,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:S05_S06:EB,4,2027-03-15,,3
A035,C010,Construction,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,4,2027-03-22,,1
A036,C002,Renewal,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,4,2027-03-15,,2
