activity_id,access_seq,week,eclo,access_night
A001,1,21,0,1
A001,2,23,0,1
A001,3,26,0,1
A001,4,27,0,1
A002,1,19,0,1
A002,2,20,0,1
A003,1,19,0,1
A003,2,20,0,1
A004,1,10,0,1
A004,2,11,0,1
A004,3,12,0,1
A004,4,14,0,1
A004,5,15,0,1
A005,1,10,0,1
A005,2,11,0,1
A005,3,12,0,1
A005,4,14,0,1
A005,5,15,0,1
A006,1,10,0,1
A006,2,11,0,1
A006,3,12,0,1
A006,4,14,0,1
A006,5,15,1,1
A007,1,9,0,1
A007,2,10,0,1
A007,3,11,0,1
A007,4,12,0,1
A007,5,13,0,1
A008,1,7,0,1
A008,2,8,0,1
A008,3,10,0,1
A008,4,11,0,1
A008,5,12,0,1
A009,1,7,0,1
A009,2,8,0,1
A009,3,10,0,1
A009,4,11,0,1
A009,5,12,0,1
A010,1,7,0,1
A010,2,8,0,1
A010,3,10,0,1
A010,4,11,0,1
A010,5,12,0,1
A011,1,22,0,1
A012,1,10,0,2
A012,2,12,0,2
A012,3,14,0,1
A012,4,16,0,1
A012,5,17,1,1
A013,1,10,0,1
A013,2,12,0,1
A013,3,14,0,1
A013,4,16,1,1
A013,5,17,1,1
A014,1,21,0,1
A015,1,12,0,2
A016,1,12,0,2
A017,1,1,0,1
A017,2,2,0,1
A017,3,3,0,1
A017,4,4,0,1
A017,5,5,0,1
A017,6,6,0,1
A018,1,7,0,1
A018,2,8,0,1
A018,3,9,0,1
A018,4,10,0,2
A018,5,11,0,2
A018,6,12,0,2
A019,1,17,1,1
A019,2,18,0,1
A019,3,19,0,1
A019,4,20,0,1
A020,1,16,1,1
A020,2,18,0,1
A021,1,16,1,1
A021,2,18,0,1
A022,1,23,0,1
A022,2,24,0,1
A022,3,25,0,1
A022,4,26,0,1
A023,1,22,0,1
A023,2,23,0,1
A023,3,24,0,1
A023,4,25,0,1
A023,5,26,0,1
A023,6,27,0,1
A024,1,22,0,1
A024,2,23,0,1
A024,3,24,0,1
A024,4,25,0,1
A024,5,26,0,1
A024,6,27,0,1
A025,1,22,0,1
A025,2,23,0,1
A025,3,24,0,1
A025,4,25,0,1
A025,5,26,0,1
A025,6,27,0,1
A026,1,26,0,2
A026,2,27,0,2
A026,3,28,0,1
A026,4,29,0,1
A026,5,30,0,1
A027,1,26,0,2
A027,2,27,0,2
A027,3,28,0,1
A027,4,29,0,1
A027,5,30,0,1
A028,1,26,0,1
A028,2,27,0,1
A028,3,28,0,1
A028,4,30,0,1
A029,1,14,0,1
A029,2,16,1,1
A030,1,14,0,1
A030,2,16,0,1
A031,1,25,0,1
A031,2,26,0,1
A031,3,27,0,1
A031,4,28,0,1
A032,1,7,0,1
A032,2,8,0,1
A032,3,9,0,1
A032,4,10,0,1
A032,5,11,0,1
A032,6,12,0,1
A033,1,10,0,1
A033,2,12,0,1
A033,3,14,0,2
A033,4,16,0,2
A034,1,10,0,2
A034,2,12,0,2
A034,3,14,0,1
A034,4,16,1,1
A035,1,10,0,1
A035,2,12,0,1
A035,3,14,0,1
A035,4,16,1,1
A036,1,7,0,1
A036,2,8,0,1
A036,3,9,0,1
A036,4,12,0,1
