activity_id,week,location_id,co_share_group
A001,21,PLAT:BET:H01:EB,g001
A001,21,PLAT:BET:S12:EB,g001
A001,21,PLAT:BET:S13:EB,g001
A001,21,PLAT:BET:S14:EB,g001
A001,21,SEC:BET:S12_S13:EB,g001
A001,21,SEC:BET:S13_S14:EB,g001
A001,21,SEC:BET:S14_H01:EB,g001
A001,23,PLAT:BET:H01:EB,g001
A001,23,PLAT:BET:S12:EB,g001
A001,23,PLAT:BET:S13:EB,g001
A001,23,PLAT:BET:S14:EB,g001
A001,23,SEC:BET:S12_S13:EB,g001
A001,23,SEC:BET:S13_S14:EB,g001
A001,23,SEC:BET:S14_H01:EB,g001
A001,26,PLAT:BET:H01:EB,g001
A001,26,PLAT:BET:S12:EB,g001
A001,26,PLAT:BET:S13:EB,g001
A001,26,PLAT:BET:S14:EB,g001
A001,26,SEC:BET:S12_S13:EB,g001
A001,26,SEC:BET:S13_S14:EB,g001
A001,26,SEC:BET:S14_H01:EB,g001
A001,27,PLAT:BET:H01:EB,g001
A001,27,PLAT:BET:S12:EB,g001
A001,27,PLAT:BET:S13:EB,g001
A001,27,PLAT:BET:S14:EB,g001
A001,27,SEC:BET:S12_S13:EB,g001
A001,27,SEC:BET:S13_S14:EB,g001
A001,27,SEC:BET:S14_H01:EB,g001
A002,19,PLAT:ALP:S01:WB,g002
A002,19,PLAT:ALP:S02:WB,g002
A002,19,PLAT:ALP:S03:WB,g002
A002,19,SEC:ALP:S01_S02:WB,g002
A002,19,SEC:ALP:S02_S03:WB,g002
A003,19,PLAT:ALP:S01:WB,g002
A003,19,PLAT:ALP:S02:WB,g002
A003,19,PLAT:ALP:S03:WB,g002
A003,19,SEC:ALP:S01_S02:WB,g002
A003,19,SEC:ALP:S02_S03:WB,g002
A002,20,PLAT:ALP:S01:WB,g002
A002,20,PLAT:ALP:S02:WB,g002
A002,20,PLAT:ALP:S03:WB,g002
A002,20,SEC:ALP:S01_S02:WB,g002
A002,20,SEC:ALP:S02_S03:WB,g002
A003,20,PLAT:ALP:S01:WB,g002
A003,20,PLAT:ALP:S02:WB,g002
A003,20,PLAT:ALP:S03:WB,g002
A003,20,SEC:ALP:S01_S02:WB,g002
A003,20,SEC:ALP:S02_S03:WB,g002
A004,10,PLAT:ALP:S06:EB,g003
A004,10,PLAT:ALP:S07:EB,g003
A004,10,SEC:ALP:S06_S07:EB,g003
A005,10,PLAT:ALP:S05:EB,g003
A005,10,PLAT:ALP:S06:EB,g003
A005,10,PLAT:ALP:S07:EB,g003
A005,10,SEC:ALP:S05_S06:EB,g003
A005,10,SEC:ALP:S06_S07:EB,g003
A006,10,PLAT:ALP:S06:EB,g003
A006,10,PLAT:ALP:S07:EB,g003
A006,10,PLAT:ALP:S08:EB,g003
A006,10,SEC:ALP:S06_S07:EB,g003
A006,10,SEC:ALP:S07_S08:EB,g003
A004,11,PLAT:ALP:S06:EB,g003
A004,11,PLAT:ALP:S07:EB,g003
A004,11,SEC:ALP:S06_S07:EB,g003
A005,11,PLAT:ALP:S05:EB,g003
A005,11,PLAT:ALP:S06:EB,g003
A005,11,PLAT:ALP:S07:EB,g003
A005,11,SEC:ALP:S05_S06:EB,g003
A005,11,SEC:ALP:S06_S07:EB,g003
A006,11,PLAT:ALP:S06:EB,g003
A006,11,PLAT:ALP:S07:EB,g003
A006,11,PLAT:ALP:S08:EB,g003
A006,11,SEC:ALP:S06_S07:EB,g003
A006,11,SEC:ALP:S07_S08:EB,g003
A004,12,PLAT:ALP:S06:EB,g003
A004,12,PLAT:ALP:S07:EB,g003
A004,12,SEC:ALP:S06_S07:EB,g003
A005,12,PLAT:ALP:S05:EB,g003
A005,12,PLAT:ALP:S06:EB,g003
A005,12,PLAT:ALP:S07:EB,g003
A005,12,SEC:ALP:S05_S06:EB,g003
A005,12,SEC:ALP:S06_S07:EB,g003
A006,12,PLAT:ALP:S06:EB,g003
A006,12,PLAT:ALP:S07:EB,g003
A006,12,PLAT:ALP:S08:EB,g003
A006,12,SEC:ALP:S06_S07:EB,g003
A006,12,SEC:ALP:S07_S08:EB,g003
A004,14,PLAT:ALP:S06:EB,g003
A004,14,PLAT:ALP:S07:EB,g003
A004,14,SEC:ALP:S06_S07:EB,g003
A005,14,PLAT:ALP:S05:EB,g003
A005,14,PLAT:ALP:S06:EB,g003
A005,14,PLAT:ALP:S07:EB,g003
A005,14,SEC:ALP:S05_S06:EB,g003
A005,14,SEC:ALP:S06_S07:EB,g003
A006,14,PLAT:ALP:S06:EB,g003
A006,14,PLAT:ALP:S07:EB,g003
A006,14,PLAT:ALP:S08:EB,g003
A006,14,SEC:ALP:S06_S07:EB,g003
A006,14,SEC:ALP:S07_S08:EB,g003
A004,15,PLAT:ALP:S06:EB,g003
A004,15,PLAT:ALP:S07:EB,g003
A004,15,SEC:ALP:S06_S07:EB,g003
A005,15,PLAT:ALP:S05:EB,g003
A005,15,PLAT:ALP:S06:EB,g003
A005,15,PLAT:ALP:S07:EB,g003
A005,15,SEC:ALP:S05_S06:EB,g003
A005,15,SEC:ALP:S06_S07:EB,g003
A006,15,PLAT:ALP:S06:EB,g003
A006,15,PLAT:ALP:S07:EB,g003
A006,15,PLAT:ALP:S08:EB,g003
A006,15,SEC:ALP:S06_S07:EB,g003
A006,15,SEC:ALP:S07_S08:EB,g003
A007,9,PLAT:ALP:H01:WB,g004
A007,9,PLAT:ALP:H02:WB,g004
A007,9,PLAT:ALP:S04:WB,g004
A007,9,SEC:ALP:H01_H02:WB,g004
A007,9,SEC:ALP:S04_H01:WB,g004
A007,10,PLAT:ALP:H01:WB,g004
A007,10,PLAT:ALP:H02:WB,g004
A007,10,PLAT:ALP:S04:WB,g004
A007,10,SEC:ALP:H01_H02:WB,g004
A007,10,SEC:ALP:S04_H01:WB,g004
A007,11,PLAT:ALP:H01:WB,g004
A007,11,PLAT:ALP:H02:WB,g004
A007,11,PLAT:ALP:S04:WB,g004
A007,11,SEC:ALP:H01_H02:WB,g004
A007,11,SEC:ALP:S04_H01:WB,g004
A007,12,PLAT:ALP:H01:WB,g004
A007,12,PLAT:ALP:H02:WB,g004
A007,12,PLAT:ALP:S04:WB,g004
A007,12,SEC:ALP:H01_H02:WB,g004
A007,12,SEC:ALP:S04_H01:WB,g004
A007,13,PLAT:ALP:H01:WB,g004
A007,13,PLAT:ALP:H02:WB,g004
A007,13,PLAT:ALP:S04:WB,g004
A007,13,SEC:ALP:H01_H02:WB,g004
A007,13,SEC:ALP:S04_H01:WB,g004
A008,7,PLAT:ALP:S01:WB,g005
A008,7,PLAT:ALP:S02:WB,g005
A008,7,PLAT:ALP:S03:WB,g005
A008,7,PLAT:ALP:S04:WB,g005
A008,7,SEC:ALP:S01_S02:WB,g005
A008,7,SEC:ALP:S02_S03:WB,g005
A008,7,SEC:ALP:S03_S04:WB,g005
A009,7,PLAT:ALP:S02:WB,g005
A009,7,PLAT:ALP:S03:WB,g005
A009,7,PLAT:ALP:S04:WB,g005
A009,7,SEC:ALP:S02_S03:WB,g005
A009,7,SEC:ALP:S03_S04:WB,g005
A010,7,PLAT:ALP:S02:WB,g005
A010,7,PLAT:ALP:S03:WB,g005
A010,7,PLAT:ALP:S04:WB,g005
A010,7,SEC:ALP:S02_S03:WB,g005
A010,7,SEC:ALP:S03_S04:WB,g005
A008,8,PLAT:ALP:S01:WB,g005
A008,8,PLAT:ALP:S02:WB,g005
A008,8,PLAT:ALP:S03:WB,g005
A008,8,PLAT:ALP:S04:WB,g005
A008,8,SEC:ALP:S01_S02:WB,g005
A008,8,SEC:ALP:S02_S03:WB,g005
A008,8,SEC:ALP:S03_S04:WB,g005
A009,8,PLAT:ALP:S02:WB,g005
A009,8,PLAT:ALP:S03:WB,g005
A009,8,PLAT:ALP:S04:WB,g005
A009,8,SEC:ALP:S02_S03:WB,g005
A009,8,SEC:ALP:S03_S04:WB,g005
A010,8,PLAT:ALP:S02:WB,g005
A010,8,PLAT:ALP:S03:WB,g005
A010,8,PLAT:ALP:S04:WB,g005
A010,8,SEC:ALP:S02_S03:WB,g005
A010,8,SEC:ALP:S03_S04:WB,g005
A008,10,PLAT:ALP:S01:WB,g005
A008,10,PLAT:ALP:S02:WB,g005
A008,10,PLAT:ALP:S03:WB,g005
A008,10,PLAT:ALP:S04:WB,g005
A008,10,SEC:ALP:S01_S02:WB,g005
A008,10,SEC:ALP:S02_S03:WB,g005
A008,10,SEC:ALP:S03_S04:WB,g005
A009,10,PLAT:ALP:S02:WB,g005
A009,10,PLAT:ALP:S03:WB,g005
A009,10,PLAT:ALP:S04:WB,g005
A009,10,SEC:ALP:S02_S03:WB,g005
A009,10,SEC:ALP:S03_S04:WB,g005
A010,10,PLAT:ALP:S02:WB,g005
A010,10,PLAT:ALP:S03:WB,g005
A010,10,PLAT:ALP:S04:WB,g005
A010,10,SEC:ALP:S02_S03:WB,g005
A010,10,SEC:ALP:S03_S04:WB,g005
A008,11,PLAT:ALP:S01:WB,g005
A008,11,PLAT:ALP:S02:WB,g005
A008,11,PLAT:ALP:S03:WB,g005
A008,11,PLAT:ALP:S04:WB,g005
A008,11,SEC:ALP:S01_S02:WB,g005
A008,11,SEC:ALP:S02_S03:WB,g005
A008,11,SEC:ALP:S03_S04:WB,g005
A009,11,PLAT:ALP:S02:WB,g005
A009,11,PLAT:ALP:S03:WB,g005
A009,11,PLAT:ALP:S04:WB,g005
A009,11,SEC:ALP:S02_S03:WB,g005
A009,11,SEC:ALP:S03_S04:WB,g005
A010,11,PLAT:ALP:S02:WB,g005
A010,11,PLAT:ALP:S03:WB,g005
A010,11,PLAT:ALP:S04:WB,g005
A010,11,SEC:ALP:S02_S03:WB,g005
A010,11,SEC:ALP:S03_S04:WB,g005
A008,12,PLAT:ALP:S01:WB,g005
A008,12,PLAT:ALP:S02:WB,g005
A008,12,PLAT:ALP:S03:WB,g005
A008,12,PLAT:ALP:S04:WB,g005
A008,12,SEC:ALP:S01_S02:WB,g005
A008,12,SEC:ALP:S02_S03:WB,g005
A008,12,SEC:ALP:S03_S04:WB,g005
A009,12,PLAT:ALP:S02:WB,g005
A009,12,PLAT:ALP:S03:WB,g005
A009,12,PLAT:ALP:S04:WB,g005
A009,12,SEC:ALP:S02_S03:WB,g005
A009,12,SEC:ALP:S03_S04:WB,g005
A010,12,PLAT:ALP:S02:WB,g005
A010,12,PLAT:ALP:S03:WB,g005
A010,12,PLAT:ALP:S04:WB,g005
A010,12,SEC:ALP:S02_S03:WB,g005
A010,12,SEC:ALP:S03_S04:WB,g005
A011,22,PLAT:BET:S15:WB,g006
A011,22,PLAT:BET:S16:WB,g006
A011,22,PLAT:BET:S17:WB,g006
A011,22,PLAT:BET:S18:WB,g006
A011,22,SEC:BET:S15_S16:WB,g006
A011,22,SEC:BET:S16_S17:WB,g006
A011,22,SEC:BET:S17_S18:WB,g006
A012,10,PLAT:BET:S15:WB,g007
A012,10,PLAT:BET:S16:WB,g007
A012,10,PLAT:BET:S17:WB,g007
A012,10,PLAT:BET:S18:WB,g007
A012,10,SEC:BET:S15_S16:WB,g007
A012,10,SEC:BET:S16_S17:WB,g007
A012,10,SEC:BET:S17_S18:WB,g007
A013,10,PLAT:BET:S16:WB,g007
A013,10,PLAT:BET:S17:WB,g007
A013,10,PLAT:BET:S18:WB,g007
A013,10,SEC:BET:S16_S17:WB,g007
A013,10,SEC:BET:S17_S18:WB,g007
A012,12,PLAT:BET:S15:WB,g007
A012,12,PLAT:BET:S16:WB,g007
A012,12,PLAT:BET:S17:WB,g007
A012,12,PLAT:BET:S18:WB,g007
A012,12,SEC:BET:S15_S16:WB,g007
A012,12,SEC:BET:S16_S17:WB,g007
A012,12,SEC:BET:S17_S18:WB,g007
A013,12,PLAT:BET:S16:WB,g007
A013,12,PLAT:BET:S17:WB,g007
A013,12,PLAT:BET:S18:WB,g007
A013,12,SEC:BET:S16_S17:WB,g007
A013,12,SEC:BET:S17_S18:WB,g007
A012,14,PLAT:BET:S15:WB,g007
A012,14,PLAT:BET:S16:WB,g007
A012,14,PLAT:BET:S17:WB,g007
A012,14,PLAT:BET:S18:WB,g007
A012,14,SEC:BET:S15_S16:WB,g007
A012,14,SEC:BET:S16_S17:WB,g007
A012,14,SEC:BET:S17_S18:WB,g007
A013,14,PLAT:BET:S16:WB,g007
A013,14,PLAT:BET:S17:WB,g007
A013,14,PLAT:BET:S18:WB,g007
A013,14,SEC:BET:S16_S17:WB,g007
A013,14,SEC:BET:S17_S18:WB,g007
A012,16,PLAT:BET:S15:WB,g007
A012,16,PLAT:BET:S16:WB,g007
A012,16,PLAT:BET:S17:WB,g007
A012,16,PLAT:BET:S18:WB,g007
A012,16,SEC:BET:S15_S16:WB,g007
A012,16,SEC:BET:S16_S17:WB,g007
A012,16,SEC:BET:S17_S18:WB,g007
A013,16,PLAT:BET:S16:WB,g007
A013,16,PLAT:BET:S17:WB,g007
A013,16,PLAT:BET:S18:WB,g007
A013,16,SEC:BET:S16_S17:WB,g007
A013,16,SEC:BET:S17_S18:WB,g007
A012,17,PLAT:BET:S15:WB,g007
A012,17,PLAT:BET:S16:WB,g007
A012,17,PLAT:BET:S17:WB,g007
A012,17,PLAT:BET:S18:WB,g007
A012,17,SEC:BET:S15_S16:WB,g007
A012,17,SEC:BET:S16_S17:WB,g007
A012,17,SEC:BET:S17_S18:WB,g007
A013,17,PLAT:BET:S16:WB,g007
A013,17,PLAT:BET:S17:WB,g007
A013,17,PLAT:BET:S18:WB,g007
A013,17,SEC:BET:S16_S17:WB,g007
A013,17,SEC:BET:S17_S18:WB,g007
A014,21,PLAT:BET:S16:WB,g008
A014,21,PLAT:BET:S17:WB,g008
A014,21,PLAT:BET:S18:WB,g008
A014,21,SEC:BET:S16_S17:WB,g008
A014,21,SEC:BET:S17_S18:WB,g008
A015,12,PLAT:BET:S15:EB,g009
A015,12,PLAT:BET:S16:EB,g009
A015,12,SEC:BET:S15_S16:EB,g009
A016,12,PLAT:BET:H02:EB,g009
A016,12,PLAT:BET:S15:EB,g009
A016,12,PLAT:BET:S16:EB,g009
A016,12,SEC:BET:H02_S15:EB,g009
A016,12,SEC:BET:S15_S16:EB,g009
A017,1,PLAT:ALP:H01:WB,g010
A017,1,PLAT:ALP:S03:WB,g010
A017,1,PLAT:ALP:S04:WB,g010
A017,1,SEC:ALP:S03_S04:WB,g010
A017,1,SEC:ALP:S04_H01:WB,g010
A017,2,PLAT:ALP:H01:WB,g010
A017,2,PLAT:ALP:S03:WB,g010
A017,2,PLAT:ALP:S04:WB,g010
A017,2,SEC:ALP:S03_S04:WB,g010
A017,2,SEC:ALP:S04_H01:WB,g010
A017,3,PLAT:ALP:H01:WB,g010
A017,3,PLAT:ALP:S03:WB,g010
A017,3,PLAT:ALP:S04:WB,g010
A017,3,SEC:ALP:S03_S04:WB,g010
A017,3,SEC:ALP:S04_H01:WB,g010
A017,4,PLAT:ALP:H01:WB,g010
A017,4,PLAT:ALP:S03:WB,g010
A017,4,PLAT:ALP:S04:WB,g010
A017,4,SEC:ALP:S03_S04:WB,g010
A017,4,SEC:ALP:S04_H01:WB,g010
A017,5,PLAT:ALP:H01:WB,g010
A017,5,PLAT:ALP:S03:WB,g010
A017,5,PLAT:ALP:S04:WB,g010
A017,5,SEC:ALP:S03_S04:WB,g010
A017,5,SEC:ALP:S04_H01:WB,g010
A017,6,PLAT:ALP:H01:WB,g010
A017,6,PLAT:ALP:S03:WB,g010
A017,6,PLAT:ALP:S04:WB,g010
A017,6,SEC:ALP:S03_S04:WB,g010
A017,6,SEC:ALP:S04_H01:WB,g010
A018,7,PLAT:ALP:H01:WB,g011
A018,7,PLAT:ALP:H02:WB,g011
A018,7,PLAT:ALP:S04:WB,g011
A018,7,SEC:ALP:H01_H02:WB,g011
A018,7,SEC:ALP:S04_H01:WB,g011
A018,8,PLAT:ALP:H01:WB,g011
A018,8,PLAT:ALP:H02:WB,g011
A018,8,PLAT:ALP:S04:WB,g011
A018,8,SEC:ALP:H01_H02:WB,g011
A018,8,SEC:ALP:S04_H01:WB,g011
A018,9,PLAT:ALP:H01:WB,g011
A018,9,PLAT:ALP:H02:WB,g011
A018,9,PLAT:ALP:S04:WB,g011
A018,9,SEC:ALP:H01_H02:WB,g011
A018,9,SEC:ALP:S04_H01:WB,g011
A018,10,PLAT:ALP:H01:WB,g011
A018,10,PLAT:ALP:H02:WB,g011
A018,10,PLAT:ALP:S04:WB,g011
A018,10,SEC:ALP:H01_H02:WB,g011
A018,10,SEC:ALP:S04_H01:WB,g011
A018,11,PLAT:ALP:H01:WB,g011
A018,11,PLAT:ALP:H02:WB,g011
A018,11,PLAT:ALP:S04:WB,g011
A018,11,SEC:ALP:H01_H02:WB,g011
A018,11,SEC:ALP:S04_H01:WB,g011
A018,12,PLAT:ALP:H01:WB,g011
A018,12,PLAT:ALP:H02:WB,g011
A018,12,PLAT:ALP:S04:WB,g011
A018,12,SEC:ALP:H01_H02:WB,g011
A018,12,SEC:ALP:S04_H01:WB,g011
A019,17,PLAT:BET:S16:WB,g012
A019,17,PLAT:BET:S17:WB,g012
A019,17,PLAT:BET:S18:WB,g012
A019,17,SEC:BET:S16_S17:WB,g012
A019,17,SEC:BET:S17_S18:WB,g012
A019,18,PLAT:BET:S16:WB,g012
A019,18,PLAT:BET:S17:WB,g012
A019,18,PLAT:BET:S18:WB,g012
A019,18,SEC:BET:S16_S17:WB,g012
A019,18,SEC:BET:S17_S18:WB,g012
A019,19,PLAT:BET:S16:WB,g012
A019,19,PLAT:BET:S17:WB,g012
A019,19,PLAT:BET:S18:WB,g012
A019,19,SEC:BET:S16_S17:WB,g012
A019,19,SEC:BET:S17_S18:WB,g012
A019,20,PLAT:BET:S16:WB,g012
A019,20,PLAT:BET:S17:WB,g012
A019,20,PLAT:BET:S18:WB,g012
A019,20,SEC:BET:S16_S17:WB,g012
A019,20,SEC:BET:S17_S18:WB,g012
A020,16,PLAT:BET:H01:WB,g013
A020,16,PLAT:BET:S13:WB,g013
A020,16,PLAT:BET:S14:WB,g013
A020,16,SEC:BET:S13_S14:WB,g013
A020,16,SEC:BET:S14_H01:WB,g013
A021,16,PLAT:BET:S13:WB,g013
A021,16,PLAT:BET:S14:WB,g013
A021,16,SEC:BET:S13_S14:WB,g013
