activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Construction,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,5,2027-05-31,,2
A002,C002,Construction,SEC:BET:H02_S15:EB,SEC:BET:S16_S17:EB,5,2027-05-31,,2
A003,C003,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S16_S17:EB,5,2027-05-31,,2
A004,C004,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,5,2027-05-31,,2
A005,C005,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,2,2027-04-12,,2
A006,C006,Construction,SEC:BET:H02_S15:WB,SEC:BET:S16_S17:WB,2,2027-04-19,,3
A007,C007,Construction,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,2,2027-03-29,,2
A008,C008,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S16_S17:WB,2,2027-04-12,,3
A009,C009,Construction,SEC:BET:S12_S13:WB,SEC:BET:S14_H01:WB,1,2027-04-19,,1
A010,C009,Construction,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,4,2027-03-22,,3
A011,C010,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,4,2027-04-12,,3
A012,C003,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S02_S03:WB,5,2027-04-12,,3
A013,C010,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S02_S03:WB,5,2027-04-12,,2
A014,C004,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,5,2027-04-12,A008,1
A015,C009,Construction,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,5,2027-03-01,,2
A016,C011,Construction,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,5,2027-03-08,,3
A017,C004,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,5,2027-03-01,,3
A018,C012,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S13_S14:WB,6,2027-05-24,,3
A019,C001,Construction,SEC:BET:S11_S12:WB,SEC:BET:S13_S14:WB,6,2027-06-07,,2
A020,C013,Construction,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,3,2027-07-19,,2
A021,C004,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-07-05,,2
A022,C014,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-07-19,A014,1
A023,C004,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-07-05,,2
A024,C004,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,1,2027-03-08,,3
A025,C007,Construction,SEC:BET:S16_S17:EB,SEC:BET:S17_S18:EB,1,2027-03-22,,2
A026,C015,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S17_S18:EB,1,2027-03-01,,1
A027,C009,Construction,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,4,2027-08-23,,1
A028,C012,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,5,2027-05-17,,1
A029,C008,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,5,2027-05-24,A011,3
A030,C009,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,4,2027-05-17,,1
A031,C011,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,3,2027-05-31,A011,1
A032,C016,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,4,2027-05-17,,2
A033,C008,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,2,2027-05-24,,3
A034,C008,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,2,2027-05-03,,1
A035,C010,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,2,2027-05-10,,3
A036,C003,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S14_H01:WB,1,2027-08-09,,1
A037,C004,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S13_S14:WB,1,2027-08-16,,3
A038,C007,Construction,SEC:BET:S12_S13:WB,SEC:BET:S13_S14:WB,1,2027-07-26,,3
A039,C004,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,5,2027-08-02,,1
A040,C004,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S06_S07:EB,5,2027-08-23,,3
A041,C008,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S06_S07:EB,5,2027-08-23,A038,2
A042,C001,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,2,2027-03-01,,3
A043,C016,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,2,2027-03-01,,1
A044,C017,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,3,2027-04-26,,1
A045,C010,Renewal,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,3,2027-08-02,,3
A046,C015,Renewal,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,3,2027-07-26,A023,3
A047,C009,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,6,2027-04-19,,2
A048,C001,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:H01_H02:WB,6,2027-04-12,,3
A049,C008,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,6,2027-04-19,A026,3
A050,C011,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:H01_H02:WB,6,2027-04-05,,1
A051,C003,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,3,2027-07-19,,1
A052,C012,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,2,2027-03-01,,3
A053,C013,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,2,2027-03-01,,3
A054,C003,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,2,2027-03-08,,2
