activity_id,access_seq,week,eclo,access_night
A001,1,17,1,1
A001,2,18,0,1
A001,3,19,0,1
A001,4,21,0,1
A001,5,22,0,1
A002,1,17,1,1
A002,2,18,0,1
A002,3,19,0,1
A002,4,21,0,1
A002,5,22,0,1
A003,1,17,1,1
A003,2,18,0,1
A003,3,19,0,1
A003,4,21,0,1
A003,5,22,0,1
A004,1,17,1,1
A004,2,18,0,1
A004,3,19,0,1
A004,4,21,0,1
A004,5,22,0,1
A005,1,8,0,1
A005,2,9,0,1
A006,1,8,0,1
A006,2,9,0,1
A007,1,8,0,1
A007,2,9,0,1
A008,1,8,0,1
A008,2,9,0,1
A009,1,11,0,1
A010,1,7,0,1
A010,2,10,0,1
A010,3,11,0,2
A010,4,13,0,1
A011,1,7,0,1
A011,2,10,0,1
A011,3,11,0,1
A011,4,13,0,1
A012,1,10,0,1
A012,2,11,0,1
A012,3,12,0,1
A012,4,14,0,1
A012,5,16,1,1
A013,1,10,0,2
A013,2,11,0,2
A013,3,12,0,1
A013,4,14,0,1
A013,5,16,0,1
A014,1,10,0,1
A014,2,11,0,1
A014,3,12,0,1
A014,4,14,0,1
A014,5,16,1,1
A015,1,3,0,1
A015,2,5,0,1
A015,3,8,0,1
A015,4,9,0,1
A015,5,10,0,2
A016,1,3,0,1
A016,2,5,0,1
A016,3,8,0,1
A016,4,9,0,1
A016,5,10,0,1
A017,1,3,0,1
A017,2,5,0,1
A017,3,8,0,1
A017,4,9,0,1
A017,5,10,0,2
A018,1,16,1,1
A018,2,17,0,1
A018,3,18,0,1
A018,4,19,0,1
A018,5,20,0,1
A018,6,21,0,1
A019,1,16,0,1
A019,2,17,1,2
A019,3,18,0,2
A019,4,19,0,2
A019,5,20,0,1
A019,6,21,0,2
A020,1,21,0,1
A020,2,22,0,1
A020,3,24,0,1
A021,1,21,0,2
A021,2,22,0,2
A021,3,24,0,1
A022,1,21,0,1
A022,2,22,0,1
A022,3,24,0,1
A023,1,21,0,3
A023,2,22,0,3
A023,3,24,0,2
A024,1,4,0,1
A025,1,4,0,1
A026,1,4,0,1
A027,1,27,0,1
A027,2,28,0,1
A027,3,29,0,1
A027,4,30,0,1
A028,1,14,0,1
A028,2,17,0,2
A028,3,18,0,2
A028,4,19,0,2
A028,5,21,0,2
A029,1,14,0,1
A029,2,17,0,1
A029,3,18,0,1
A029,4,19,0,1
A029,5,21,0,1
A030,1,15,1,1
A030,2,16,1,1
A030,3,17,0,1
A031,1,15,0,1
A031,2,16,1,1
A031,3,17,0,1
A032,1,15,1,1
A032,2,16,1,1
A032,3,17,0,1
A033,1,13,0,1
A033,2,17,1,2
A034,1,13,0,2
A034,2,17,1,3
A035,1,13,0,2
A035,2,17,1,1
A036,1,25,0,1
A037,1,25,0,1
A038,1,25,0,1
A039,1,26,0,1
A039,2,27,0,1
A039,3,28,0,1
A039,4,29,0,1
A039,5,30,0,1
A040,1,26,0,2
A040,2,27,0,2
A040,3,28,0,2
A040,4,29,0,2
A040,5,30,0,2
A041,1,26,0,1
A041,2,27,0,1
A041,3,28,0,1
A041,4,29,0,1
A041,5,30,0,1
A042,1,1,0,1
A042,2,3,0,1
A043,1,1,0,1
A043,2,3,0,1
A044,1,9,0,1
A044,2,10,0,1
A044,3,11,0,1
A045,1,25,0,1
A045,2,28,0,1
A045,3,30,0,1
A046,1,25,0,1
A046,2,28,0,1
A046,3,30,0,1
A047,1,8,0,2
A047,2,9,0,2
A047,3,10,0,3
A047,4,11,0,3
A047,5,12,0,1
A047,6,13,0,2
A048,1,8,0,1
A048,2,9,0,1
A048,3,10,0,1
A048,4,11,0,1
A048,5,12,0,1
A048,6,13,0,1
A049,1,8,0,2
A049,2,9,0,2
A049,3,10,0,1
A049,4,11,0,1
A049,5,12,0,1
A049,6,13,0,3
A050,1,8,0,2
A050,2,9,0,2
A050,3,10,0,2
A050,4,11,0,1
A050,5,12,0,1
A050,6,13,0,1
A051,1,23,0,1
A051,2,24,0,1
A051,3,26,0,1
A052,1,3,0,1
A052,2,4,0,1
A053,1,3,0,1
A053,2,4,0,1
A054,1,3,0,1
A054,2,4,0,1
