activity_id,week,location_id,co_share_group
A001,17,PLAT:BET:H02:EB,g001
A001,17,PLAT:BET:S15:EB,g001
A001,17,PLAT:BET:S16:EB,g001
A001,17,SEC:BET:H02_S15:EB,g001
A001,17,SEC:BET:S15_S16:EB,g001
A002,17,PLAT:BET:H02:EB,g001
A002,17,PLAT:BET:S15:EB,g001
A002,17,PLAT:BET:S16:EB,g001
A002,17,PLAT:BET:S17:EB,g001
A002,17,SEC:BET:H02_S15:EB,g001
A002,17,SEC:BET:S15_S16:EB,g001
A002,17,SEC:BET:S16_S17:EB,g001
A003,17,PLAT:BET:H02:EB,g001
A003,17,PLAT:BET:S15:EB,g001
A003,17,PLAT:BET:S16:EB,g001
A003,17,PLAT:BET:S17:EB,g001
A003,17,SEC:BET:H02_S15:EB,g001
A003,17,SEC:BET:S15_S16:EB,g001
A003,17,SEC:BET:S16_S17:EB,g001
A004,17,PLAT:BET:H02:EB,g001
A004,17,PLAT:BET:S15:EB,g001
A004,17,PLAT:BET:S16:EB,g001
A004,17,SEC:BET:H02_S15:EB,g001
A004,17,SEC:BET:S15_S16:EB,g001
A001,18,PLAT:BET:H02:EB,g001
A001,18,PLAT:BET:S15:EB,g001
A001,18,PLAT:BET:S16:EB,g001
A001,18,SEC:BET:H02_S15:EB,g001
A001,18,SEC:BET:S15_S16:EB,g001
A002,18,PLAT:BET:H02:EB,g001
A002,18,PLAT:BET:S15:EB,g001
A002,18,PLAT:BET:S16:EB,g001
A002,18,PLAT:BET:S17:EB,g001
A002,18,SEC:BET:H02_S15:EB,g001
A002,18,SEC:BET:S15_S16:EB,g001
A002,18,SEC:BET:S16_S17:EB,g001
A003,18,PLAT:BET:H02:EB,g001
A003,18,PLAT:BET:S15:EB,g001
A003,18,PLAT:BET:S16:EB,g001
A003,18,PLAT:BET:S17:EB,g001
A003,18,SEC:BET:H02_S15:EB,g001
A003,18,SEC:BET:S15_S16:EB,g001
A003,18,SEC:BET:S16_S17:EB,g001
A004,18,PLAT:BET:H02:EB,g001
A004,18,PLAT:BET:S15:EB,g001
A004,18,PLAT:BET:S16:EB,g001
A004,18,SEC:BET:H02_S15:EB,g001
A004,18,SEC:BET:S15_S16:EB,g001
A001,19,PLAT:BET:H02:EB,g001
A001,19,PLAT:BET:S15:EB,g001
A001,19,PLAT:BET:S16:EB,g001
A001,19,SEC:BET:H02_S15:EB,g001
A001,19,SEC:BET:S15_S16:EB,g001
A002,19,PLAT:BET:H02:EB,g001
A002,19,PLAT:BET:S15:EB,g001
A002,19,PLAT:BET:S16:EB,g001
A002,19,PLAT:BET:S17:EB,g001
A002,19,SEC:BET:H02_S15:EB,g001
A002,19,SEC:BET:S15_S16:EB,g001
A002,19,SEC:BET:S16_S17:EB,g001
A003,19,PLAT:BET:H02:EB,g001
A003,19,PLAT:BET:S15:EB,g001
A003,19,PLAT:BET:S16:EB,g001
A003,19,PLAT:BET:S17:EB,g001
A003,19,SEC:BET:H02_S15:EB,g001
A003,19,SEC:BET:S15_S16:EB,g001
A003,19,SEC:BET:S16_S17:EB,g001
A004,19,PLAT:BET:H02:EB,g001
A004,19,PLAT:BET:S15:EB,g001
A004,19,PLAT:BET:S16:EB,g001
A004,19,SEC:BET:H02_S15:EB,g001
A004,19,SEC:BET:S15_S16:EB,g001
A001,21,PLAT:BET:H02:EB,g001
A001,21,PLAT:BET:S15:EB,g001
A001,21,PLAT:BET:S16:EB,g001
A001,21,SEC:BET:H02_S15:EB,g001
A001,21,SEC:BET:S15_S16:EB,g001
A002,21,PLAT:BET:H02:EB,g001
A002,21,PLAT:BET:S15:EB,g001
A002,21,PLAT:BET:S16:EB,g001
A002,21,PLAT:BET:S17:EB,g001
A002,21,SEC:BET:H02_S15:EB,g001
A002,21,SEC:BET:S15_S16:EB,g001
A002,21,SEC:BET:S16_S17:EB,g001
A003,21,PLAT:BET:H02:EB,g001
A003,21,PLAT:BET:S15:EB,g001
A003,21,PLAT:BET:S16:EB,g001
A003,21,PLAT:BET:S17:EB,g001
A003,21,SEC:BET:H02_S15:EB,g001
A003,21,SEC:BET:S15_S16:EB,g001
A003,21,SEC:BET:S16_S17:EB,g001
A004,21,PLAT:BET:H02:EB,g001
A004,21,PLAT:BET:S15:EB,g001
A004,21,PLAT:BET:S16:EB,g001
A004,21,SEC:BET:H02_S15:EB,g001
A004,21,SEC:BET:S15_S16:EB,g001
A001,22,PLAT:BET:H02:EB,g001
A001,22,PLAT:BET:S15:EB,g001
A001,22,PLAT:BET:S16:EB,g001
A001,22,SEC:BET:H02_S15:EB,g001
A001,22,SEC:BET:S15_S16:EB,g001
A002,22,PLAT:BET:H02:EB,g001
A002,22,PLAT:BET:S15:EB,g001
A002,22,PLAT:BET:S16:EB,g001
A002,22,PLAT:BET:S17:EB,g001
A002,22,SEC:BET:H02_S15:EB,g001
