contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic interchange_congestion programme C001,2027-01-13,Renewal,Non-live (Consist),3,2027-11-22,2027-10-04,1,C,3
C002,Synthetic interchange_congestion programme C002,2026-12-10,Renewal,Live,1,2027-11-22,2027-10-15,1,PC,2
C003,Synthetic interchange_congestion programme C003,2026-11-02,Renewal,Non-live (Consist),3,2027-11-22,2027-08-12,1,PC,3
C004,Synthetic interchange_congestion programme C004,2026-11-12,Renewal,Live,3,2027-11-22,2027-09-10,2,C,2
C005,Synthetic interchange_congestion programme C005,2026-09-12,Construction,Non-live (Others),3,2027-11-22,2027-09-01,1,C,3
C006,Synthetic interchange_congestion programme C006,2026-09-30,Construction,Non-live (Others),1,2027-11-22,2027-09-02,1,C,3
C007,Synthetic interchange_congestion programme C007,2027-01-06,Renewal,Live,2,2027-11-22,2027-10-20,2,C,2
C008,Synthetic interchange_congestion programme C008,2027-01-20,Renewal,Non-live (Consist),3,2027-11-22,2027-09-09,1,C,3
C009,Synthetic interchange_congestion programme C009,2026-08-18,Construction,Non-live (Others),3,2027-11-22,2027-08-24,1,C,3
C010,Synthetic interchange_congestion programme C010,2026-09-16,Construction,Non-live (Others),3,2027-11-22,2027-10-07,1,C,3
C011,Synthetic interchange_congestion programme C011,2026-11-09,Renewal,Non-live (Consist),3,2027-11-22,2027-08-29,1,PC,3
C012,Synthetic interchange_congestion programme C012,2026-09-23,Renewal,Non-live (Consist),3,2027-11-22,2027-06-11,1,C,3
C013,Synthetic interchange_congestion programme C013,2026-10-13,Construction,Non-live (Others),3,2027-11-22,2027-10-17,1,PC,3
C014,Synthetic interchange_congestion programme C014,2026-08-12,Renewal,Non-live (Consist),3,2027-11-22,2027-08-14,1,C,3
C015,Synthetic interchange_congestion programme C015,2026-09-06,Construction,Non-live (Others),2,2027-11-22,2027-10-13,2,C,3
C016,Synthetic interchange_congestion programme C016,2026-09-30,Renewal,Non-live (Consist),3,2027-11-22,2027-06-09,1,C,3
