activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-08-30,,1
A002,C002,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-08-16,,1
A003,C003,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,2,2027-06-28,,1
A004,C004,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,2,2027-06-28,,1
A005,C004,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-06-21,,1
A006,C001,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-05-17,,3
A007,C005,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-04-26,,2
A008,C006,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-05-17,,3
A009,C001,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-05-03,,3
A010,C007,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-05-24,,1
A011,C008,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,6,2027-07-26,,1
A012,C004,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,6,2027-08-02,,3
A013,C004,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,1,2027-06-21,,1
A014,C009,Construction,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,1,2027-06-07,A010,3
A015,C010,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,1,2027-06-07,,3
A016,C011,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,6,2027-05-24,,3
A017,C010,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,7,2027-06-07,,2
A018,C001,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,7,2027-05-24,,1
A019,C003,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,4,2027-05-17,,2
A020,C010,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-05-03,,3
A021,C012,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,4,2027-05-10,,2
A022,C013,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,5,2027-07-05,,3
A023,C014,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,5,2027-07-19,,3
A024,C003,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,6,2027-04-19,,2
A025,C015,Construction,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,6,2027-04-19,,1
A026,C007,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,6,2027-04-26,,1
A027,C008,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,6,2027-04-12,,3
A028,C016,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,6,2027-04-12,,1
A029,C005,Construction,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,6,2027-04-19,,2
A030,C010,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,6,2027-04-05,,2
A031,C013,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,6,2027-08-16,,1
A032,C010,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,6,2027-08-09,,1
A033,C010,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,6,2027-08-09,,3
A034,C015,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,6,2027-08-16,,3
A035,C013,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-08-02,,2
A036,C007,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-07-26,,2
A037,C002,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,5,2027-08-16,A023,3
A038,C015,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,5,2027-08-16,,2
A039,C007,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,5,2027-08-23,,2
