activity_id,access_seq,week,eclo,access_night
A001,1,26,0,1
A001,2,28,0,1
A002,1,22,0,1
A002,2,23,0,1
A002,3,24,0,1
A003,1,16,1,1
A003,2,17,0,1
A004,1,16,1,1
A004,2,17,0,1
A005,1,16,1,1
A005,2,17,0,1
A006,1,8,0,1
A006,2,9,0,1
A007,1,8,0,1
A007,2,9,0,1
A008,1,8,0,1
A008,2,9,0,1
A009,1,8,0,2
A009,2,9,0,2
A010,1,9,0,1
A010,2,12,0,1
A010,3,13,0,1
A011,1,20,0,1
A011,2,21,0,1
A011,3,22,0,1
A011,4,23,0,1
A011,5,24,0,1
A011,6,25,0,1
A012,1,20,0,1
A012,2,21,0,1
A012,3,22,0,1
A012,4,23,0,1
A012,5,24,0,1
A012,6,25,0,1
A013,1,14,0,1
A014,1,14,0,1
A015,1,14,0,1
A016,1,11,0,1
A016,2,12,0,1
A016,3,13,0,1
A016,4,14,0,1
A016,5,16,0,1
A016,6,17,1,1
A017,1,11,0,1
A017,2,12,0,1
A017,3,13,0,1
A017,4,14,0,2
A017,5,16,1,1
A017,6,17,1,1
A018,1,11,0,1
A018,2,12,0,1
A018,3,13,0,1
A018,4,14,0,1
A018,5,16,1,1
A018,6,17,1,1
A019,1,8,0,1
A019,2,9,0,1
A019,3,11,0,1
A019,4,12,0,1
A020,1,8,0,1
A020,2,9,0,1
A020,3,11,0,2
A020,4,12,0,2
A021,1,8,0,1
A021,2,9,0,1
A021,3,11,0,1
A021,4,12,0,1
A022,1,17,0,1
A022,2,18,0,1
A022,3,19,0,1
A022,4,20,0,1
A022,5,21,0,1
A023,1,17,0,1
A023,2,18,0,1
A023,3,19,0,1
A023,4,20,0,1
A023,5,21,0,1
A024,1,5,0,1
A024,2,7,0,1
A024,3,8,0,2
A024,4,9,0,2
A024,5,12,0,2
A024,6,13,0,1
A025,1,5,0,1
A025,2,7,0,1
A025,3,8,0,1
A025,4,9,0,1
A025,5,12,0,1
A025,6,13,0,1
A026,1,5,0,1
A026,2,7,0,1
A026,3,8,0,1
A026,4,9,0,1
A026,5,12,0,1
A026,6,13,0,1
A027,1,5,0,1
A027,2,7,0,1
A027,3,8,0,1
A027,4,9,0,1
A027,5,12,0,1
A027,6,13,0,1
A028,1,5,0,1
A028,2,6,0,1
A028,3,7,0,1
A028,4,10,0,1
A028,5,11,0,1
A028,6,12,0,1
A029,1,5,0,1
A029,2,6,0,1
A029,3,7,0,1
A029,4,10,0,1
A029,5,11,0,1
A029,6,12,0,1
A030,1,5,0,1
A030,2,6,0,1
A030,3,7,0,1
A030,4,10,0,1
A030,5,11,0,3
A030,6,12,0,3
A031,1,23,0,1
A031,2,24,0,1
A031,3,26,0,1
A031,4,27,0,1
A031,5,28,0,1
A031,6,29,0,1
A032,1,23,0,1
A032,2,24,0,1
A032,3,26,0,1
A032,4,27,0,1
A032,5,28,0,1
A032,6,29,0,1
A033,1,23,0,2
A033,2,24,0,2
A033,3,26,0,2
A033,4,27,0,2
A033,5,28,0,2
A033,6,29,0,2
A034,1,23,0,1
A034,2,24,0,1
A034,3,26,0,1
A034,4,27,0,1
A034,5,28,0,1
A034,6,29,0,1
A035,1,19,0,2
A035,2,22,0,1
A035,3,23,0,2
A036,1,19,0,1
A036,2,22,0,1
A036,3,23,0,1
A037,1,23,0,2
A037,2,25,0,1
A037,3,26,0,1
A037,4,27,0,1
A037,5,30,0,1
A038,1,23,0,1
A038,2,25,0,1
A038,3,26,0,1
A038,4,27,0,1
A038,5,30,0,1
A039,1,23,0,1
A039,2,25,0,1
A039,3,26,0,1
A039,4,27,0,1
A039,5,30,0,1
A040,1,23,0,2
A040,2,25,0,1
A040,3,26,0,2
A040,4,27,0,2
A040,5,30,0,1
A041,1,16,1,2
A041,2,18,0,1
A041,3,19,0,1
A042,1,14,0,3
A042,2,15,1,1
A042,3,16,1,2
A042,4,19,0,1
A042,5,20,0,1
A042,6,21,0,1
A043,1,14,0,1
A043,2,15,0,1
A043,3,16,1,2
A043,4,19,0,1
A043,5,20,0,1
A043,6,21,0,1
A044,1,14,0,2
A044,2,15,1,1
A044,3,16,1,1
A044,4,19,0,1
A044,5,20,0,1
A044,6,21,0,1
A045,1,10,0,2
A046,1,10,0,1
A047,1,10,0,1
A048,1,15,0,1
A048,2,16,1,1
A048,3,18,0,2
A049,1,23,0,1
A049,2,24,0,1
A050,1,23,0,1
A050,2,24,0,1
A051,1,19,0,1
A051,2,20,0,2
A051,3,21,0,2
A051,4,22,0,1
A051,5,23,0,2
A052,1,19,0,2
A052,2,20,0,2
A052,3,21,0,2
A052,4,22,0,1
A052,5,23,0,1
A053,1,19,0,1
A053,2,20,0,1
A053,3,21,0,1
A053,4,22,0,1
A053,5,23,0,1
A054,1,8,0,1
A054,2,10,0,1
A054,3,11,0,1
A054,4,12,0,1
A055,1,21,0,1
A055,2,22,0,1
A055,3,23,0,1
A055,4,24,0,1
A056,1,21,0,1
A056,2,22,0,1
A056,3,23,0,2
A056,4,24,0,1
A057,1,21,0,1
A057,2,22,0,1
A057,3,23,0,2
A057,4,24,0,1
A058,1,21,0,1
A058,2,22,0,1
A058,3,23,0,2
A058,4,24,0,2
A059,1,16,1,3
A059,2,17,0,2
A059,3,18,0,2
A059,4,20,0,1
A059,5,21,0,1
A060,1,16,1,1
A060,2,17,0,1
A060,3,18,0,1
A060,4,20,0,2
A060,5,21,0,2
