activity_id,week,location_id,co_share_group
A001,26,PLAT:BET:H01:WB,g001
A001,26,PLAT:BET:H02:WB,g001
A001,26,SEC:BET:H01_H02:WB,g001
A001,28,PLAT:BET:H01:WB,g001
A001,28,PLAT:BET:H02:WB,g001
A001,28,SEC:BET:H01_H02:WB,g001
A002,22,PLAT:ALP:H01:WB,g002
A002,22,PLAT:ALP:H02:WB,g002
A002,22,PLAT:ALP:S05:WB,g002
A002,22,SEC:ALP:H01_H02:WB,g002
A002,22,SEC:ALP:H02_S05:WB,g002
A002,23,PLAT:ALP:H01:WB,g002
A002,23,PLAT:ALP:H02:WB,g002
A002,23,PLAT:ALP:S05:WB,g002
A002,23,SEC:ALP:H01_H02:WB,g002
A002,23,SEC:ALP:H02_S05:WB,g002
A002,24,PLAT:ALP:H01:WB,g002
A002,24,PLAT:ALP:H02:WB,g002
A002,24,PLAT:ALP:S05:WB,g002
A002,24,SEC:ALP:H01_H02:WB,g002
A002,24,SEC:ALP:H02_S05:WB,g002
A003,16,PLAT:ALP:H01:EB,g003
A003,16,PLAT:ALP:H02:EB,g003
A003,16,PLAT:ALP:S04:EB,g003
A003,16,PLAT:ALP:S05:EB,g003
A003,16,SEC:ALP:H01_H02:EB,g003
A003,16,SEC:ALP:H02_S05:EB,g003
A003,16,SEC:ALP:S04_H01:EB,g003
A004,16,PLAT:ALP:H01:EB,g003
A004,16,PLAT:ALP:H02:EB,g003
A004,16,PLAT:ALP:S04:EB,g003
A004,16,PLAT:ALP:S05:EB,g003
A004,16,SEC:ALP:H01_H02:EB,g003
A004,16,SEC:ALP:H02_S05:EB,g003
A004,16,SEC:ALP:S04_H01:EB,g003
A005,16,PLAT:ALP:H01:EB,g003
A005,16,PLAT:ALP:H02:EB,g003
A005,16,SEC:ALP:H01_H02:EB,g003
A003,17,PLAT:ALP:H01:EB,g003
A003,17,PLAT:ALP:H02:EB,g003
A003,17,PLAT:ALP:S04:EB,g003
A003,17,PLAT:ALP:S05:EB,g003
A003,17,SEC:ALP:H01_H02:EB,g003
A003,17,SEC:ALP:H02_S05:EB,g003
A003,17,SEC:ALP:S04_H01:EB,g003
A004,17,PLAT:ALP:H01:EB,g003
A004,17,PLAT:ALP:H02:EB,g003
A004,17,PLAT:ALP:S04:EB,g003
A004,17,PLAT:ALP:S05:EB,g003
A004,17,SEC:ALP:H01_H02:EB,g003
