activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:BET:S11_S12:EB,SEC:BET:H01_H02:EB,2,2027-10-25,,2
A002,C002,Construction,SEC:BET:S12_S13:EB,SEC:BET:S15_S16:EB,3,2027-09-20,,3
A003,C003,Construction,SEC:BET:H01_H02:EB,SEC:BET:S15_S16:EB,3,2027-09-20,,3
A004,C004,Renewal,SEC:BET:H01_H02:EB,SEC:BET:S15_S16:EB,3,2027-09-20,,3
A005,C005,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S17_S18:EB,2,2027-09-20,,3
A006,C002,Construction,SEC:BET:H01_H02:EB,SEC:BET:S17_S18:EB,2,2027-09-20,,2
A007,C006,Construction,SEC:BET:S16_S17:EB,SEC:BET:S17_S18:EB,2,2027-09-13,,1
A008,C007,Construction,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,1,2027-08-16,,1
A009,C001,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,1,2027-08-09,,2
A010,C005,Renewal,SEC:BET:S13_S14:EB,SEC:BET:S16_S17:EB,1,2027-08-09,,1
A011,C006,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:S07_S08:WB,6,2027-07-19,,2
A012,C008,Renewal,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,7,2027-08-02,,3
A013,C008,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S07_S08:WB,7,2027-07-19,,2
A014,C009,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S03_S04:EB,4,2027-09-27,,3
A015,C003,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S04_H01:EB,4,2027-10-11,A013,3
A016,C010,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,1,2027-04-26,,1
A017,C005,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S06_S07:WB,6,2027-08-30,,1
A018,C011,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:H01_H02:WB,6,2027-08-09,,2
A019,C012,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:S05_S06:EB,4,2027-06-07,,1
A020,C013,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-05-10,,1
A021,C014,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,2,2027-06-21,,3
A022,C006,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,2,2027-06-14,,2
A023,C004,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S13_S14:WB,2,2027-06-07,,3
A024,C008,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:S06_S07:EB,2,2027-07-26,A023,2
A025,C008,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:S05_S06:EB,2,2027-08-09,A023,3
A026,C005,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S14_H01:WB,2,2027-07-05,,1
A027,C013,Construction,SEC:BET:S11_S12:WB,SEC:BET:H01_H02:WB,2,2027-07-05,,2
A028,C001,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S13_S14:WB,2,2027-07-05,,1
A029,C014,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S17_S18:WB,3,2027-07-26,,3
A030,C009,Construction,SEC:BET:S13_S14:EB,SEC:BET:H02_S15:EB,2,2027-08-09,A028,1
A031,C011,Construction,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,2,2027-08-09,,2
A032,C001,Renewal,SEC:BET:H01_H02:EB,SEC:BET:S17_S18:EB,2,2027-08-09,,1
A033,C008,Renewal,SEC:BET:S11_S12:WB,SEC:BET:H01_H02:WB,1,2027-04-26,,3
A034,C003,Construction,SEC:BET:S11_S12:WB,SEC:BET:S14_H01:WB,1,2027-04-26,,2
A035,C005,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S07_S08:WB,1,2027-09-20,A013,1
A036,C004,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,1,2027-09-20,A013,1
A037,C005,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S07_S08:WB,2,2027-07-26,,2
A038,C013,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:S07_S08:WB,2,2027-08-02,,3
A039,C014,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:H02_S05:WB,5,2027-05-03,,3
A040,C008,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,5,2027-04-26,,3
A041,C003,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,5,2027-05-03,,1
A042,C014,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,3,2027-10-04,,2
A043,C001,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,3,2027-10-18,A036,1
A044,C005,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S17_S18:WB,6,2027-04-26,,2
A045,C005,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,4,2027-06-14,A041,2
A046,C004,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:H01_H02:WB,4,2027-06-14,,3
A047,C004,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S04_H01:WB,4,2027-06-21,,2
A048,C005,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S13_S14:EB,6,2027-09-06,,2
