activity_id,access_seq,week,eclo,access_night
A001,1,27,0,1
A001,2,29,0,1
A002,1,24,0,1
A002,2,26,0,1
A002,3,27,0,1
A003,1,24,0,1
A003,2,26,0,1
A003,3,27,0,1
A004,1,24,0,1
A004,2,26,0,1
A004,3,27,0,1
A005,1,24,0,1
A005,2,27,0,1
A006,1,24,0,2
A006,2,27,0,2
A007,1,24,0,1
A007,2,27,0,1
A008,1,18,0,1
A009,1,18,0,1
A010,1,19,0,1
A011,1,15,1,1
A011,2,16,0,1
A011,3,17,0,1
A011,4,18,0,1
A011,5,20,0,1
A011,6,21,0,1
A012,1,15,1,1
A012,2,16,1,1
A012,3,17,0,1
A012,4,18,0,1
A012,5,20,0,1
A012,6,21,0,1
A013,1,15,1,1
A013,2,16,1,1
A013,3,17,0,1
A013,4,18,0,1
A013,5,20,0,1
A013,6,21,0,1
A014,1,26,0,1
A014,2,27,0,1
A014,3,29,0,1
A014,4,30,0,1
A015,1,26,0,2
A015,2,27,0,2
A015,3,29,0,1
A015,4,30,0,1
A016,1,2,0,1
A017,1,19,0,2
A017,2,20,0,1
A017,3,21,0,1
A017,4,22,0,1
A017,5,23,0,1
A017,6,25,0,1
A018,1,19,0,1
A018,2,20,0,1
A018,3,21,0,1
A018,4,22,0,1
A018,5,23,0,1
A018,6,25,0,1
A019,1,7,0,1
A019,2,8,0,1
A019,3,9,0,1
A019,4,10,0,1
A020,1,3,0,1
A020,2,4,0,1
A020,3,7,0,1
A021,1,9,0,1
A021,2,10,0,1
A022,1,9,0,1
A022,2,10,0,1
A023,1,9,0,1
A023,2,10,0,1
A024,1,16,0,2
A024,2,17,0,2
A025,1,16,1,2
A025,2,17,0,2
A026,1,14,0,1
A026,2,15,0,1
A027,1,14,0,1
A027,2,15,0,1
A028,1,14,0,1
A028,2,15,0,1
A029,1,17,1,1
A029,2,18,0,1
A029,3,19,0,1
A030,1,17,1,1
A030,2,18,0,1
A031,1,17,0,1
A031,2,18,0,1
A032,1,17,1,1
A032,2,18,0,2
A033,1,1,0,1
A034,1,1,0,1
A035,1,25,0,2
A036,1,25,0,1
A037,1,16,1,1
A037,2,19,0,3
A038,1,16,1,1
A038,2,19,0,1
A039,1,4,0,1
A039,2,5,0,1
A039,3,6,0,1
A039,4,7,0,1
A039,5,9,0,2
A040,1,4,0,1
A040,2,5,0,1
A040,3,6,0,1
A040,4,7,0,1
A040,5,9,0,1
A041,1,4,0,1
A041,2,5,0,1
A041,3,6,0,1
A041,4,7,0,1
A041,5,9,0,1
A042,1,27,0,1
A042,2,28,0,1
A042,3,29,0,1
A043,1,27,0,2
A043,2,28,0,1
A043,3,29,0,2
A044,1,2,0,1
A044,2,3,0,1
A044,3,4,0,1
A044,4,6,0,1
A044,5,7,0,1
A044,6,8,0,1
A045,1,10,0,1
A045,2,11,0,1
A045,3,12,0,1
A045,4,13,0,1
A046,1,10,0,1
A046,2,11,0,1
A046,3,12,0,1
A046,4,13,0,1
A047,1,10,0,2
A047,2,11,0,1
A047,3,12,0,1
A047,4,13,0,1
A048,1,21,0,2
A048,2,22,0,2
A048,3,23,0,2
A048,4,24,0,2
A048,5,25,0,3
A048,6,26,0,1
