activity_id,week,location_id,co_share_group
A001,27,PLAT:BET:H01:EB,g001
A001,27,PLAT:BET:H02:EB,g001
A001,27,PLAT:BET:S11:EB,g001
A001,27,PLAT:BET:S12:EB,g001
A001,27,PLAT:BET:S13:EB,g001
A001,27,PLAT:BET:S14:EB,g001
A001,27,SEC:BET:H01_H02:EB,g001
A001,27,SEC:BET:S11_S12:EB,g001
A001,27,SEC:BET:S12_S13:EB,g001
A001,27,SEC:BET:S13_S14:EB,g001
A001,27,SEC:BET:S14_H01:EB,g001
A001,29,PLAT:BET:H01:EB,g001
A001,29,PLAT:BET:H02:EB,g001
A001,29,PLAT:BET:S11:EB,g001
A001,29,PLAT:BET:S12:EB,g001
A001,29,PLAT:BET:S13:EB,g001
A001,29,PLAT:BET:S14:EB,g001
A001,29,SEC:BET:H01_H02:EB,g001
A001,29,SEC:BET:S11_S12:EB,g001
A001,29,SEC:BET:S12_S13:EB,g001
A001,29,SEC:BET:S13_S14:EB,g001
A001,29,SEC:BET:S14_H01:EB,g001
A002,24,PLAT:BET:H01:EB,g002
A002,24,PLAT:BET:H02:EB,g002
A002,24,PLAT:BET:S12:EB,g002
A002,24,PLAT:BET:S13:EB,g002
A002,24,PLAT:BET:S14:EB,g002
A002,24,PLAT:BET:S15:EB,g002
A002,24,PLAT:BET:S16:EB,g002
A002,24,SEC:BET:H01_H02:EB,g002
A002,24,SEC:BET:H02_S15:EB,g002
A002,24,SEC:BET:S12_S13:EB,g002
A002,24,SEC:BET:S13_S14:EB,g002
A002,24,SEC:BET:S14_H01:EB,g002
A002,24,SEC:BET:S15_S16:EB,g002
A003,24,PLAT:BET:H01:EB,g002
A003,24,PLAT:BET:H02:EB,g002
A003,24,PLAT:BET:S15:EB,g002
A003,24,PLAT:BET:S16:EB,g002
A003,24,SEC:BET:H01_H02:EB,g002
A003,24,SEC:BET:H02_S15:EB,g002
A003,24,SEC:BET:S15_S16:EB,g002
A004,24,PLAT:BET:H01:EB,g002
A004,24,PLAT:BET:H02:EB,g002
A004,24,PLAT:BET:S15:EB,g002
A004,24,PLAT:BET:S16:EB,g002
A004,24,SEC:BET:H01_H02:EB,g002
A004,24,SEC:BET:H02_S15:EB,g002
A004,24,SEC:BET:S15_S16:EB,g002
A002,26,PLAT:BET:H01:EB,g002
A002,26,PLAT:BET:H02:EB,g002
A002,26,PLAT:BET:S12:EB,g002
A002,26,PLAT:BET:S13:EB,g002
A002,26,PLAT:BET:S14:EB,g002
A002,26,PLAT:BET:S15:EB,g002
A002,26,PLAT:BET:S16:EB,g002
A002,26,SEC:BET:H01_H02:EB,g002
A002,26,SEC:BET:H02_S15:EB,g002
A002,26,SEC:BET:S12_S13:EB,g002
A002,26,SEC:BET:S13_S14:EB,g002
A002,26,SEC:BET:S14_H01:EB,g002
A002,26,SEC:BET:S15_S16:EB,g002
A003,26,PLAT:BET:H01:EB,g002
A003,26,PLAT:BET:H02:EB,g002
A003,26,PLAT:BET:S15:EB,g002
A003,26,PLAT:BET:S16:EB,g002
A003,26,SEC:BET:H01_H02:EB,g002
A003,26,SEC:BET:H02_S15:EB,g002
A003,26,SEC:BET:S15_S16:EB,g002
A004,26,PLAT:BET:H01:EB,g002
A004,26,PLAT:BET:H02:EB,g002
A004,26,PLAT:BET:S15:EB,g002
A004,26,PLAT:BET:S16:EB,g002
A004,26,SEC:BET:H01_H02:EB,g002
A004,26,SEC:BET:H02_S15:EB,g002
A004,26,SEC:BET:S15_S16:EB,g002
A002,27,PLAT:BET:H01:EB,g002
A002,27,PLAT:BET:H02:EB,g002
A002,27,PLAT:BET:S12:EB,g002
A002,27,PLAT:BET:S13:EB,g002
A002,27,PLAT:BET:S14:EB,g002
A002,27,PLAT:BET:S15:EB,g002
A002,27,PLAT:BET:S16:EB,g002
A002,27,SEC:BET:H01_H02:EB,g002
A002,27,SEC:BET:H02_S15:EB,g002
A002,27,SEC:BET:S12_S13:EB,g002
A002,27,SEC:BET:S13_S14:EB,g002
A002,27,SEC:BET:S14_H01:EB,g002
A002,27,SEC:BET:S15_S16:EB,g002
A003,27,PLAT:BET:H01:EB,g002
A003,27,PLAT:BET:H02:EB,g002
A003,27,PLAT:BET:S15:EB,g002
A003,27,PLAT:BET:S16:EB,g002
A003,27,SEC:BET:H01_H02:EB,g002
A003,27,SEC:BET:H02_S15:EB,g002
A003,27,SEC:BET:S15_S16:EB,g002
A004,27,PLAT:BET:H01:EB,g002
A004,27,PLAT:BET:H02:EB,g002
A004,27,PLAT:BET:S15:EB,g002
A004,27,PLAT:BET:S16:EB,g002
A004,27,SEC:BET:H01_H02:EB,g002
A004,27,SEC:BET:H02_S15:EB,g002
A004,27,SEC:BET:S15_S16:EB,g002
A005,24,PLAT:BET:S16:EB,g003
A005,24,PLAT:BET:S17:EB,g003
A005,24,PLAT:BET:S18:EB,g003
A005,24,SEC:BET:S16_S17:EB,g003
A005,24,SEC:BET:S17_S18:EB,g003
A006,24,PLAT:BET:H01:EB,g003
A006,24,PLAT:BET:H02:EB,g003
A006,24,PLAT:BET:S15:EB,g003
A006,24,PLAT:BET:S16:EB,g003
A006,24,PLAT:BET:S17:EB,g003
A006,24,PLAT:BET:S18:EB,g003
A006,24,SEC:BET:H01_H02:EB,g003
A006,24,SEC:BET:H02_S15:EB,g003
A006,24,SEC:BET:S15_S16:EB,g003
A006,24,SEC:BET:S16_S17:EB,g003
A006,24,SEC:BET:S17_S18:EB,g003
A007,24,PLAT:BET:S16:EB,g003
A007,24,PLAT:BET:S17:EB,g003
A007,24,PLAT:BET:S18:EB,g003
A007,24,SEC:BET:S16_S17:EB,g003
A007,24,SEC:BET:S17_S18:EB,g003
A005,27,PLAT:BET:S16:EB,g003
A005,27,PLAT:BET:S17:EB,g003
A005,27,PLAT:BET:S18:EB,g003
A005,27,SEC:BET:S16_S17:EB,g003
A005,27,SEC:BET:S17_S18:EB,g003
A006,27,PLAT:BET:H01:EB,g003
A006,27,PLAT:BET:H02:EB,g003
A006,27,PLAT:BET:S15:EB,g003
A006,27,PLAT:BET:S16:EB,g003
A006,27,PLAT:BET:S17:EB,g003
A006,27,PLAT:BET:S18:EB,g003
A006,27,SEC:BET:H01_H02:EB,g003
A006,27,SEC:BET:H02_S15:EB,g003
A006,27,SEC:BET:S15_S16:EB,g003
A006,27,SEC:BET:S16_S17:EB,g003
