activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-11-22,,3
A002,C002,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-11-15,,2
A003,C002,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-11-29,,1
A004,C003,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-08-02,,2
A005,C004,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-08-23,,2
A006,C005,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-10-04,,3
A007,C004,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-09-27,,1
A008,C002,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,4,2027-10-04,,3
A009,C006,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-09-20,,1
A010,C004,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-09-06,,3
A011,C006,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,1,2027-07-12,,2
A012,C007,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,1,2027-07-19,,2
A013,C004,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,1,2027-07-12,,3
A014,C004,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,3,2027-06-28,,3
A015,C002,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,3,2027-06-14,,2
A016,C004,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-06-28,,1
A017,C003,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,1,2027-10-11,,3
A018,C002,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,5,2027-06-21,,1
